INFO,SDATE,DISCHARGE
HARP INFLOW #3,1/1/1991 0:00:00,5.25
HARP INFLOW #3,1/2/1991 0:00:00,4.57
HARP INFLOW #3,1/3/1991 0:00:00,3.94
HARP INFLOW #3,1/4/1991 0:00:00,3.65
HARP INFLOW #3,1/5/1991 0:00:00,3.37
HARP INFLOW #3,1/6/1991 0:00:00,3.02
HARP INFLOW #3,1/7/1991 0:00:00,2.76
HARP INFLOW #3,1/8/1991 0:00:00,2.47
HARP INFLOW #3,1/9/1991 0:00:00,2.36
HARP INFLOW #3,1/10/1991 0:00:00,2.27
HARP INFLOW #3,1/11/1991 0:00:00,2.06
HARP INFLOW #3,1/12/1991 0:00:00,1.94
HARP INFLOW #3,1/13/1991 0:00:00,1.88
HARP INFLOW #3,1/14/1991 0:00:00,1.81
HARP INFLOW #3,1/15/1991 0:00:00,1.78
HARP INFLOW #3,1/16/1991 0:00:00,1.81
HARP INFLOW #3,1/17/1991 0:00:00,1.81
HARP INFLOW #3,1/18/1991 0:00:00,1.83
HARP INFLOW #3,1/19/1991 0:00:00,1.78
HARP INFLOW #3,1/20/1991 0:00:00,1.68
HARP INFLOW #3,1/21/1991 0:00:00,1.58
HARP INFLOW #3,1/22/1991 0:00:00,1.47
HARP INFLOW #3,1/23/1991 0:00:00,1.48
HARP INFLOW #3,1/24/1991 0:00:00,1.43
HARP INFLOW #3,1/25/1991 0:00:00,1.32
HARP INFLOW #3,1/26/1991 0:00:00,1.29
HARP INFLOW #3,1/27/1991 0:00:00,1.26
HARP INFLOW #3,1/28/1991 0:00:00,1.28
HARP INFLOW #3,1/29/1991 0:00:00,1.26
HARP INFLOW #3,1/30/1991 0:00:00,1.22
HARP INFLOW #3,1/31/1991 0:00:00,1.18
HARP INFLOW #3,2/1/1991 0:00:00,1.1
HARP INFLOW #3,2/2/1991 0:00:00,1.04
HARP INFLOW #3,2/3/1991 0:00:00,1.02
HARP INFLOW #3,2/4/1991 0:00:00,1.5
HARP INFLOW #3,2/5/1991 0:00:00,1.28
HARP INFLOW #3,2/6/1991 0:00:00,1.31
HARP INFLOW #3,2/7/1991 0:00:00,1.47
HARP INFLOW #3,2/8/1991 0:00:00,1.57
HARP INFLOW #3,2/9/1991 0:00:00,1.54
HARP INFLOW #3,2/10/1991 0:00:00,1.44
HARP INFLOW #3,2/11/1991 0:00:00,1.35
HARP INFLOW #3,2/12/1991 0:00:00,1.25
HARP INFLOW #3,2/13/1991 0:00:00,1.23
HARP INFLOW #3,2/14/1991 0:00:00,1.2
HARP INFLOW #3,2/15/1991 0:00:00,1.2
HARP INFLOW #3,2/16/1991 0:00:00,1.14
HARP INFLOW #3,2/17/1991 0:00:00,1.06
HARP INFLOW #3,2/18/1991 0:00:00,1
HARP INFLOW #3,2/19/1991 0:00:00,2.36
HARP INFLOW #3,2/20/1991 0:00:00,2.94
HARP INFLOW #3,2/21/1991 0:00:00,2.64
HARP INFLOW #3,2/22/1991 0:00:00,2.37
HARP INFLOW #3,2/23/1991 0:00:00,2.07
HARP INFLOW #3,2/24/1991 0:00:00,1.9
HARP INFLOW #3,2/25/1991 0:00:00,1.79
HARP INFLOW #3,2/26/1991 0:00:00,1.72
HARP INFLOW #3,2/27/1991 0:00:00,1.58
HARP INFLOW #3,2/28/1991 0:00:00,1.49
HARP INFLOW #3,3/1/1991 0:00:00,1.42
HARP INFLOW #3,3/2/1991 0:00:00,10.5
HARP INFLOW #3,3/3/1991 0:00:00,12.7
HARP INFLOW #3,3/4/1991 0:00:00,13.4
HARP INFLOW #3,3/5/1991 0:00:00,12.7
HARP INFLOW #3,3/6/1991 0:00:00,12.1
HARP INFLOW #3,3/7/1991 0:00:00,17.6
HARP INFLOW #3,3/8/1991 0:00:00,14.3
HARP INFLOW #3,3/9/1991 0:00:00,10.8
HARP INFLOW #3,3/10/1991 0:00:00,7.71
HARP INFLOW #3,3/11/1991 0:00:00,5.83
HARP INFLOW #3,3/12/1991 0:00:00,4.97
HARP INFLOW #3,3/13/1991 0:00:00,4.45
HARP INFLOW #3,3/14/1991 0:00:00,4
HARP INFLOW #3,3/15/1991 0:00:00,3.9
HARP INFLOW #3,3/16/1991 0:00:00,4.27
HARP INFLOW #3,3/17/1991 0:00:00,5.13
HARP INFLOW #3,3/18/1991 0:00:00,6.09
HARP INFLOW #3,3/19/1991 0:00:00,6.68
HARP INFLOW #3,3/20/1991 0:00:00,6.91
HARP INFLOW #3,3/21/1991 0:00:00,6.7
HARP INFLOW #3,3/22/1991 0:00:00,5.68
HARP INFLOW #3,3/23/1991 0:00:00,5.52
HARP INFLOW #3,3/24/1991 0:00:00,13.7
HARP INFLOW #3,3/25/1991 0:00:00,15.2
HARP INFLOW #3,3/26/1991 0:00:00,11.9
HARP INFLOW #3,3/27/1991 0:00:00,26
HARP INFLOW #3,3/28/1991 0:00:00,78.6
HARP INFLOW #3,3/29/1991 0:00:00,47.9
HARP INFLOW #3,3/30/1991 0:00:00,23.5
HARP INFLOW #3,3/31/1991 0:00:00,12.5
HARP INFLOW #3,4/1/1991 0:00:00,9.21
HARP INFLOW #3,4/2/1991 0:00:00,7.92
HARP INFLOW #3,4/3/1991 0:00:00,8.66
HARP INFLOW #3,4/4/1991 0:00:00,15.3
HARP INFLOW #3,4/5/1991 0:00:00,30.1
HARP INFLOW #3,4/6/1991 0:00:00,42.3
HARP INFLOW #3,4/7/1991 0:00:00,64.4
HARP INFLOW #3,4/8/1991 0:00:00,59.8
HARP INFLOW #3,4/9/1991 0:00:00,51
HARP INFLOW #3,4/10/1991 0:00:00,36.8
HARP INFLOW #3,4/11/1991 0:00:00,20.1
HARP INFLOW #3,4/12/1991 0:00:00,13.2
HARP INFLOW #3,4/13/1991 0:00:00,10.9
HARP INFLOW #3,4/14/1991 0:00:00,9.45
HARP INFLOW #3,4/15/1991 0:00:00,13
HARP INFLOW #3,4/16/1991 0:00:00,21.3
HARP INFLOW #3,4/17/1991 0:00:00,17
HARP INFLOW #3,4/18/1991 0:00:00,12.5
HARP INFLOW #3,4/19/1991 0:00:00,9.41
HARP INFLOW #3,4/20/1991 0:00:00,10.7
HARP INFLOW #3,4/21/1991 0:00:00,10.9
HARP INFLOW #3,4/22/1991 0:00:00,11.3
HARP INFLOW #3,4/23/1991 0:00:00,10
HARP INFLOW #3,4/24/1991 0:00:00,7.99
HARP INFLOW #3,4/25/1991 0:00:00,6.87
HARP INFLOW #3,4/26/1991 0:00:00,5.85
HARP INFLOW #3,4/27/1991 0:00:00,5.39
HARP INFLOW #3,4/28/1991 0:00:00,4.95
HARP INFLOW #3,4/29/1991 0:00:00,4.32
HARP INFLOW #3,4/30/1991 0:00:00,4.05
HARP INFLOW #3,5/1/1991 0:00:00,3.81
HARP INFLOW #3,5/2/1991 0:00:00,3.9
HARP INFLOW #3,5/3/1991 0:00:00,3.62
HARP INFLOW #3,5/4/1991 0:00:00,3.2
HARP INFLOW #3,5/5/1991 0:00:00,2.89
HARP INFLOW #3,5/6/1991 0:00:00,3.62
HARP INFLOW #3,5/7/1991 0:00:00,3.92
HARP INFLOW #3,5/8/1991 0:00:00,3.58
HARP INFLOW #3,5/9/1991 0:00:00,3.1
HARP INFLOW #3,5/10/1991 0:00:00,2.74
HARP INFLOW #3,5/11/1991 0:00:00,2.47
HARP INFLOW #3,5/12/1991 0:00:00,2.24
HARP INFLOW #3,5/13/1991 0:00:00,1.95
HARP INFLOW #3,5/14/1991 0:00:00,1.82
HARP INFLOW #3,5/15/1991 0:00:00,1.58
HARP INFLOW #3,5/16/1991 0:00:00,1.29
HARP INFLOW #3,5/17/1991 0:00:00,6.73
HARP INFLOW #3,5/18/1991 0:00:00,4.4
HARP INFLOW #3,5/19/1991 0:00:00,2.9
HARP INFLOW #3,5/20/1991 0:00:00,2.21
HARP INFLOW #3,5/21/1991 0:00:00,1.76
HARP INFLOW #3,5/22/1991 0:00:00,1.51
HARP INFLOW #3,5/23/1991 0:00:00,1.31
HARP INFLOW #3,5/24/1991 0:00:00,1.13
HARP INFLOW #3,5/25/1991 0:00:00,0.85
HARP INFLOW #3,5/26/1991 0:00:00,5.55
HARP INFLOW #3,5/27/1991 0:00:00,5.27
HARP INFLOW #3,5/28/1991 0:00:00,2.86
HARP INFLOW #3,5/29/1991 0:00:00,1.8
HARP INFLOW #3,5/30/1991 0:00:00,2.88
HARP INFLOW #3,5/31/1991 0:00:00,1.98
HARP INFLOW #3,6/1/1991 0:00:00,1.23
HARP INFLOW #3,6/2/1991 0:00:00,0.8
HARP INFLOW #3,6/3/1991 0:00:00,2.3
HARP INFLOW #3,6/4/1991 0:00:00,1.72
HARP INFLOW #3,6/5/1991 0:00:00,0.96
HARP INFLOW #3,6/6/1991 0:00:00,0.65
HARP INFLOW #3,6/7/1991 0:00:00,0.48
HARP INFLOW #3,6/8/1991 0:00:00,0.34
HARP INFLOW #3,6/9/1991 0:00:00,0.24
HARP INFLOW #3,6/10/1991 0:00:00,0.22
HARP INFLOW #3,6/11/1991 0:00:00,0.39
HARP INFLOW #3,6/12/1991 0:00:00,0.24
HARP INFLOW #3,6/13/1991 0:00:00,0.15
HARP INFLOW #3,6/14/1991 0:00:00,0.11
HARP INFLOW #3,6/15/1991 0:00:00,0.12
