Date,POCtotal_conc_gm3,POCR_conc_gm3,POCL_conc_gm3,NPPin_gm2y,FlowIn_gm2y,FlowOut_gm2y,sedOut_gm2y,leachOut_gm2y,POC_flowOut_gm2y,POC_sedOut_gm2y,POCload_g,POCalloch_g,POCautoch_g,POCout_g
2004-07-07,0,0,0,31.3059992898465,3.601739477377,0.0127331479856825,3.60042550073362,31.2945801185042,60795.1726601838,7801437.39089217,1537757.62092654,158664.024812999,1379093.59611354,1537757.62092654
2004-07-08,0,0,0,30.2528226846483,3.01506455608831,0.0117882723974509,3.01399603120478,30.2421029371344,61314.470281769,7934210.10920927,1465518.79162686,132819.789033819,1332699.00259304,1465518.79162686
2004-07-09,-0.0000000000000000000619880914541253,-0.0000000000000000000619880914541253,0,31.9531193422159,2.83026920657354,0.0116002644875942,2.82932516574726,31.9424631185546,61825.4857686075,8058847.69644229,1532279.73829037,124679.174171222,1407600.56411915,1532279.73829037
2004-07-10,0,0,0,32.0465620792858,2.62102029059814,0.0116700335164356,2.62013785029643,32.0357744860711,62339.5747245274,8174270.15259274,1527178.23815168,115461.32945898,1411716.9086927,1527178.23815168
2004-07-11,-0.0000000000000000000619880914541253,-0.0000000000000000000619880914541253,0,32.2906300496066,2.48560710762539,0.0116341228710338,2.48477543892465,32.2798275954363,62852.0817427284,8283729.61638033,1531964.70479762,109496.100502764,1422468.60429486,1531964.70479762
2004-07-12,0,0,0,34.4985172740875,1.06099841601716,0.0116738045033669,1.06065004709465,34.4871918385066,63366.3368183712,8330453.43037275,1566469.7336471,46739.1603592873,1519730.57328782,1566469.7336471
2004-07-13,0,0,0,32.4519849326246,2.94481407055853,0.0116203863744725,2.94384716835654,32.4413314484522,63878.238715673,8460135.94713989,1559301.72923886,129725.11079592,1429576.61844294,1559301.72923886
2004-07-14,0,0,0,32.0445641200603,3.03243772739781,0.0116981845598969,3.03142625293765,32.0338774099606,64393.567782902,8593676.50253985,1545214.00741172,133585.1129283,1411628.89448342,1545214.00741172
2004-07-15,-0.0000000000000000000619880914541253,-0.0000000000000000000619880914541253,0,33.0263844523952,2.25371809334851,0.0113982337101144,2.25298985004531,33.0157144619883,64895.6833988607,8692925.33486554,1554161.0105014,99280.9129395909,1454880.09756181,1554161.0105014
2004-07-16,0,0,0,31.6509960300356,1.32758233723981,0.0103109625594514,1.32716719182864,31.6411002128873,65349.9024865139,8751389.77672147,1452774.14128061,58482.7298643258,1394291.41141628,1452774.14128061
2004-07-17,0,0,0,31.4711900266723,1.59752042634612,0.00999450483241969,1.59703751834061,31.4616784298454,65790.1809610357,8821742.56098831,1456744.6448605,70374.0573567652,1386370.58750374,1456744.6448605
2004-07-18,0,0,0,31.8731811199688,1.459548813337,0.00972691094860806,1.45912282345411,31.8638801989031,66218.6713751252,8886019.91955905,1468375.24547294,64296.124300399,1404079.12117254,1468375.24547294
2004-07-19,-0.0000000000000000000619880914541253,-0.0000000000000000000619880914541253,0,32.4803397445607,1.67046445215155,0.00971649445190014,1.66998909013235,32.471098612128,66646.702921131,8959586.37046381,1504413.09775051,73587.3915784789,1430825.70617203,1504413.09775051
