DATE,MONTH,DAYS,ID,YEAR,JULIAN,HOUR,RAIN,PYRANOMETER,LAKE QUANTUM,QUANTUM,AIR TEMP 1M,AIR TEMP 5M,RH 1M,RH 5M,BAROMETER,WIND SP 1M,AIR TC 1M,AIR TC 5M,WIND SP 5M,WIND MAG 5M,WIND DIR 5M,WIND STD 5M,VAPOR PRESS 5M,PYR J CM2 HR,WIND SECTOR,DATE Stowaway,Stowaway 1M,Date Hobo logger,Hobo logger 3 m air,Hobo logger 3 m RH,Hobo logger 3 m PAR,COMMENTS
01-Jan-2003,1,1.04,124,2003,1,0100,0,-0.002,#N/A,#N/A,-23.8,-23.7,78,81,679,0.64,-24,-24,0.6,0.5,181,35.8,1,0,S,01-Jan-2003 01:00,-26.3,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.08,124,2003,1,0200,0,-0.002,#N/A,#N/A,-25.3,-24.7,78,82,679,0.45,-25,-25,0.4,0.3,88,40.9,1,0,E,01-Jan-2003 02:00,-26.3,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.13,124,2003,1,0300,0,-0.002,#N/A,#N/A,-25.9,-25.6,78,80,680,0.58,-26,-26,0.6,0.5,134,28.4,1,0,SE,01-Jan-2003 03:00,-26.3,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.17,124,2003,1,0400,0,-0.002,#N/A,#N/A,-25.9,-25.6,77,80,679,0.68,-26,-26,0.7,0.7,160,11.7,1,0,S,01-Jan-2003 04:00,-28.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.21,124,2003,1,0500,0,-0.002,#N/A,#N/A,-27.2,-26.7,76,79,679,0.93,-27,-27,0.7,0.6,166,8.4,1,0,S,01-Jan-2003 05:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.25,124,2003,1,0600,0,-0.002,#N/A,#N/A,-28.1,-27.6,76,79,679,0.84,-28,-28,0.7,0.7,160,10.9,0,0,S,01-Jan-2003 06:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.29,124,2003,1,0700,0,-0.002,#N/A,#N/A,-28.5,-27.8,76,79,679,1.06,-29,-28,1.1,1.1,170,6.3,0,0,S,01-Jan-2003 07:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.33,124,2003,1,0800,0,-0.002,#N/A,#N/A,-28.0,-27.7,76,79,679,0.92,-28,-28,0.9,0.8,154,13.7,0,0,SE,01-Jan-2003 08:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.38,124,2003,1,0900,0,-0.002,#N/A,#N/A,-28.3,-27.8,76,79,679,0.82,-28,-28,0.8,0.8,175,19.8,0,0,S,01-Jan-2003 09:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.42,124,2003,1,1000,0,-0.002,#N/A,#N/A,-29.0,-28.5,75,79,679,0.98,-29,-29,1.0,1.0,156,12.1,0,0,SE,01-Jan-2003 10:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.46,124,2003,1,1100,0,-0.002,#N/A,#N/A,-28.6,-28.1,75,77,679,1.08,-29,-28,1.2,1.1,166,12.0,0,0,S,01-Jan-2003 11:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.50,124,2003,1,1200,0,-0.002,#N/A,#N/A,-28.5,-27.9,74,76,679,1.01,-28,-28,1.1,1.0,161,12.0,0,0,S,01-Jan-2003 12:00,-30.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.54,124,2003,1,1300,0,0,#N/A,#N/A,-28.7,-28.0,73,76,679,1.03,-29,-28,1.0,1.0,164,14.1,0,1,S,01-Jan-2003 13:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
01-Jan-2003,1,1.58,124,2003,1,1400,0,0,#N/A,#N/A,-28.3,-27.7,72,75,679,1.03,-28,-28,1.1,1.1,163,12.0,0,1,S,01-Jan-2003 14:00,-29.1,#N/A,#N/A,#N/A,#N/A,#N/A
