YEAR,DATE,MONTH,DAYS,ID,JULIAN,HOUR,RAIN,PYRANOMETER,LAKE QUANTUM,QUANTUM,AIR TEMP 1M,AIR TEMP 5M,RH 1M,RH 5M,BAROMETER,WIND SP 1M,AIR TC 1M,AIR TC 5M,WIND SP 5M,WIND MAG 5M,WIND DIR 5M,WIND STD 5M,VAPOR PRESS 5M,PYR J CM2 HR,WIND SECTOR,DATE Stowaway,Stowaway 1M,Comments
2002,01-Jan-2002,1,1.04,124,1,0100,0,-0.002,#N/A,-3.733,-27.3,-26.6,78,83,696,0.5,-27,-27,0.6,0.5,158,28.2,1,0,S, 101/01/02 1r:00.,-28.11,
2002,01-Jan-2002,1,1.08,124,1,0200,0,-0.002,#N/A,-3.686,-27.1,-26.1,78,85,696,0.6,-27,-26,0.7,0.3,21,59.3,1,0,N, 101/01/02 2r:00.,-27.17,
2002,01-Jan-2002,1,1.13,124,1,0300,0,-0.002,#N/A,-4.605,-11.6,-10.4,88,88,694,2.6,-12,-11,2.3,2.1,157,24.0,2,0,SE, 101/01/02 3r:00.,-10.22,
2002,01-Jan-2002,1,1.17,124,1,0400,0,-0.002,#N/A,-4.672,-8.6,-8.2,80,84,694,3.3,-9,-9,2.9,2.8,177,15.2,3,0,S, 101/01/02 4r:00.,-9.21,
2002,01-Jan-2002,1,1.21,124,1,0500,0,-0.002,#N/A,-4.453,-8.2,-7.9,80,84,693,6.0,-9,-8,5.6,5.6,167,9.2,3,0,S, 101/01/02 5r:00.,-8.71,
2002,01-Jan-2002,1,1.25,124,1,0600,0,-0.002,#N/A,-4.133,-8.1,-7.8,80,84,692,7.2,-8,-8,6.9,6.8,175,11.1,3,0,S, 101/01/02 6r:00.,-8.71,
2002,01-Jan-2002,1,1.29,124,1,0700,0,-0.002,#N/A,-4.051,-7.7,-7.4,79,83,691,7.9,-8,-8,8.5,8.3,178,11.3,3,0,S, 101/01/02 7r:00.,-8.22,
2002,01-Jan-2002,1,1.33,124,1,0800,0,-0.002,#N/A,-4.051,-7.2,-6.8,72,77,691,8.2,-7,-7,9.4,9.3,191,9.0,3,0,S, 101/01/02 8r:00.,-7.27,
2002,01-Jan-2002,1,1.38,124,1,0900,0,-0.002,#N/A,-4.05,-7.0,-6.7,73,77,690,7.6,-7,-7,9.0,8.8,188,9.9,3,0,S, 101/01/02 9r:00.,-7.27,
2002,01-Jan-2002,1,1.42,124,1,1000,0,-0.002,#N/A,-4.05,-7.6,-7.3,77,82,690,7.4,-8,-7,8.8,8.6,181,11.3,3,0,S, 101/01/02 10r:00.,-8.22,
2002,01-Jan-2002,1,1.46,124,1,1100,0,-0.002,#N/A,-3.834,-7.9,-7.6,76,81,689,7.2,-8,-8,8.5,8.4,177,9.2,3,0,S, 101/01/02 11r:00.,-8.22,
2002,01-Jan-2002,1,1.50,124,1,1200,0,-0.001,#N/A,-1.978,-7.6,-7.3,73,78,689,6.6,-7,-7,7.7,7.5,182,13.5,3,0,S, 101/01/02 12r:00.,-7.74,
2002,01-Jan-2002,1,1.54,124,1,1300,0,0,#N/A,1.492,-8.1,-7.7,67,72,689,2.9,-8,-8,3.4,3.0,204,29.0,2,1,SW, 101/01/02 13r:00.,-8.71,
