"date","fit","se.pred","Flow"
1991-01-01,7.43257697611119,1.72471446086993,0.00525
1991-01-02,7.5,1.74035983725424,0.00457
1991-01-03,7.32464288413619,1.69966857303742,0.00394
1991-01-04,7.1,1.64754064593401,0.00365
1991-01-05,7.19251976953946,1.66900967140848,0.00337
1991-01-06,7.30285169077483,1.69461197067316,0.00302
1991-01-07,7.4,1.71715503942418,0.00276
1991-01-08,7.36808578666609,1.70974941074099,0.00247
1991-01-09,7.3,1.69395024159412,0.00236
1991-01-10,7.48312316295975,1.73644360133894,0.00227
1991-01-11,7.7,1.78676943291435,0.00206
1991-01-12,7.64023437491687,1.77290094044194,0.00194
1991-01-13,7.56808897566177,1.75615974640111,0.00188
1991-01-14,7.5,1.74035983725424,0.00181
1991-01-15,7.45628143749971,1.73021503321184,0.00178
1991-01-16,7.4,1.71715503942418,0.00181
1991-01-17,7.40179127131049,1.71757070031037,0.00181
1991-01-18,7.4,1.71715503942418,0.00183
1991-01-19,7.45725029126769,1.73043985376997,0.00178
1991-01-20,7.52774279758109,1.74679749734533,0.00168
1991-01-21,7.6,1.76356463508429,0.00158
1991-01-22,7.86012524463567,1.82392617220694,0.00147
1991-01-23,8.1,1.87958862423458,0.00148
1991-01-24,8.1418289494945,1.88929494739921,0.00143
1991-01-25,8.2,1.90279342206463,0.00132
1991-01-26,8.13571467887027,1.88787614326208,0.00129
1991-01-27,8.07304929714169,1.87333476812253,0.00126
1991-01-28,8,1.85638382640452,0.00128
1991-01-29,7.9469139492411,1.84406531564996,0.00126
1991-01-30,7.9,1.83317902857446,0.00122
1991-01-31,8.47345051878968,1.96624706211502,0.00118
1991-02-01,9.1,2.11163660253514,0.0011
1991-02-02,8.94451742956172,2.07555718640396,0.00104
1991-02-03,8.78320065632616,2.03812395530868,0.00102
1991-02-04,8.5,1.9724078155548,0.0015
1991-02-05,8.48164836734096,1.96814935629776,0.00128
1991-02-06,8.4,1.94920301772475,0.00131
1991-02-07,8.39179526468381,1.94729912548213,0.00147
1991-02-08,8.4,1.94920301772475,0.00157
1991-02-09,8.61433378497476,1.99893873920965,0.00154
1991-02-10,8.85466509811802,2.05470713454686,0.00144
1991-02-11,9.1,2.11163660253514,0.00135
1991-02-12,9.16029303525483,2.12562747947163,0.00125
1991-02-13,9.2,2.1348414003652,0.00123
1991-02-14,9.20338598696813,2.13562711179571,0.0012
1991-02-15,9.2,2.1348414003652,0.0012
1991-02-16,9.13039616588145,2.11868997137602,0.00114
1991-02-17,9.06719111092062,2.10402336615398,0.00106
1991-02-18,9,2.08843180470508,0.001
1991-02-19,8.53694389758444,1.98098057229982,0.00236
1991-02-20,8.3,1.92599821989469,0.00294
1991-02-21,8.59659486404632,1.99482245847097,0.00264
1991-02-22,8.9,2.06522700687503,0.00237
1991-02-23,8.95986767258475,2.07911917926388,0.00207
1991-02-24,8.98737325293349,2.08550179357579,0.0019
1991-02-25,9,2.08843180470508,0.00179
1991-02-26,8.88906055550675,2.06268853089664,0.00172
1991-02-27,8.8,2.04202220904497,0.00158
1991-02-28,8.65082141184434,2.00740561925772,0.00149
1991-03-01,8.5,1.9724078155548,0.00142
1991-03-02,7.7557875088249,1.79971481155159,0.0105
1991-03-03,8.3156950914797,1.9296402341418,0.0127
1991-03-04,9.1,2.11163660253514,0.0134
1991-03-05,8.09773784297079,1.87906369526935,0.0127
1991-03-06,7.2,1.67074544376407,0.0121
1991-03-07,6.71826949621394,1.5589608542748,0.0176
1991-03-08,6.9,1.6011310502739,0.0143
1991-03-09,6.74092083649259,1.56421705199226,0.0108
1991-03-10,6.60866646579219,1.53352769264982,0.00771
1991-03-11,6.4,1.48510706112362,0.00583
1991-03-12,6.56836002592986,1.52417466476727,0.00497
1991-03-13,6.7,1.55472145461379,0.00445
1991-03-14,6.31261074166524,1.46482856040185,0.004
1991-03-15,5.9,1.36908307197333,0.0039
1991-03-16,6.07207534818517,1.40901280863507,0.00427
1991-03-17,6.1855471928257,1.43534372077794,0.00513
1991-03-18,6.3,1.46190226329356,0.00609
1991-03-19,6.37660861758594,1.47967913812478,0.00668
1991-03-20,6.5,1.50831185895367,0.00691
1991-03-21,6.39865531208844,1.48479502901229,0.0067
1991-03-22,6.4,1.48510706112362,0.00568
1991-03-23,6.68634862116709,1.55155367975459,0.00552
1991-03-24,6.1513922017375,1.42741812414705,0.0137
1991-03-25,6.3,1.46190226329356,0.0152
1991-03-26,6.36168600567193,1.47621637619917,0.0119
1991-03-27,5.4,1.25305908282305,0.026
1991-03-28,4.37417341074696,1.01501809669992,0.0786
1991-03-29,5.09045489119256,1.18122976613146,0.0479
1991-03-30,6.1,1.41549266763345,0.0235
1991-03-31,5.81240767431874,1.34875744988435,0.0125
1991-04-01,5.2,1.20664948716294,0.00921
1991-04-02,5.48418619309242,1.27259431873097,0.00792
1991-04-03,5.6,1.29946867848316,0.00866
1991-04-04,5.85766428180135,1.35925915415543,0.0153
1991-04-05,5.9,1.36908307197333,0.0301
1991-04-06,5.38836752970647,1.2503597916088,0.0423
1991-04-07,4.8,1.11383029584271,0.0644
1991-04-08,5,1.16023989150282,0.0598
1991-04-09,5.47200753386583,1.26976828547903,0.051
1991-04-10,6.2,1.4386974654635,0.0368
1991-04-11,6.13911774851464,1.42456986209194,0.0201
1991-04-12,5.8,1.34587827414328,0.0132
1991-04-13,6.26101576951436,1.45285605142376,0.0109
1991-04-14,6.70081977714213,1.55491168224227,0.00945
1991-04-15,6.7,1.55472145461379,0.013
1991-04-16,6.61901190687887,1.53592833133861,0.0213
