"date","fit","se.pred","Flow"
1999-04-28,9.97861048244521,2.6919314445677,1.86
1999-04-29,10.105857335003,2.72636343152252,1.73
1999-04-30,10.2512345643816,2.76574348962269,1.55
1999-05-01,10.3697870055105,2.79781423004822,1.46
1999-05-02,10.4962282921903,2.83204079527815,1.35
1999-05-03,10.6142783681203,2.86397739184831,1.27
1999-05-04,10.7302307027495,2.89534077334712,1.2
1999-05-05,10.8563202351628,2.92948283126601,1.1
1999-05-06,10.967686572686,2.95959174088705,1.05
1999-05-07,11.011627955861,2.97122768179879,1.22
1999-05-08,10.8887695696912,2.93751272057183,1.87
1999-05-09,10.928477330357,2.94813176313683,2.04
1999-05-10,11.1844040104931,3.01750080165542,1.58
1999-05-11,11.3926001924381,3.07395975701177,1.27
1999-05-12,11.5579729716501,3.11879041321562,1.08
1999-05-13,11.7150944411078,3.16141852503131,0.9
1999-05-14,11.8351753412865,3.19390193442194,0.84
1999-05-15,11.9601467335455,3.22776260704369,0.75
1999-05-16,12.0773610362924,3.25951102237163,0.68
1999-05-17,12.1897578932759,3.29002805578338,0.59
1999-05-18,12.0872160510516,3.26132417629745,1.37
1999-05-19,11.0132959006034,2.97117466123871,5.22
1999-05-20,11.9274843320895,3.21773226371622,2.38
1999-05-21,12.3353356506071,3.32816981129593,1.57
1999-05-22,12.582445315842,3.39511969723356,1.21
1999-05-23,12.7812846070798,3.449008148454,0.96
1999-05-24,11.9724703368828,3.22989300872362,3.52
1999-05-25,11.2781992760231,3.04357243205863,6.69
1999-05-26,11.3088007508913,3.05206131166722,7.02
1999-05-27,11.9846258080695,3.23350399287625,4.56
1999-05-28,12.6333200849266,3.40839206199045,2.81
1999-05-29,13.0814914641082,3.52954125024513,1.92
1999-05-30,13.4254177006303,3.62261459007115,1.36
1999-05-31,13.6252570824007,3.67667741945908,1.15
1999-06-01,13.4777726892935,3.63662422040636,1.78
1999-06-02,12.8971195835879,3.4798839708444,3.63
1999-06-03,12.6341232482355,3.40932528011688,4.86
1999-06-04,13.5144721542724,3.64652029423308,2.52
1999-06-05,13.982231718064,3.77293227614497,1.67
1999-06-06,14.2336997274127,3.84092029670295,1.36
1999-06-07,14.4688294168562,3.90449608961853,1.08
1999-06-08,14.6915220166365,3.96474233585254,0.77
1999-06-09,14.8227578887989,4.00041574849688,0.51
1999-06-10,14.8617410013857,4.01136460804873,0.37
1999-06-11,14.8251537210817,4.00231997616976,0.27
1999-06-12,14.8641792181838,4.01329839319602,0.24
1999-06-13,14.9488309138745,4.0363131178261,0.23
1999-06-14,15.1194806386847,4.08024532091091,1.45
1999-06-15,15.3683534902427,4.14746646518672,1.16
1999-06-16,15.6539355905213,4.22464971373498,0.56
1999-06-17,15.6780021880613,4.23154680415143,0.37
1999-06-18,15.711585208387,4.24097146617283,0.31
1999-06-19,15.5583248831133,4.2011271509074,0.21
1999-06-20,15.4134696160546,4.16389714121459,0.16
