datetime,depth,doc
5/26/2004 0:00,0,2.87
5/26/2004 0:00,10,2.86
5/26/2004 0:00,20,2.64
5/26/2004 0:00,20,2.67
5/26/2004 0:00,32,2.67
6/23/2004 0:00,0,2.98
6/23/2004 0:00,8,3.06
6/23/2004 0:00,10,2.95
6/23/2004 0:00,15,2.73
6/23/2004 0:00,20,2.74
6/23/2004 0:00,32,2.66
7/20/2004 0:00,0,3.24
7/20/2004 0:00,0,3.27
7/20/2004 0:00,3,3.28
7/20/2004 0:00,10,3.06
7/20/2004 0:00,15,2.65
7/20/2004 0:00,27,2.55
7/20/2004 0:00,32,2.48
8/19/2004 0:00,0,3
8/19/2004 0:00,5,2.84
8/19/2004 0:00,10,2.95
8/19/2004 0:00,10,3.02
8/19/2004 0:00,15,2.6
8/19/2004 0:00,20,2.42
8/19/2004 0:00,32,2.43
9/21/2004 0:00,0,2.97
9/21/2004 0:00,10,2.97
9/21/2004 0:00,10,3.02
9/21/2004 0:00,15,2.63
9/21/2004 0:00,20,2.39
9/21/2004 0:00,27,2.26
9/21/2004 0:00,31,2.32
10/14/2004 0:00,0,3.05
10/14/2004 0:00,15,3.05
10/14/2004 0:00,20,2.54
10/14/2004 0:00,20,2.56
10/14/2004 0:00,27,2.58
10/14/2004 0:00,31,2.5
11/10/2004 0:00,0,2.73
11/10/2004 0:00,10,2.8
11/10/2004 0:00,20,2.73
11/10/2004 0:00,20,2.84
11/10/2004 0:00,31,2.76
1/21/2005 0:00,0,2.49
1/21/2005 0:00,10,2.37
1/21/2005 0:00,10,2.42
1/21/2005 0:00,20,2.42
1/21/2005 0:00,32,2.41
3/3/2005 0:00,0,3.05
3/3/2005 0:00,10,2.94
3/3/2005 0:00,20,2.89
3/3/2005 0:00,20,2.94
3/3/2005 0:00,32,2.78
4/5/2005 0:00,0,2.63
4/5/2005 0:00,10,2.78
4/5/2005 0:00,10,2.79
4/5/2005 0:00,20,2.74
4/5/2005 0:00,32,2.7
4/21/2005 0:00,0,2.63
4/21/2005 0:00,10,2.6
4/21/2005 0:00,20,2.61
4/21/2005 0:00,32,2.66
4/21/2005 0:00,32,2.73
5/17/2005 0:00,0,2.93
5/17/2005 0:00,10,2.84
5/17/2005 0:00,20,2.68
5/17/2005 0:00,20,2.71
5/17/2005 0:00,32,2.76
6/16/2005 0:00,0,3.27
6/16/2005 0:00,5,3.33
6/16/2005 0:00,8,3.3
6/16/2005 0:00,8,3.39
6/16/2005 0:00,10,3.52
6/16/2005 0:00,20,4.35
7/13/2005 0:00,0,3.38
7/13/2005 0:00,5,3.3
7/13/2005 0:00,8,3.31
7/13/2005 0:00,15,2.93
7/13/2005 0:00,27,2.77
7/13/2005 0:00,31,2.84
7/13/2005 0:00,31,2.9
8/11/2005 0:00,0,3.11
8/11/2005 0:00,0,3.13
8/11/2005 0:00,5,3.19
8/11/2005 0:00,10,3.1
8/11/2005 0:00,15,2.67
8/11/2005 0:00,20,2.52
8/11/2005 0:00,31,2.51
9/7/2005 0:00,0,3.06
9/7/2005 0:00,0,3.23
9/7/2005 0:00,10,3.09
9/7/2005 0:00,15,2.79
9/7/2005 0:00,20,2.59
9/7/2005 0:00,31,2.7
10/7/2005 0:00,0,3.2
10/7/2005 0:00,12,3.15
10/7/2005 0:00,15,2.69
10/7/2005 0:00,15,2.94
10/7/2005 0:00,20,2.71
10/7/2005 0:00,31,2.85
11/14/2005 0:00,0,2.88
11/14/2005 0:00,10,2.86
11/14/2005 0:00,10,2.92
11/14/2005 0:00,20,2.85
11/14/2005 0:00,32,2.94
1/20/2006 0:00,0,2.66
1/20/2006 0:00,10,2.46
1/20/2006 0:00,10,2.48
1/20/2006 0:00,20,2.37
1/20/2006 0:00,32,2.28
2/14/2006 0:00,0,2.81
2/14/2006 0:00,10,2.71
2/14/2006 0:00,20,2.6
2/14/2006 0:00,20,2.74
2/14/2006 0:00,32,2.52
4/5/2006 0:00,0,0.71
4/5/2006 0:00,0,0.87
4/5/2006 0:00,10,2.4
4/5/2006 0:00,20,2.48
4/5/2006 0:00,32,2.33
4/21/2006 0:00,0,2.58
4/21/2006 0:00,10,2.6
4/21/2006 0:00,20,2.56
4/21/2006 0:00,20,2.61
4/21/2006 0:00,32,2.61
5/17/2006 0:00,0,2.44
5/17/2006 0:00,10,2.53
5/17/2006 0:00,10,2.54
5/17/2006 0:00,20,2.49
5/17/2006 0:00,32,2.4
7/10/2006 0:00,0,3.6
7/10/2006 0:00,8,3.06
7/10/2006 0:00,10,3.09
7/10/2006 0:00,20,2.65
7/10/2006 0:00,32,2.71
7/10/2006 0:00,32,2.85
8/8/2006 0:00,0,3.37
8/8/2006 0:00,0,3.63
8/8/2006 0:00,8,3.25
8/8/2006 0:00,10,2.99
8/8/2006 0:00,15,2.72
8/8/2006 0:00,20,2.73
8/8/2006 0:00,32,2.59
9/6/2006 0:00,0,3.01
9/6/2006 0:00,8,2.98
9/6/2006 0:00,10,2.61
9/6/2006 0:00,15,2.48
9/6/2006 0:00,20,2.34
9/6/2006 0:00,31,2.33
10/3/2006 0:00,0,3.19
10/3/2006 0:00,10,3.05
10/3/2006 0:00,15,2.48
10/3/2006 0:00,20,2.51
10/3/2006 0:00,31,2.48
10/30/2006 0:00,0,2.83
10/30/2006 0:00,10,2.8
10/30/2006 0:00,10,2.9
10/30/2006 0:00,20,2.71
10/30/2006 0:00,31,2.83
1/18/2007 0:00,0,2.51
1/18/2007 0:00,10,2.38
1/18/2007 0:00,20,2.4
1/18/2007 0:00,32,2.23
2/26/2007 0:00,0,2.71
2/26/2007 0:00,10,2.43
2/26/2007 0:00,20,2.45
2/26/2007 0:00,31,2.23
2/26/2007 0:00,31,2.31
3/29/2007 0:00,0,2.55
3/29/2007 0:00,0,2.56
3/29/2007 0:00,10,2.53
3/29/2007 0:00,20,2.5
3/29/2007 0:00,32,2.43
4/26/2007 0:00,0,2.73
4/26/2007 0:00,10,2.62
4/26/2007 0:00,20,2.65
4/26/2007 0:00,20,2.7
4/26/2007 0:00,32,2.62
5/23/2007 0:00,0,2.76
5/23/2007 0:00,0,2.81
5/23/2007 0:00,5,2.95
5/23/2007 0:00,10,2.76
5/23/2007 0:00,15,2.73
5/23/2007 0:00,27,2.83
5/23/2007 0:00,32,2.66
6/20/2007 0:00,0,2.55
6/20/2007 0:00,8,2.55
6/20/2007 0:00,10,2.87
6/20/2007 0:00,15,2.61
6/20/2007 0:00,20,2.62
6/20/2007 0:00,32,2.58
6/20/2007 0:00,32,2.59
7/17/2007 0:00,0,3
7/17/2007 0:00,10,3
7/17/2007 0:00,10,3.2
7/17/2007 0:00,15,2.98
7/17/2007 0:00,20,2.52
7/17/2007 0:00,27,2.48
7/17/2007 0:00,32,2.41
8/14/2007 0:00,0,2.88
8/14/2007 0:00,0,3.07
8/14/2007 0:00,8,3.13
8/14/2007 0:00,10,2.8
8/14/2007 0:00,20,2.45
8/14/2007 0:00,27,2.52
8/14/2007 0:00,32,2.45
9/12/2007 0:00,0,2.91
9/12/2007 0:00,10,2.91
9/12/2007 0:00,15,2.56
9/12/2007 0:00,15,2.62
9/12/2007 0:00,20,2.42
9/12/2007 0:00,32,2.62
10/11/2007 0:00,0,2.33
10/11/2007 0:00,0,3.1
10/11/2007 0:00,15,2.88
10/11/2007 0:00,20,2.68
10/11/2007 0:00,27,2.68
10/11/2007 0:00,32,2.44
11/13/2007 0:00,0,2.63
11/13/2007 0:00,10,2.74
11/13/2007 0:00,20,2.66
11/13/2007 0:00,20,2.73
11/13/2007 0:00,32,2.76
2/1/2008 0:00,0,2.9
2/1/2008 0:00,10,2.81
2/1/2008 0:00,10,3.08
2/1/2008 0:00,20,2.81
2/1/2008 0:00,32,2.59
2/27/2008 0:00,0,2.84
2/27/2008 0:00,10,2.9
2/27/2008 0:00,20,2.89
2/27/2008 0:00,20,2.92
2/27/2008 0:00,32,2.72
3/28/2008 0:00,0,2.8
3/28/2008 0:00,10,2.79
3/28/2008 0:00,20,2.7
3/28/2008 0:00,32,2.56
3/28/2008 0:00,32,2.88
5/12/2008 0:00,0,3.2
5/12/2008 0:00,10,3.03
5/12/2008 0:00,20,3.15
5/12/2008 0:00,20,3.23
5/12/2008 0:00,32,3.22
6/4/2008 0:00,0,2.91
6/4/2008 0:00,10,2.82
6/4/2008 0:00,20,2.73
6/4/2008 0:00,20,2.84
6/4/2008 0:00,32,2.76
7/3/2008 0:00,0,2.82
7/3/2008 0:00,5,2.77
7/3/2008 0:00,10,2.98
7/3/2008 0:00,15,2.69
7/3/2008 0:00,20,2.77
7/3/2008 0:00,32,2.66
7/3/2008 0:00,32,2.73
7/31/2008 0:00,0,3.03
7/31/2008 0:00,0,3.17
7/31/2008 0:00,8,3.13
7/31/2008 0:00,10,3.02
7/31/2008 0:00,15,2.89
7/31/2008 0:00,20,2.66
7/31/2008 0:00,32,3.03
8/27/2008 0:00,0,3.37
8/27/2008 0:00,8,3.33
8/27/2008 0:00,10,3.3
8/27/2008 0:00,10,3.49
8/27/2008 0:00,15,3.02
8/27/2008 0:00,20,2.88
8/27/2008 0:00,32,2.89
9/25/2008 0:00,0,3.02
9/25/2008 0:00,10,2.93
9/25/2008 0:00,15,2.79
9/25/2008 0:00,20,2.53
9/25/2008 0:00,32,2.5
9/25/2008 0:00,32,2.58
10/23/2008 0:00,0,2.67
10/23/2008 0:00,15,2.79
10/23/2008 0:00,20,2.48
10/23/2008 0:00,27,2.41
10/23/2008 0:00,27,2.54
10/23/2008 0:00,32,2.6
11/11/2008 0:00,0,2.78
11/11/2008 0:00,10,2.95
11/11/2008 0:00,20,2.82
11/11/2008 0:00,32,2.8
11/11/2008 0:00,32,2.9
1/19/2009 0:00,0,3.1
1/19/2009 0:00,0,3.59
1/19/2009 0:00,10,3.6
1/19/2009 0:00,20,3.28
1/19/2009 0:00,32,3.27
2/16/2009 0:00,0,2.74
2/16/2009 0:00,0,2.79
