datetime,wtr,DO_con
2004-05-21,10.29,11.05
2004-05-22,10.3,10.94
2004-05-23,9.92,10.69
2004-05-24,9.77,10.73
2004-05-25,9.85,10.61
2004-05-27,10.41,10.45
2004-05-28,11.34,10.54
2004-05-29,11,10.41
2004-07-17,21.03,8.38
2004-07-18,21.69,8.51
2004-07-19,22.58,8.4
2004-07-20,23.52,8.34
2004-07-21,23.64,8.19
2004-07-22,22.32,8.31
2004-07-23,21.86,8.27
2004-07-24,22.12,8.35
2004-07-25,22.2,8.28
2004-07-26,23.02,8.23
2004-07-27,23.03,8.32
2004-07-28,22.27,8.38
2004-07-29,22.18,8.07
2004-07-30,22.39,8.12
2004-07-31,22.07,8.23
2004-08-01,22.8,8.19
2004-08-02,23.62,8.06
2004-08-03,22.62,8.29
2004-08-04,22.09,8.33
2004-08-05,22.05,8.08
2004-08-06,21.88,8.23
2004-08-07,21.69,8.31
2004-08-08,21.51,8.3
2004-08-09,21.29,8.33
2004-08-10,20.34,8.35
2004-08-11,19.42,8.44
2004-08-12,19.09,8.55
2004-08-13,19.04,8.42
2004-08-14,19.8,8.44
2004-08-15,19.38,8.72
2004-08-16,19,8.71
2004-08-17,19.29,8.72
2004-08-18,18.73,8.71
2004-08-19,18.32,8.79
2004-08-20,18.19,8.78
2004-08-21,18.1,8.87
2004-08-22,18.08,8.81
2004-08-23,18.01,8.86
2004-08-24,18.19,8.6
2004-08-25,18.65,8.72
2004-08-26,18.76,8.71
2004-08-27,19.08,8.64
2004-08-28,18.44,8.75
2004-08-29,18.34,8.82
2004-08-30,18.53,8.59
2004-08-31,18.57,8.67
2004-09-01,18.31,8.67
2004-09-02,19.13,8.75
2004-09-03,19.82,8.67
2004-09-04,20.23,8.63
2004-09-05,19.99,8.58
2004-09-06,19.45,8.52
2004-09-07,18.75,8.48
2004-09-08,18.57,8.64
2004-09-09,18.98,8.59
2004-09-10,18.61,8.57
2004-09-11,19.11,8.47
2004-09-12,19.19,8.58
2004-09-13,18.97,8.49
2004-09-14,19.06,8.38
2004-09-15,18.45,8.32
2004-09-16,18.1,8.33
2004-09-17,17.97,8.38
2004-09-18,18.23,8.55
2004-09-19,18,8.54
2004-09-20,17.87,8.54
2004-09-21,18.3,8.54
2004-09-22,18.5,8.62
2004-09-23,18.42,8.61
2004-09-24,17.76,8.49
2004-09-25,17.85,8.59
2004-09-26,17.82,8.65
2004-09-27,17.45,8.56
2004-09-28,17.17,8.56
2004-09-29,17.11,8.68
2004-09-30,16.8,8.62
2004-10-01,16.21,8.56
2004-10-02,15.52,8.75
2004-10-03,14.97,8.83
2004-10-04,14.29,9.01
2004-10-05,13.99,9.08
2004-10-06,14.11,9.23
2004-10-07,13.93,9.22
2004-10-08,13.85,9.18
2004-10-09,13.62,9.11
2004-10-10,13.97,9.32
2004-10-11,13.76,9.46
2005-04-18,4.15,11.47
2005-04-19,5.1,11.76
2005-04-20,4.36,11.49
2005-04-21,5.71,11.69
2005-04-22,5.06,11.7
2005-04-23,4.62,11.71
2005-04-24,4.64,11.79
2005-04-25,4.79,11.82
2005-04-26,4.91,11.88
2005-04-27,5.17,11.97
2005-04-28,4.99,11.95
2005-04-29,5.01,11.95
2005-04-30,5.09,12.07
2005-05-01,5.11,12.08
2005-05-02,5.12,12.11
2005-05-03,5.09,12.17
2005-05-04,5.51,12.2
2005-05-05,5.69,12.25
2005-05-06,6.48,12.32
2005-05-07,6.91,12.45
2005-05-08,7.03,12.49
2005-05-09,7.48,12.49
2005-05-10,8.1,12.45
2005-05-11,7.58,12.4
2005-05-12,7.43,12.35
2005-05-13,7.36,12.22
2005-05-14,7.29,12.2
2005-05-15,7.17,12.18
2005-05-16,7.64,12.38
2005-05-17,8.29,12.23
2005-05-18,7.98,12.43
2005-05-19,7.9,12.21
2005-05-20,8.7,12.15
2005-05-21,9.57,12.24
2005-05-22,9.56,12.16
2005-05-23,10.19,11.96
2005-05-24,11.44,11.88
2005-05-25,11.69,11.89
2005-05-26,11.58,11.63
2005-05-27,12.15,11.32
2005-05-28,12.69,11.2
2005-05-29,13.46,11.14
2005-05-30,13.44,11.28
2005-05-31,14.79,11.05
2005-06-01,15.23,10.96
2005-06-02,15.51,10.84
2005-06-03,16.29,10.65
2005-06-04,16.85,10.35
2005-06-05,16.8,10.24
2005-06-06,16.71,10.12
2005-06-07,17.13,9.75
2005-06-08,17.68,9.89
2005-06-09,18.49,9.76
2005-06-10,18.91,9.67
2005-06-11,19.4,9.52
2005-06-12,19.85,9.4
2005-06-13,20.36,9.14
2005-06-14,19.88,9.14
2005-06-15,19.41,9.36
2005-06-16,18.97,9.45
2005-06-17,19.07,9.26
2005-06-18,19.61,9.17
2005-06-19,20.19,9.21
2005-06-20,20.81,9.03
2005-06-21,21.24,8.89
2005-06-22,21.72,8.35
2005-06-23,21.68,9.03
2005-06-24,21.94,8.78
2005-06-25,22.4,8.67
2005-06-26,22.23,8.76
2005-06-27,22.12,8.83
2005-06-28,22.53,8.66
2005-06-29,22.47,8.6
2005-06-30,21.88,8.9
2005-07-01,20.96,8.04
2005-07-08,22.08,8.51
2005-07-21,25.25,8.18
2005-07-22,25.07,8.17
2005-07-23,24.54,8.19
2005-07-24,24.38,8.16
2005-07-25,24.05,8.12
2005-07-26,23.73,8.25
2005-07-27,23.4,8.36
2005-07-28,22.95,8.36
2005-07-29,23.36,8.35
2005-07-30,22.67,8.51
2005-07-31,23.04,8.48
2005-08-01,23.94,8.37
2005-08-02,24.62,8.32
2005-08-03,24.79,8.2
2005-08-04,24.66,8.09
2005-08-05,24.62,7.99
2005-08-06,24.18,8.07
2005-08-07,24.33,8.02
2005-08-08,24.38,8.01
2005-08-09,24.36,7.81
2005-08-10,24.33,7.78
2005-08-11,24.02,7.79
2005-08-12,23.7,7.76
2005-08-13,23.45,7.78
2005-08-14,23.35,7.79
2005-08-15,23.3,7.82
2005-08-16,23.39,7.83
2005-08-17,23.06,7.84
2005-08-18,22.66,7.82
2005-08-19,22.63,7.81
2005-08-20,22.6,7.87
2005-08-21,21.96,7.91
2005-08-22,21.36,7.94
2005-08-23,21.54,8
2005-08-24,21.06,8.08
2005-08-25,20.98,8.09
2005-08-26,20.87,8.07
2005-08-27,20.87,8.09
2005-08-28,20.79,8.08
2005-08-29,20.78,8.07
2005-08-30,20.68,8.07
2005-08-31,21.04,8.06
2005-09-01,20.49,8.15
2005-09-02,20.04,8.14
2005-09-03,20.43,8.08
2005-09-04,20.09,8.18
2005-09-05,20.31,8.17
2005-09-06,20.57,8.1
2005-09-07,20.54,8.02
2005-09-08,20.35,8.06
2005-09-09,20.22,8.2
2005-09-10,20.43,8.23
2005-09-11,20.58,8.17
2005-09-12,20.78,8.03
2005-09-13,21.03,7.92
2005-09-14,20.66,7.83
2005-09-15,20.42,7.9
2005-09-16,20.51,7.9
2005-09-17,20.33,7.98
2005-09-18,20.55,8.1
2005-09-19,20.17,8.01
2005-09-20,19.89,7.98
2005-09-21,20.03,8
2005-09-22,19.89,8.12
2005-09-23,19.45,8.12
2005-09-24,18.99,8.23
2005-09-25,18.72,8.14
2005-09-26,18.45,8.19
2005-09-27,18.26,8.24
2005-09-28,17.9,8.24
2005-09-29,17.09,8.28
2005-09-30,16.51,8.35
2005-10-01,16.66,8.39
2005-10-02,16.6,8.47
2005-10-03,16.99,8.48
2005-10-04,17.24,8.37
2005-10-05,17.2,8.34
2005-10-06,16.48,8.37
2005-10-07,15.63,8.38
2005-10-08,15.39,8.43
2005-10-09,15.14,8.48
2005-10-10,15.01,8.54
2005-10-11,14.9,8.56
2005-10-12,14.75,8.56
2005-10-13,14.67,8.59
2005-10-14,14.48,8.6
2005-10-15,14.08,8.64
2005-10-16,14,8.7
2005-10-17,13.58,8.73
2005-10-18,13.5,8.77
2005-10-19,13.16,8.71
2005-10-20,12.98,8.72
2005-10-21,12.71,8.71
2005-10-22,12.48,8.73
2005-10-23,12.13,8.8
2005-10-24,11.74,8.85
2005-10-25,11.5,8.82
2005-10-26,11.31,8.7
2005-10-27,11.18,8.71
2005-10-28,11.05,8.81
2005-10-29,10.86,8.88
2005-10-30,10.78,8.94
2005-10-31,10.66,8.96
2005-11-01,10.46,8.95
2005-11-02,10.26,8.95
2005-11-03,10.07,8.94
2005-11-04,9.88,8.79
2005-11-05,9.69,8.8
2005-11-06,9.51,8.8
2005-11-07,9.41,8.69
2005-11-08,9.31,8.64
2005-11-09,8.97,8.63
2005-11-10,8.46,8.48
2005-11-11,8.35,8.23
2005-11-12,8.35,8.3
2005-11-13,8.26,8.48
2005-11-14,7.93,8.56
2005-11-15,7.78,8.5
2005-11-16,7.38,8.74
2005-11-17,6.74,9.08
2005-11-18,6.46,9.08
2005-11-19,6.27,9.14
2005-11-20,6.09,9.21
2005-11-21,5.85,9.4
2005-11-22,5.55,9.5
2005-11-23,5.36,9.53
2005-11-24,4.78,9.74
2005-11-25,4.4,9.82
2005-11-26,4.02,9.87
2006-05-26,13.89,10.54
2006-05-27,14.49,10.46
2006-05-28,15.37,10.22
2006-05-29,16.6,9.97
2006-05-30,17.94,9.7
2006-05-31,18.29,9.69
2006-06-01,18.57,9.62
2006-06-02,18.84,9.5
2006-06-03,19.11,9.41
2006-06-04,19.51,9.31
2006-06-05,19.76,9.17
2006-06-06,19.6,9.02
2006-06-07,19.68,9
2006-06-08,19.7,9.12
2006-06-09,19.07,9.17
2006-06-10,18.37,9.25
2006-06-11,18.28,9.18
2006-06-12,18.57,9.15
2006-06-13,18.91,9.13
2006-06-14,19.07,9.17
2006-06-15,19.2,9.16
2006-06-16,19.62,9.13
2006-06-17,20.35,8.99
2006-06-18,20.77,8.88
2006-06-19,20.43,8.9
2006-06-20,20.34,8.99
2006-06-21,20.43,9.03
2006-06-22,20.32,8.99
2006-06-23,20.26,9.1
2006-06-24,NA,9.12
2006-06-25,20.5,9.15
2006-06-26,21.11,9.38
2006-06-27,21.05,9.21
2006-06-28,20.8,9.18
2006-06-29,20.88,9.24
2006-06-30,21.62,9.21
2006-07-01,21.74,9.04
2006-07-02,21.98,8.92
2006-07-03,NA,8.92
2006-07-04,21.77,9
2006-07-05,21.48,9.08
2006-07-06,21.79,9.22
2006-07-07,21.86,9.09
2006-07-08,21.84,8.91
2006-07-09,21.87,8.96
2006-07-10,21.77,9.2
2006-07-11,22.22,9.08
2006-07-12,22.94,9.11
2006-07-13,23.98,9.03
2006-07-14,24.34,8.74
2006-07-15,24.29,8.74
2006-07-16,24.3,8.69
2006-07-17,24.5,8.62
2006-07-18,24.63,8.68
2006-07-19,23.67,8.8
2006-07-20,23.7,8.77
2006-07-21,23.54,8.8
2006-07-22,23.38,8.84
2006-07-23,23.05,8.87
2006-07-24,23.09,8.82
2006-07-25,23.55,8.79
2006-07-26,23.86,8.7
2006-07-27,24.19,8.72
2006-07-28,24.45,8.7
2006-07-29,24.79,8.61
2006-07-30,24.32,8.62
2006-07-31,24.09,8.74
2006-08-01,24.44,8.62
2006-08-02,24.08,8.66
2006-08-03,24.09,8.76
2006-08-04,24.37,8.81
2006-08-05,24.14,8.83
2006-08-06,23.59,8.83
