datetime,SW_DOC
1994-03-04,2.933333333333333
1994-03-28,3.4
1994-05-05,3.9
1994-08-17,5.1
1994-09-09,4.05
1994-10-27,5.1
1994-11-09,3.95
1995-03-17,3.7
1995-06-07,5.175
1995-07-28,5.975
1995-11-07,5.6
1996-03-07,6.55
1996-03-21,4.333333333333333
1996-03-29,4.766666666666667
1996-04-04,8.133333333333333
1996-04-18,6.833333333333333
1996-04-26,7.633333333333334
1996-05-02,7.5
1996-05-09,8.133333333333333
1996-05-19,8.433333333333334
1996-05-21,11.799999999999999
1996-05-29,5.85
1996-06-05,7.333333333333333
1996-06-14,8.233333333333333
1996-06-21,9.799999999999999
1996-06-27,15.766666666666666
1996-07-05,13.700000000000001
1996-07-10,11
1996-07-20,11.966666666666667
1996-07-24,13.866666666666667
1996-07-29,8.85
1996-08-07,10.566666666666666
1996-08-14,11.9
1996-08-20,9.766666666666666
1996-08-28,8.366666666666667
1996-09-05,7.366666666666666
1996-09-11,7.166666666666667
1996-09-18,6.966666666666667
1996-09-26,2.8000000000000003
1996-10-03,3.9
1996-10-09,4.766666666666667
1996-10-16,3.8000000000000003
1996-10-23,8.766666666666667
1996-12-01,5.5
1997-03-29,8.65
1997-03-31,7.75
1997-04-02,9.05
1997-04-06,11.25
1997-04-11,8.899999999999999
1997-04-17,7.85
1997-04-20,8.55
1997-04-22,7.5
1997-05-31,5.025
1997-09-09,12.166666666666668
1997-11-12,4.525
1998-02-23,2.5
1998-02-24,4.4
1998-03-15,4.025
1998-03-30,4.4
1998-04-01,8.05
1998-04-03,6.8
1998-04-05,6.85
1998-04-07,6.85
1998-04-09,6
1998-04-11,5.2
1998-04-14,4.8
1998-06-01,6.575
1998-07-31,4.875
1998-09-22,4.725
1999-04-06,13.4
