Parameter	Value	Units
#General Parameters		
LakePerimeter	32448	m
LakeDepth	14.6	m
LakeArea	15650000	m^2
LakeVolume	229000000	m^3
DOC_init	2.9	g/m^3
POC_init	0.29	g/m^3
#Sedimentation Parameters		
BurialFactor	0.01	1/days
#SWGW Parameters		
PropCanopy	0.76	unitless
PropWetlands	0	unitless
AerialLoad	1	gPOC/m/yr
WetlandLoad	1	gDOC/m/yr
PropGW	0	unitless
DOC_gw	10	g/m3
DOC_sw	5.8	g/m3
DOC_precip	2	g/m3
#Min/Resp Parameters		
DOC_miner_const	0.005	1/days
