Date,NEP,Oxygen,Oxygen_conc
2001-04-25,-0.0483929843563366,-0.129047958283564,13.7901277397322
2001-04-26,-0.0477040367874751,-0.1272107647666,13.6610797814487
2001-04-27,-0.0466580917109611,-0.124421577895896,13.5448703670952
2001-04-28,-0.0459889463431167,-0.122637190248311,13.44541717166
2001-04-29,-0.0453231937018971,-0.120861849871726,13.3552134510689
2001-04-30,-0.0446611477572823,-0.119096394019419,13.2731590430076
2001-05-01,-0.0436651622865944,-0.116440432764252,13.1982850546329
2001-05-02,-0.0430227226232598,-0.114727260328693,13.1350660178358
2001-05-03,-0.0423839763811559,-0.113023937016416,13.0767316486166
2001-05-04,-0.0414297237124823,-0.110479263233286,13.0227052244452
2001-05-05,-0.0408108989148437,-0.108829063772917,12.9777168274743
2001-05-06,-0.0401959123442501,-0.107189099584667,12.9353993093178
2001-05-07,-0.039584725545632,-0.105559268121685,12.8954413986055
2001-05-08,-0.0386788128594994,-0.103143500958665,12.8575692216363
2001-05-09,-0.0380873104609197,-0.101566161229119,12.8266646109453
2001-05-10,-0.0375000885118789,-0.100000236031677,12.7967248812716
2001-05-11,-0.0366340669191596,-0.0976908451177591,12.7676422772651
2001-05-12,-0.0360662960762478,-0.0961767895366609,12.744364457936
2001-05-13,-0.0355027561281882,-0.0946740163418351,12.7211107227996
2001-05-14,-0.0349435583436198,-0.0931828222496528,12.6978862947765
2001-05-15,-0.0341251589394559,-0.0910004238385491,12.674695360069
2001-05-16,-0.0343695689070834,-0.0916521837522223,12.6564741068001
2001-05-17,0.00837541654467718,0.0223344441191392,12.6229856985662
2001-05-18,0.00916680973862845,0.0244448259696759,12.6992190107425
2001-05-19,0.0105865530622923,0.0282308081661127,12.7553669694333
2001-05-20,0.0106961584811252,0.0285230892830005,12.8007839866656
2001-05-21,0.0109340634074737,0.0291575024199298,12.8294074682753
2001-05-22,0.0110605033349002,0.0294946755597337,12.8475557632133
2001-05-23,0.0113160963103608,0.0301762568276288,12.8524161741164
2001-05-24,0.0121478976465993,0.0323943937242649,12.8498091702861
2001-05-25,0.0124144194007298,0.033105118401946,12.8394552563112
2001-05-26,0.0125744248108589,0.0335317994956237,12.8237525241383
2001-05-27,0.0140233987560286,0.0373957300160761,12.7995250805777
2001-05-28,0.0143178718926056,0.0381809917136149,12.771328908294
2001-05-29,0.0145085557260555,0.0386894819361481,12.74015595088
2001-05-30,0.0154891765832882,0.0413044708887686,12.7026841314409
2001-05-31,0.0156945833193403,0.0418522221849076,12.6669912211624
2001-06-01,0.0160143960293643,0.0427050560783049,12.6259110265627
2001-06-02,0.0162369313632733,0.0432984836353955,12.5837396387814
2001-06-03,0.0165734593016162,0.0441958914709765,12.5371650334384
2001-06-04,0.018170469782454,0.0484545860865441,12.4902995142164
2001-06-05,0.0191702437559957,0.0511206500159886,12.4434281699961
2001-06-06,0.0194230311453615,0.0517947497209639,12.4002524341458
2001-06-07,0.0197782138395289,0.052741903572077,12.3533661747571
2001-06-08,0.0199559811550882,0.053215949746902,12.3065581790733
2001-06-09,0.0204254242238412,0.0544677979302431,12.2534725042212
2001-06-10,0.0208864803815515,0.0556972810174707,12.2045321844973
2001-06-11,0.021339120378919,0.0569043210104506,12.1592712584673
2001-06-12,0.0218636887675715,0.0583031700468573,12.1172748565467
2001-06-13,0.0222903568797277,0.0594409516792739,12.0812952140201
2001-06-14,0.0227098798509814,0.0605596796026171,12.0475023621133
2001-06-15,0.0231223935619773,0.0616597161652729,12.0156488137693
2001-06-16,0.0235265519868063,0.0627374719648167,11.9855145919892
2001-06-17,0.0239223366021615,0.0637928976057641,11.9569002534897
2001-06-18,0.0243099707377598,0.064826588634026,11.9296281712303
2001-06-19,0.0246895195935655,0.0658387189161746,11.9035407808469
2001-06-20,0.0250614371874154,0.0668304991664412,11.8784979532829
2001-06-21,0.0254252445952099,0.067800652253893,11.8543761148483
2001-06-22,0.0258389244330677,0.0689037984881806,11.8310639393425
2001-06-23,0.0261797911699037,0.0698127764530765,11.8114183091195
2001-06-24,0.0265141446317264,0.0707043856846038,11.7920404738445
2001-06-25,0.0268417905944354,0.0715781082518277,11.7728950649146
2001-06-26,0.0271628082486951,0.0724341553298537,11.753950022566
2001-06-27,0.0274772836221486,0.0732727563257295,11.7351769615197
2001-06-28,0.0277848077970801,0.0740928207922137,11.7165507855434
2001-06-29,0.0280860104252979,0.0748960278007945,11.6980480063081
2001-06-30,0.0283811700176759,0.0756831200471359,11.6796493364719
2001-07-01,0.0286682717397571,0.0764487246393524,11.6613382917327
2001-07-02,0.0289915549438617,0.0773108131836311,11.643094767384
2001-07-03,0.0292615148372083,0.0780307062325555,11.6277193834362
2001-07-04,0.0295260341569589,0.0787360910852236,11.6120539624684
2001-07-05,0.0297853273215782,0.0794275395242085,11.5961267876735
2001-07-06,0.030039497069582,0.0801053255188854,11.5799635449736
2001-07-07,0.0302885998784385,0.0807695996758361,11.5635873111558
2001-07-08,0.0305327148193897,0.0814205728517058,11.5470187177604
2001-07-09,0.0307719606530063,0.0820585617413502,11.5302762805585
2001-07-10,0.0310056275774481,0.0826816735398615,11.5133767383858
2001-07-11,0.0312355421825252,0.0832947791534006,11.496333039378
2001-07-12,0.0299420192038862,0.0798453845436965,11.4791615218472
2001-07-13,0.0301712157664691,0.0804565753772508,11.4604287840509
2001-07-14,0.0303974938384978,0.0810599835693275,11.4417624755351
2001-07-15,0.0306180304903635,0.081648081307636,11.423157889276
2001-07-16,0.0308319984322433,0.0822186624859821,11.4046032520725
