datetime,Measured,MeasuredWC,Modelled
2002-03-28,5.59,5.479,5.5
2002-04-24,5.39,5.284,4.5964469397283
2002-05-20,5.31,5.29,4.63438481535883
2002-06-18,5.88,5.405,4.67259282252759
2002-07-15,6.33,5.683,4.49775202585049
2002-08-12,5.84,5.52,4.31192536138702
2002-09-23,6.82,6.522,4.09528085529327
2002-10-21,5.52,5.63,4.05845215291908
2002-11-18,5.8,5.614,4.07570873331596
2003-01-21,7.66,6.068,4.0177950604548
2003-04-14,5.58,5.494,4.05148914179371
2003-05-13,5.91,5.794,4.20423617780127
2003-06-09,6.15,6.128,4.17504302096444
2003-08-04,7.105,6.235,3.93465452398301
2003-09-02,5.78,5.614,3.76632941578707
2003-09-29,5.73,5.49,3.68978720256833
2003-10-27,5.57,5.708,3.65189085677448
2003-11-25,5.69,5.81,3.78987713649177
2004-02-03,5.6,5.408,3.80310137274866
2004-04-12,5.98,8.256,4.08388675144578
2004-05-10,7.19,6.269,4.13721547869822
2004-06-07,5.69,5.503,4.41673578896614
2004-07-06,6.34,5.811,4.43465058933571
2004-08-03,6.9,6.308,4.38987509940707
2004-10-05,5.885,5.864,4.23441245320513
2004-11-03,5.65,5.594,4.20683013312068
2005-01-31,6.01,5.682,4.19936131038249
2005-04-15,5.83,5.666,4.65895736514037
2005-05-09,5.84,6.024,4.64396655457807
2005-06-06,6.73,6.336,4.60891723952026
2005-07-05,7.77,6.562,4.49089569771412
2005-08-29,7.47,6.334,4.1294203280875
2005-09-26,6.64,6.726,3.98526742091771
2006-04-17,4.64,4.721,3.95548094818481
2006-05-15,4.94,4.84,4.01858935576356
2006-06-12,8.93,5.697,4.01448629818241
2006-07-10,6.29,5.636,3.91521814499267
2006-08-07,5.6,5.366,3.82130947792211
2006-09-06,5.12,4.995,3.72991483176436
2006-10-02,5.17,5,3.72250517173865
2006-10-30,5.21,5.29,3.7087149421722
2006-11-27,4.97,5.016,3.72879673002962
2007-01-03,5.165,5.188,3.76228564801192
2007-02-19,5.19,4.986,3.76551843595475
2007-04-16,4.8,4.709,4.16555796564438
2007-05-14,4.97,5.05,4.27626562463688
2007-06-11,5.13,5.15,4.27083816752317
2007-07-09,5.37,5.215,4.1776927762997
2007-08-06,5.2,5.197,4.02916357693125
2007-09-04,5.21,5.108,4.36178010261681
2007-10-01,5.38,5.41,4.34634862813598
2007-10-29,5.22,5.058,4.36763668113117
2007-11-26,5.055,5.088,4.36395614186769
2008-02-13,5.45,5.11,4.57011714407591
2008-04-14,5.045,4.954,5.13992359735985
2008-07-07,5.3,5.037,6.01358574824644
2008-08-04,5.68,5.396,6.05125854429219
2008-09-29,5.07,5.514,5.83180834739304
2008-10-29,4.63,4.907,5.78471265068182
2009-01-21,6.57,5.812,5.88224310620412
2009-04-15,4.92,4.927,6.660988497709
2009-05-11,4.48,4.52,6.83522306649982
2009-07-06,5.06,4.875,6.78301174960924
2009-08-05,5.01,5.006,6.57060323643376
2009-09-02,4.94,4.866,6.38441294275397
2009-09-30,5.22,6.554,6.25954431137967
2009-10-28,5.42,5.516,6.22683300768577
2009-12-03,5.025,5.12,6.25432061748554
2010-02-01,5.02,4.252,6.29248825001963
2010-04-13,6.135,6.307,6.58079683186874
2010-05-10,4.61,4.696,6.51737428297711
2010-06-07,5.205,5.109,6.50239235253609
2010-07-05,1.31,4.38,6.46966872762588
2010-08-03,4.63,4.553,6.44386161704287
2010-08-30,4.51,4.874,6.28858365772636
2010-10-05,5.57,4.862,6.17424755376703
2011-04-18,4.24,4.114,6.51513301229197
2011-05-17,4.22,4.217,6.55683333053534
2011-06-13,4.37,4.335,6.48289610654095
2011-07-11,2.76,7.781,6.35203306113686
2012-02-22,4.445,4.403,5.45277124664527
2012-04-17,4.52,4.623,5.54922984733885
2012-06-11,4.63,4.54,5.39402477794126
2012-07-10,4.88,4.485,5.15573612160356
2012-08-06,4.97,4.492,4.95652602463872
2012-09-04,5.13,4.579,4.74230988111979
2012-10-01,4.68,4.712,4.57981977058516
2012-10-29,5.03,5.098,4.48810173130013
2012-11-29,4.59,4.908,4.438143787147
2013-02-12,5,5,4.3709854743955
2013-04-29,5.84,6.08,5.01648056043003
2013-05-14,6.46,6.297,5.09167011462246
2013-06-10,4.03,4.361,5.13845358480741
2013-07-08,4.17,4.412,5.27235118739661
2013-08-05,4.84,4.788,5.15595539241311
2013-09-04,5.93,5.692,4.93696827530959
2013-09-30,3.8,4.006,4.78189385364619
2013-10-29,4.36,4.248,4.68965068238614
2013-12-02,5.26,5.224,4.69419960736698
2014-02-03,4.76,4.966,4.59314933413222
2014-04-29,4.25,4.683,4.90482471281808
2014-05-14,4.86,4.649,4.98372976190643
2014-06-09,4.96,4.585,4.98557850256346
2014-07-07,5.09,4.477,4.97268455495913
2014-08-04,4.86,4.603,4.79766785801634
2014-09-02,4.67,4.715,4.6619848881695
2014-09-28,4.49,4.402,4.51478173522427
2014-10-30,4.51,4.298,4.43120930459033
