Name,In.Out,sampledate,TOC.mg.L
Göta Älv Vargön,Outflow,1/11/2000 0:00,4.6
Göta Älv Vargön,Outflow,2/17/2000 0:00,4.2
Göta Älv Vargön,Outflow,3/14/2000 0:00,4.1
Göta Älv Vargön,Outflow,4/18/2000 0:00,4.3
Göta Älv Vargön,Outflow,5/16/2000 0:00,4.3
Göta Älv Vargön,Outflow,6/13/2000 0:00,4.7
Göta Älv Vargön,Outflow,7/6/2000 0:00,5
Göta Älv Vargön,Outflow,8/15/2000 0:00,4.4
Göta Älv Vargön,Outflow,9/12/2000 0:00,4.2
Göta Älv Vargön,Outflow,10/17/2000 0:00,4.4
Göta Älv Vargön,Outflow,11/14/2000 0:00,4.4
Göta Älv Vargön,Outflow,12/12/2000 0:00,4.2
Göta Älv Vargön,Outflow,1/16/2001 0:00,5.8
Göta Älv Vargön,Outflow,2/13/2001 0:00,4.5
Göta Älv Vargön,Outflow,3/13/2001 0:00,4.5
Göta Älv Vargön,Outflow,4/10/2001 0:00,5.4
Göta Älv Vargön,Outflow,5/15/2001 0:00,5.1
Göta Älv Vargön,Outflow,6/12/2001 0:00,4.7
Göta Älv Vargön,Outflow,7/17/2001 0:00,4.4
Göta Älv Vargön,Outflow,8/14/2001 0:00,4.6
Göta Älv Vargön,Outflow,9/11/2001 0:00,4.2
Göta Älv Vargön,Outflow,10/16/2001 0:00,4.4
Göta Älv Vargön,Outflow,11/13/2001 0:00,4.5
Göta Älv Vargön,Outflow,12/18/2001 0:00,4.8
Göta Älv Vargön,Outflow,1/15/2002 0:00,4.6
Göta Älv Vargön,Outflow,2/21/2002 0:00,4.2
Göta Älv Vargön,Outflow,3/19/2002 0:00,4.7
Göta Älv Vargön,Outflow,4/16/2002 0:00,10.6
Göta Älv Vargön,Outflow,5/28/2002 0:00,4.9
Göta Älv Vargön,Outflow,6/18/2002 0:00,5
Göta Älv Vargön,Outflow,7/9/2002 0:00,5.1
Göta Älv Vargön,Outflow,8/20/2002 0:00,4.8
Göta Älv Vargön,Outflow,9/17/2002 0:00,4.4
Göta Älv Vargön,Outflow,10/15/2002 0:00,4.6
Göta Älv Vargön,Outflow,11/19/2002 0:00,4.7
Göta Älv Vargön,Outflow,12/10/2002 0:00,4.2
Göta Älv Vargön,Outflow,1/16/2003 0:00,4.7
Göta Älv Vargön,Outflow,2/11/2003 0:00,4.1
Göta Älv Vargön,Outflow,3/11/2003 0:00,4.5
Göta Älv Vargön,Outflow,4/15/2003 0:00,4.6
Göta Älv Vargön,Outflow,5/20/2003 0:00,4.4
Göta Älv Vargön,Outflow,6/17/2003 0:00,4.4
Göta Älv Vargön,Outflow,7/23/2003 0:00,3.9
Göta Älv Vargön,Outflow,8/14/2003 0:00,4
Göta Älv Vargön,Outflow,9/16/2003 0:00,4
Göta Älv Vargön,Outflow,10/14/2003 0:00,4.7
