agency_cd,site_no,datetime,tz_cd,discharge
USGS,5357206,6/5/2015 14:30,CDT,4.9
USGS,5357206,6/5/2015 14:45,CDT,4.9
USGS,5357206,6/5/2015 15:00,CDT,4.9
USGS,5357206,6/5/2015 15:15,CDT,5.1
USGS,5357206,6/5/2015 15:30,CDT,4.9
USGS,5357206,6/5/2015 15:45,CDT,4.9
USGS,5357206,6/5/2015 16:00,CDT,4.9
USGS,5357206,6/5/2015 16:15,CDT,4.8
USGS,5357206,6/5/2015 16:30,CDT,4.9
USGS,5357206,6/5/2015 16:45,CDT,4.8
USGS,5357206,6/5/2015 17:00,CDT,4.8
USGS,5357206,6/5/2015 17:15,CDT,4.8
USGS,5357206,6/5/2015 17:30,CDT,4.8
USGS,5357206,6/5/2015 17:45,CDT,4.8
USGS,5357206,6/5/2015 18:00,CDT,4.8
USGS,5357206,6/5/2015 18:15,CDT,4.8
USGS,5357206,6/5/2015 18:30,CDT,4.8
USGS,5357206,6/5/2015 18:45,CDT,4.8
USGS,5357206,6/5/2015 19:00,CDT,4.8
USGS,5357206,6/5/2015 19:15,CDT,4.8
USGS,5357206,6/5/2015 19:30,CDT,4.8
USGS,5357206,6/5/2015 19:45,CDT,4.8
USGS,5357206,6/5/2015 20:00,CDT,4.6
USGS,5357206,6/5/2015 20:15,CDT,4.8
USGS,5357206,6/5/2015 20:30,CDT,4.6
USGS,5357206,6/5/2015 20:45,CDT,4.6
USGS,5357206,6/5/2015 21:00,CDT,4.6
USGS,5357206,6/5/2015 21:15,CDT,4.6
USGS,5357206,6/5/2015 21:30,CDT,4.6
USGS,5357206,6/5/2015 21:45,CDT,4.6
USGS,5357206,6/5/2015 22:00,CDT,4.6
USGS,5357206,6/5/2015 22:15,CDT,4.6
USGS,5357206,6/5/2015 22:30,CDT,4.6
USGS,5357206,6/5/2015 22:45,CDT,4.6
USGS,5357206,6/5/2015 23:00,CDT,4.4
USGS,5357206,6/5/2015 23:15,CDT,4.6
USGS,5357206,6/5/2015 23:30,CDT,4.4
USGS,5357206,6/5/2015 23:45,CDT,4.4
USGS,5357206,6/6/2015 0:00,CDT,4.4
USGS,5357206,6/6/2015 0:15,CDT,4.4
USGS,5357206,6/6/2015 0:30,CDT,4.4
USGS,5357206,6/6/2015 0:45,CDT,4.4
USGS,5357206,6/6/2015 1:00,CDT,4.4
USGS,5357206,6/6/2015 1:15,CDT,4.4
USGS,5357206,6/6/2015 1:30,CDT,4.4
USGS,5357206,6/6/2015 1:45,CDT,4.4
USGS,5357206,6/6/2015 2:00,CDT,4.4
USGS,5357206,6/6/2015 2:15,CDT,4.3
USGS,5357206,6/6/2015 2:30,CDT,4.3
USGS,5357206,6/6/2015 2:45,CDT,4.3
