agency_cd,datetime,tz_cd,NorthCreek,Allequash,Stevenson,Mann,Sum_SW_ft3s,Sum_SW_m3s
USGS,6/1/2015 20:30,CDT,3.6,13,1.7,3.74,22.04,0.623732
USGS,6/1/2015 20:45,CDT,3.6,13,1.7,3.74,22.04,0.623732
USGS,6/1/2015 21:00,CDT,3.6,13,1.7,3.74,22.04,0.623732
USGS,6/1/2015 21:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 21:30,CDT,3.6,13,1.7,3.74,22.04,0.623732
USGS,6/1/2015 21:45,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 22:00,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 22:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 22:30,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 22:45,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 23:00,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 23:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 23:30,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/1/2015 23:45,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 0:00,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 0:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 0:30,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 0:45,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 1:00,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 1:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 1:30,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 1:45,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 2:00,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 2:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 2:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 2:45,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/2/2015 3:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 3:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 3:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 3:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 4:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 4:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 4:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 4:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 5:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 5:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 5:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 5:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 6:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 6:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 6:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 6:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 7:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 7:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 7:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 7:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 8:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 8:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 8:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 8:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 9:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 9:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 9:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 9:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 10:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 10:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 10:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 10:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 11:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 11:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 11:30,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 11:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 12:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 12:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 12:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 12:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 13:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 13:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 13:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 13:45,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 14:00,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 14:15,CDT,3.5,13,1.6,3.74,21.84,0.618072
USGS,6/2/2015 14:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 14:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 15:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 15:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 15:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 15:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 16:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 16:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 16:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 16:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 17:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/2/2015 17:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 17:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 17:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 18:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 18:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 18:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/2/2015 18:45,CDT,3.4,13,1.5,3.74,21.64,0.612412
USGS,6/2/2015 19:00,CDT,3.4,13,1.5,3.74,21.64,0.612412
USGS,6/2/2015 19:15,CDT,3.4,13,1.5,3.74,21.64,0.612412
USGS,6/2/2015 19:30,CDT,3.4,13,1.5,3.74,21.64,0.612412
USGS,6/2/2015 19:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/2/2015 20:00,CDT,3.4,13,1.5,3.74,21.64,0.612412
USGS,6/2/2015 20:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/2/2015 20:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 20:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 21:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/2/2015 21:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/2/2015 21:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/2/2015 21:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 22:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 22:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 22:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 22:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 23:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/2/2015 23:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/2/2015 23:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/2/2015 23:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 0:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 0:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 0:30,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 0:45,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 1:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 1:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 1:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 1:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 2:00,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 2:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 2:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 2:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 3:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 3:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 3:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 3:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 4:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 4:15,CDT,3.5,13,1.5,3.74,21.74,0.615242
USGS,6/3/2015 4:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 4:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 5:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 5:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 5:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 5:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 6:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 6:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 6:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 6:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 7:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 7:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 7:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 7:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 8:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 8:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 8:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 8:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 9:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 9:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 9:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 9:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 10:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 10:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 10:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 10:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 11:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 11:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 11:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 11:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 12:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 12:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 12:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 12:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 13:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 13:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 13:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 13:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 14:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 14:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 14:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 14:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 15:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 15:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 15:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 15:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 16:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 16:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 16:30,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 16:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 17:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 17:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 17:30,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 17:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 18:00,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 18:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 18:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 18:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 19:00,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 19:15,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 19:30,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 19:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 20:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 20:15,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 20:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 20:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 21:00,CDT,3.4,12,1.4,3.74,20.54,0.581282
USGS,6/3/2015 21:15,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 21:30,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 21:45,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 22:00,CDT,3.4,12,1.5,3.74,20.64,0.584112
USGS,6/3/2015 22:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 22:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 22:45,CDT,3.5,12,1.4,3.74,20.64,0.584112
USGS,6/3/2015 23:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 23:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 23:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/3/2015 23:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/4/2015 0:00,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/4/2015 0:15,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/4/2015 0:30,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/4/2015 0:45,CDT,3.5,12,1.5,3.74,20.74,0.586942
USGS,6/4/2015 1:00,CDT,3.6,12,1.5,3.74,20.84,0.589772
USGS,6/4/2015 1:15,CDT,3.6,13,1.6,3.74,21.94,0.620902
USGS,6/4/2015 1:30,CDT,3.7,13,1.7,3.74,22.14,0.626562
USGS,6/4/2015 1:45,CDT,3.9,13,1.7,3.74,22.34,0.632222
USGS,6/4/2015 2:00,CDT,4,13,1.8,3.74,22.54,0.637882
USGS,6/4/2015 2:15,CDT,4.1,14,1.9,3.74,23.74,0.671842
USGS,6/4/2015 2:30,CDT,4.2,14,1.9,3.74,23.84,0.674672
USGS,6/4/2015 2:45,CDT,4.3,14,2,3.74,24.04,0.680332
USGS,6/4/2015 3:00,CDT,4.4,14,2,3.74,24.14,0.683162
USGS,6/4/2015 3:15,CDT,4.6,14,2.1,3.74,24.44,0.691652
USGS,6/4/2015 3:30,CDT,4.7,14,2.2,3.74,24.64,0.697312
USGS,6/4/2015 3:45,CDT,4.9,14,2.3,3.74,24.94,0.705802
USGS,6/4/2015 4:00,CDT,5.1,14,2.4,3.74,25.24,0.714292
USGS,6/4/2015 4:15,CDT,5.2,14,2.6,3.74,25.54,0.722782
USGS,6/4/2015 4:30,CDT,5.4,14,2.8,3.74,25.94,0.734102
USGS,6/4/2015 4:45,CDT,5.5,14,2.9,3.74,26.14,0.739762
USGS,6/4/2015 5:00,CDT,5.8,15,3.1,3.74,27.64,0.782212
USGS,6/4/2015 5:15,CDT,5.9,15,3.1,3.74,27.74,0.785042
USGS,6/4/2015 5:30,CDT,6,15,3.2,3.74,27.94,0.790702
USGS,6/4/2015 5:45,CDT,6,15,3.3,3.74,28.04,0.793532
USGS,6/4/2015 6:00,CDT,6,14,3.3,3.74,27.04,0.765232
USGS,6/4/2015 6:15,CDT,6.1,15,3.3,3.74,28.14,0.796362
USGS,6/4/2015 6:30,CDT,6.1,15,3.4,3.74,28.24,0.799192
USGS,6/4/2015 6:45,CDT,6.1,15,3.4,3.74,28.24,0.799192
USGS,6/4/2015 7:00,CDT,6.1,15,3.4,3.74,28.24,0.799192
USGS,6/4/2015 7:15,CDT,6.1,15,3.5,3.74,28.34,0.802022
USGS,6/4/2015 7:30,CDT,6.1,15,3.6,3.74,28.44,0.804852
USGS,6/4/2015 7:45,CDT,6.1,14,3.6,3.74,27.44,0.776552
USGS,6/4/2015 8:00,CDT,6.1,15,3.8,3.74,28.64,0.810512
USGS,6/4/2015 8:15,CDT,6.1,15,3.8,3.74,28.64,0.810512
USGS,6/4/2015 8:30,CDT,6.1,14,3.8,3.74,27.64,0.782212
USGS,6/4/2015 8:45,CDT,6.1,15,3.9,3.74,28.74,0.813342
USGS,6/4/2015 9:00,CDT,6.1,15,3.9,3.74,28.74,0.813342
USGS,6/4/2015 9:15,CDT,6.1,15,4,3.74,28.84,0.816172
USGS,6/4/2015 9:30,CDT,6.1,15,4,3.74,28.84,0.816172
USGS,6/4/2015 9:45,CDT,6.1,15,4.1,3.74,28.94,0.819002
USGS,6/4/2015 10:00,CDT,6.1,15,4.1,3.74,28.94,0.819002
USGS,6/4/2015 10:15,CDT,6.1,15,4.2,3.74,29.04,0.821832
USGS,6/4/2015 10:30,CDT,6.1,14,4.2,3.74,28.04,0.793532
