Date_Time,Water_Temp_C,Conductivity_uScm,Q_m3sec
06/05/13 00:00,1.1,24.4,1.960
06/05/13 00:30,1,24.5,1.820
06/05/13 01:00,1,24.5,1.840
06/05/13 01:30,1,24.6,1.950
06/05/13 02:00,0.9,24.6,1.970
06/05/13 02:30,0.9,24.6,1.890
06/05/13 03:00,0.8,24.6,1.850
06/05/13 03:30,0.8,24.7,1.800
06/05/13 04:00,0.8,24.7,1.810
06/05/13 04:30,0.7,24.8,1.760
06/05/13 05:00,0.8,24.8,1.710
06/05/13 05:30,0.8,24.9,1.620
06/05/13 06:00,0.8,24.9,1.590
06/05/13 06:30,0.8,24.9,1.570
06/05/13 07:00,0.8,25,1.610
06/05/13 07:30,0.8,25,1.620
06/05/13 08:00,1,25.1,1.620
06/05/13 08:30,1.1,25.1,1.530
06/05/13 09:00,1.1,25.1,1.500
06/05/13 09:30,1.2,25.2,1.530
06/05/13 10:00,1.3,25.2,1.530
06/05/13 10:30,1.4,25.2,1.450
06/05/13 11:00,1.4,25.2,1.330
06/05/13 11:30,1.4,25.2,1.390
06/05/13 12:00,1.5,25.2,1.370
06/05/13 12:30,1.6,25.3,1.320
06/05/13 13:00,1.7,25.3,1.270
06/05/13 13:30,1.8,25.3,1.210
06/05/13 14:00,2,25.3,1.300
06/05/13 14:30,2.2,25.3,1.190
06/05/13 15:00,2.5,25.4,1.320
06/05/13 15:30,2.5,25.6,1.300
06/05/13 16:00,2.7,25.6,1.250
06/05/13 16:30,2.8,25.7,1.280
06/05/13 17:00,2.9,25.7,1.220
06/05/13 17:30,2.9,25.8,1.200
06/05/13 18:00,2.9,25.8,1.150
06/05/13 18:30,2.7,25.9,1.200
06/05/13 19:00,2.5,25.9,1.120
06/05/13 19:30,2.4,25.8,1.090
06/05/13 20:00,2.2,25.8,1.070
06/05/13 20:30,2.1,25.8,1.030
06/05/13 21:00,1.9,25.9,0.986
06/05/13 21:30,1.8,25.9,0.988
06/05/13 22:00,1.7,25.9,0.930
06/05/13 22:30,1.6,25.8,0.952
06/05/13 23:00,1.5,25.9,0.914
06/05/13 23:30,1.4,25.9,0.893
06/06/13 00:00,1.3,25.9,0.890
06/06/13 00:30,1.2,25.9,0.901
06/06/13 01:00,1.2,25.9,0.913
06/06/13 01:30,1.1,25.9,0.902
06/06/13 02:00,1.1,25.9,0.887
