<<<<<<< HEAD
lakeid,sampledate,secnview
"ME",1995,298,1995-10-25,1,,2.90,1111,1200,8.3,"SW",18,,5,
"ME",1995,314,1995-11-10,1,,2.00,1236,,6.6,"N",15,,100,
"ME",1995,340,1995-12-06,1,,,,,,,,,,
"ME",1996,37,1996-02-06,1,,4.80,944,1135,,"SE",5,,40,1
"ME",1996,100,1996-04-09,1,,1.90,1120,1240,,"NNE",5,,5,
"ME",1996,108,1996-04-17,1,,2.20,1011,1150,10.7,"SSE",10,75,5,
"ME",1996,122,1996-05-01,1,,5.00,930,1035,8.0,"NE",15,80,10,
"ME",1996,125,1996-05-04,1,,12.00,,,,,,,,
"ME",1996,135,1996-05-14,1,,8.10,930,1100,,"SSE",8,20,100,
"ME",1996,149,1996-05-28,1,,5.30,930,1050,,"NE",18,100,100,
"ME",1996,162,1996-06-10,1,,5.30,,,18.0,"E",5,15,100,
"ME",1996,178,1996-06-26,1,,7.80,1351,1452,24.0,"S",5,12,35,
"ME",1996,190,1996-07-08,1,,2.70,1105,1330,21.2,"W",15,60,75,
"ME",1996,204,1996-07-22,1,,1.80,955,1105,,"SW",15,75,100,
"ME",1996,218,1996-08-05,1,,1.50,912,1150,22.0,"S",15,40,50,
"ME",1996,232,1996-08-19,1,,2.10,930,1115,25.0,"W",2,2,100,
"ME",1996,249,1996-09-05,1,,2.80,1502,,,"S",2,5,30,
"ME",1996,260,1996-09-16,1,,2.20,955,1105,15.4,"NE",10,40,100,
"ME",1996,290,1996-10-16,1,,4.60,1149,1242,18.1,"S",5,10,20,
"ME",1996,313,1996-11-08,1,,4.00,815,1045,5.0,"NW",15,80,100,
"ME",1996,330,1996-11-25,1,,3.60,1030,1130,0.0,"N",7,35,60,
"ME",1997,14,1997-01-14,1,,3.50,1010,1136,-10.0,,3,,20,1
"ME",1997,48,1997-02-17,1,,4.90,1000,1200,3.4,"SW",10,,45,1
"ME",1997,99,1997-04-09,1,,2.70,1312,1440,5.6,"N",3,5,1,
"ME",1997,111,1997-04-21,1,,3.30,1400,1440,,"NE",5,5,10,
"ME",1997,122,1997-05-02,1,,3.20,845,,15.8,"SW",8,8,100,
"ME",1997,133,1997-05-13,1,,6.20,1400,1435,15.3,"NE",3,2,35,
"ME",1997,148,1997-05-28,1,,4.10,1345,1424,16.5,"NE",10,15,100,
"ME",1997,162,1997-06-11,1,,5.60,945,1205,17.6,"SE",8,10,100,
"ME",1997,176,1997-06-25,1,,4.30,951,1100,24.5,"NW",7,15,50,
"ME",1997,190,1997-07-09,1,,4.30,1345,1525,21.0,"NE",12,15,70,
"ME",1997,205,1997-07-24,1,,2.80,930,1100,24.1,"SE",2,0,0,
"ME",1997,218,1997-08-06,1,,2.80,820,,17.9,"NW",17,25,85,
"ME",1997,230,1997-08-18,1,,2.80,1249,1354,,"NW",3,3,85,
"ME",1997,245,1997-09-02,1,,2.60,1045,,20.7,"N",18,21,100,
"ME",1997,274,1997-10-01,1,,2.00,1135,1330,15.2,"NW",3,5,10,
"ME",1997,303,1997-10-30,1,,2.80,845,915,11.1,"SE",15,15,80,
"ME",1997,334,1997-11-30,1,,5.70,1030,1155,5.0,"NE",10,10,100,
"ME",1998,37,1998-02-06,1,,13.40,1000,,6.0,,0,,30,1
"ME",1998,65,1998-03-06,1,,3.00,1320,1330,2.0,"ESE",8,30,100,
"ME",1998,72,1998-03-13,1,,2.10,1005,1052,2.3,"SW",18,100,95,
"ME",1998,85,1998-03-26,1,,2.50,1130,1242,15.0,"SW",23,100,90,
"ME",1998,100,1998-04-10,1,,3.10,930,1025,,"N",5,10,75,
"ME",1998,114,1998-04-24,1,,1.20,945,1148,17.0,"NW",3,15,10,
"ME",1998,131,1998-05-11,1,,11.10,940,1114,19.4,,0,0,0,
"ME",1998,148,1998-05-28,1,,4.10,,,21.2,"SE",18,15,100,
"ME",1998,159,1998-06-08,1,,6.50,900,1030,16.8,"S",1,0,98,
"ME",1998,173,1998-06-22,1,,3.80,924,1039,21.0,,0,5,25,
"ME",1998,187,1998-07-06,1,,2.00,900,,22.1,"SW",15,20,100,
"ME",1998,204,1998-07-23,1,,1.80,1212,,19.8,"NW",23,110,45,
"ME",1998,214,1998-08-02,1,,2.10,945,1245,25.1,"SW",10,70,5,
"ME",1998,230,1998-08-18,1,,1.80,930,1045,20.9,"NE",18,15,100,
"ME",1998,245,1998-09-02,1,,2.20,850,1020,15.5,"NW",10,20,50,
"ME",1998,271,1998-09-28,1,,3.60,900,1010,20.1,,0,0,5,
"ME",1998,300,1998-10-27,1,,2.90,820,1000,13.8,"SE",10,15,100,
"ME",1998,327,1998-11-23,1,,4.00,855,,8.1,"W",15,20,45,
"ME",1999,25,1999-01-25,1,,7.10,1020,1330,2.0,"NW",5,,25,1
"ME",1999,53,1999-02-22,1,,7.20,945,1200,-2.0,"E",8,,20,1
"ME",1999,88,1999-03-29,1,,2.50,835,925,11.0,"SW",13,50,0,
"ME",1999,102,1999-04-12,1,,7.00,925,1130,13.0,,0,0,65,
"ME",1999,116,1999-04-26,1,,10.50,845,1000,17.0,,0,0,65,
"ME",1999,130,1999-05-10,1,,5.30,900,1100,16.0,"E",10,40,60,
"ME",1999,146,1999-05-26,1,,5.70,900,1020,17.0,"NW",7,50,15,
"ME",1999,158,1999-06-07,1,,7.20,840,1115,25.0,"W",20,75,5,
"ME",1999,172,1999-06-21,1,,2.60,930,1125,27.0,"SE",5,15,20,
"ME",1999,187,1999-07-06,1,,2.00,1110,1415,27.0,"WNW",13,70,0,
"ME",1999,200,1999-07-19,1,,2.10,840,950,27.0,"S",2,0,100,
"ME",1999,214,1999-08-02,1,,2.40,755,1000,25.0,"NNW",5,15,5,
"ME",1999,228,1999-08-16,1,,2.40,920,1135,19.0,"S",17,35,100,
"ME",1999,242,1999-08-30,1,,2.40,850,1134,21.0,"SE",13,40,70,
"ME",1999,270,1999-09-27,1,,2.30,910,1050,13.0,"E",5,10,100,
"ME",1999,280,1999-10-07,1,,2.00,830,855,,"SE",10,,90,
"ME",1999,299,1999-10-26,1,,2.00,910,1040,12.0,"W",10,45,30,
"ME",1999,326,1999-11-22,1,,3.50,930,1050,11.0,"NW",5,15,0,
"ME",2000,24,2000-01-24,1,,4.50,1130,1440,-7.0,"SW",13,,25,1
"ME",2000,59,2000-02-28,1,,8.80,1110,1300,7.0,5,5,,40,1
"ME",2000,73,2000-03-13,1,,5.00,900,1115,3.0,"NW",3,3,100,
"ME",2000,89,2000-03-29,1,,2.50,915,1030,6.0,"NW",5,4,50,
"ME",2000,101,2000-04-10,1,,3.10,1000,1255,3.0,"E",8,20,100,
"ME",2000,116,2000-04-25,1,,6.20,910,1015,15.0,"NW",2,3,0,
"ME",2000,130,2000-05-09,1,,4.50,925,1100,14.5,"N",10,30,100,
"ME",2000,143,2000-05-22,1,,5.50,850,1015,16.5,"S",13,30,100,
"ME",2000,158,2000-06-06,1,,3.00,940,1210,22.0,"NNW",8,10,0,
"ME",2000,171,2000-06-19,1,,4.10,930,1115,25.0,"W",2,5,0,
"ME",2000,185,2000-07-03,1,,4.00,1000,1230,21.0,"N",5,25,100,
"ME",2000,199,2000-07-17,1,,1.30,920,1040,24.0,"NNW",8,20,5,
"ME",2000,213,2000-07-31,1,,1.90,940,1230,26.0,"NNW",12,40,80,
"ME",2000,229,2000-08-16,1,,1.40,830,935,21.0,"NNE",10,40,0,
"ME",2000,241,2000-08-28,1,,1.20,1000,1305,25.0,"SE",12,30,40,
"ME",2000,269,2000-09-25,1,,2.40,850,1010,10.8,"N",10,40,70,
"ME",2000,298,2000-10-24,1,,5.20,830,1000,16.0,"-",0,0,100,
"ME",2000,333,2000-11-28,1,,4.30,1130,1240,2.5,"NNW",5,10,10,
"ME",2001,17,2001-01-17,1,,5.60,1000,1230,-3.7,"WNW",5,,100,1
"ME",2001,66,2001-03-07,1,,2.50,1130,1320,1.1,"W",10,0,15,
"ME",2001,100,2001-04-10,1,,3.00,1005,1115,13.0,,0,0,10,
"ME",2001,113,2001-04-23,1,,2.50,815,930,9.0,"SSW",20,60,100,
"ME",2001,127,2001-05-07,1,,9.00,910,1110,18.5,"S",5,10,100,
"ME",2001,141,2001-05-21,1,,4.30,910,1100,18.1,"SE",10,30,100,
"ME",2001,155,2001-06-04,1,,5.80,815,1130,14.0,"E",5,20,100,
"ME",2001,169,2001-06-18,1,,3.40,945,1050,23.4,"S",15,60,80,
"ME",2001,183,2001-07-02,1,,2.00,815,1040,18.1,"SE",10,15,0,
"ME",2001,197,2001-07-16,1,,1.80,800,940,23.6,"SSE",1,10,0,
"ME",2001,211,2001-07-30,1,,2.00,920,1230,28.7,"S",5,10,5,
"ME",2001,225,2001-08-13,1,,1.40,840,1140,21.8,"N",10,35,10,
"ME",2001,239,2001-08-27,1,,1.75,810,1020,20.2,"S",15,50,80,
"ME",2001,269,2001-09-26,1,,1.30,900,1030,11.9,"NW",15,100,55,
"ME",2001,295,2001-10-22,1,,5.50,905,1030,,,0,0,95,
"ME",2001,330,2001-11-26,1,,3.10,915,1045,4.4,"E",8,20,100,
"ME",2002,87,2002-03-28,1,,2.20,1100,1300,4.5,"SW",8,15,100,
"ME",2002,98,2002-04-08,1,,2.50,1315,1430,6.4,0,0,0,100,
"ME",2002,114,2002-04-24,1,,4.60,1000,1230,14.6,"SW",15,20,60,
"ME",2002,126,2002-05-06,1,,6.30,1430,1545,21.6,"SW",8,15,5,
"ME",2002,140,2002-05-20,1,,6.60,1100,1300,8.5,"NE",5,10,0,
"ME",2002,154,2002-06-03,1,,4.90,1030,1130,17.4,"SE",15,25,85,
"ME",2002,169,2002-06-18,1,,6.50,1200,1400,23.9,"SE",15,20,10,
"ME",2002,182,2002-07-01,1,,2.30,930,1130,25.0,"NW",10,15,0,
"ME",2002,196,2002-07-15,1,,1.90,1030,1330,25.8,0,0,0,5,
"ME",2002,207,2002-07-26,1,,1.60,1030,1130,25.0,"NW",10,15,100,
"ME",2002,224,2002-08-12,1,,1.20,1000,1200,23.5,"W",20,35,100,
"ME",2002,238,2002-08-26,1,,1.70,1000,1100,28.1,,0,0,100,
"ME",2002,266,2002-09-23,1,,1.50,1115,1300,18.5,"SW",20,60,80,
"ME",2002,294,2002-10-21,1,,3.00,1100,1300,10.0,"S",15,40,100,
"ME",2002,322,2002-11-18,1,,3.50,1000,1230,4.2,"S",10,20,100,
"ME",2003,21,2003-01-21,1,,10.20,1200,1800,-9.8,"N",5,,0,1
"ME",2003,93,2003-04-03,1,,6.40,1330,1430,5.2,"NE",20,80,100,
"ME",2003,104,2003-04-14,1,,3.20,1000,1200,16.9,"SW",15,25,0,
"ME",2003,118,2003-04-28,1,,5.50,1030,1130,17.0,"NW",10,20,5,
"ME",2003,133,2003-05-13,1,,6.60,1015,1230,13.0,"NW",5,5,0,
"ME",2003,147,2003-05-27,1,,5.00,1100,1230,27.0,"NNW",1,0,0,
"ME",2003,160,2003-06-09,1,,4.20,1115,1345,19.0,"NW",10,5,50,
"ME",2003,174,2003-06-23,1,,2.00,1015,1112,26.0,"SW",15,30,50,
"ME",2003,188,2003-07-07,1,,4.90,1010,1145,29.0,,0,0,50,
"ME",2003,205,2003-07-24,1,,4.60,1005,1125,24.0,"WNW",5,5,5,
"ME",2003,216,2003-08-04,1,,2.40,1040,1315,23.0,"N",10,15,100,
"ME",2003,230,2003-08-18,1,,1.70,1030,1145,26.0,"SE",5,5,2,
"ME",2003,245,2003-09-02,1,,2.30,1030,1200,22.0,,0,0,0,
"ME",2003,272,2003-09-29,1,,2.00,1130,1245,18.5,"W",20,40,60,
"ME",2003,300,2003-10-27,1,,6.00,1130,1400,12.0,"SW",5,10,50,
"ME",2003,329,2003-11-25,1,,3.50,1100,1300,5.0,"SW",20,90,30,
"ME",2004,34,2004-02-03,1,,5.20,1230,1430,-6.0,"SW",5,,0,1
"ME",2004,89,2004-03-29,1,,2.90,1015,1045,6.0,"W",15,30,5,
"ME",2004,103,2004-04-12,1,,2.70,1030,1210,5.0,"NE",15,30,20,
"ME",2004,119,2004-04-28,1,,6.30,1030,1100,20.0,"SW",20,70,0,
"ME",2004,131,2004-05-10,1,,10.10,1100,1200,20.0,,0,100,100,
"ME",2004,145,2004-05-24,1,,3.00,1015,1115,10.0,"NW",15,50,100,
"ME",2004,159,2004-06-07,1,,5.50,1000,1200,25.0,"S",10,50,50,
"ME",2004,173,2004-06-21,1,,3.75,945,1030,20.5,"SSW",5,5,100,
"ME",2004,188,2004-07-06,1,,2.60,930,1200,21.0,"W",20,80,100,
"ME",2004,201,2004-07-19,1,,2.40,1130,1200,26.0,"W",15,50,75,
"ME",2004,216,2004-08-03,1,,2.30,1000,1230,26.0,"W",5,0,95,
"ME",2004,229,2004-08-16,1,,1.60,1045,1130,21.0,"SW",15,60,50,
"ME",2004,251,2004-09-07,1,,2.20,1200,1400,18.0,"NW",10,30,20,
"ME",2004,279,2004-10-05,1,,2.30,1030,1230,7.0,"SW",15,30,0,
"ME",2004,308,2004-11-03,1,,4.00,1000,1200,9.0,"SE",5,10,60,
"ME",2005,31,2005-01-31,1,,10.20,1200,300,0.0,"N",5,,100,1
"ME",2005,105,2005-04-15,1,,2.20,1030,1215,12.0,"SE",5,5,5,
"ME",2005,115,2005-04-25,1,,4.00,1100,1230,20.5,"W",5,15,10,
"ME",2005,129,2005-05-09,1,,7.50,1030,1230,21.0,"S",20,40,90,
"ME",2005,143,2005-05-23,1,,4.30,1110,1220,18.0,"NW",20,40,95,
"ME",2005,157,2005-06-06,1,,5.50,1100,1330,26.0,"W",20,60,5,
"ME",2005,171,2005-06-20,1,,3.60,1045,1200,27.0,,0,0,5,
"ME",2005,186,2005-07-05,1,,1.60,1000,1145,24.0,"NW",10,20,5,
"ME",2005,199,2005-07-18,1,,1.30,1030,1200,29.0,"W",15,60,15,
"ME",2005,213,2005-08-01,1,,2.60,1200,1430,31.0,,0,0,0,
"ME",2005,227,2005-08-15,1,,1.60,900,945,24.0,,0,1,50,
"ME",2005,241,2005-08-29,1,,2.00,1140,1315,27.0,"NW",2,4,30,
"ME",2005,269,2005-09-26,1,,2.40,1645,1800,20.0,"NW",20,50,0,
"ME",2005,306,2005-11-02,1,,4.50,1100,1330,13.0,"W",10,25,10,
"ME",2005,334,2005-11-30,1,,5.50,1230,1330,-3.0,"NW",5,10,100,
"ME",2006,65,2006-03-06,1,,7.80,1215,1330,0.0,"N",5,,100,1
"ME",2006,94,2006-04-04,1,,6.50,1200,1400,9.0,"NW",25,70,0,
"ME",2006,107,2006-04-17,1,,6.40,1245,1450,14.0,"NE",15,35,0,
"ME",2006,122,2006-05-02,1,,6.40,1200,1400,20.0,"W",5,10,40,
"ME",2006,135,2006-05-15,1,,5.20,1230,1345,14.0,"NE",20,50,100,
"ME",2006,150,2006-05-30,1,,5.30,1000,1045,24.0,"NNW",20,50,50,
"ME",2006,163,2006-06-12,1,,4.00,1000,1145,22.0,"NE",2,0,20,
"ME",2006,177,2006-06-26,1,,3.00,1145,1240,20.0,"NE",8,25,95,
"ME",2006,191,2006-07-10,1,,3.30,1015,1215,21.0,"NE",5,15,70,
"ME",2006,205,2006-07-24,1,,3.00,1030,1130,26.0,"W",30,150,30,
"ME",2006,219,2006-08-07,1,,2.20,1030,1400,28.0,"NNE",12,30,50,
"ME",2006,233,2006-08-21,1,,3.00,1050,1130,24.0,"SW",10,30,10,
"ME",2006,249,2006-09-06,1,,3.00,1015,1300,24.0,"NW",3,2,10,
"ME",2006,275,2006-10-02,1,,2.20,1130,1245,24.0,"S",10,25,30,
"ME",2006,303,2006-10-30,1,,2.50,1030,1130,16.0,"S",15,35,60,
"ME",2006,331,2006-11-27,1,,7.10,1400,1520,14.0,,0,0,100,
"ME",2007,3,2007-01-03,1,,6.00,1200,1400,5.0,"SW",15,30,20,
"ME",2007,50,2007-02-19,1,,9.20,1200,1500,0.0,"S",15,,100,1
"ME",2007,92,2007-04-02,1,,4.10,1130,1230,12.0,"W",10,20,10,
"ME",2007,106,2007-04-16,1,,2.80,1045,1145,15.0,,0,0,0,
"ME",2007,120,2007-04-30,1,,3.10,1230,1345,18.0,"E",20,45,15,
"ME",2007,134,2007-05-14,1,,7.80,1130,1315,26.0,"SSW",20,35,30,
"ME",2007,149,2007-05-29,1,,6.00,1030,1200,24.0,"SSW",10,20,10,
"ME",2007,162,2007-06-11,1,,3.80,1010,1210,25.0,"S",5,7,15,
"ME",2007,176,2007-06-25,1,,3.00,955,1125,25.0,"S",10,8,50,
"ME",2007,190,2007-07-09,1,,2.20,1055,1235,23.0,"N",15,50,70,
"ME",2007,204,2007-07-23,1,,2.00,950,1105,24.0,"S",5,15,10,
"ME",2007,218,2007-08-06,1,,2.00,940,1145,23.0,"NE",2,5,100,
"ME",2007,232,2007-08-20,1,,2.50,1012,1102,19.0,"NE",5,30,100,
"ME",2007,247,2007-09-04,1,,3.00,1000,1200,25.0,"SW",10,20,0,
"ME",2007,274,2007-10-01,1,,1.70,1030,1200,15.0,"NW",5,15,100,
"ME",2007,302,2007-10-29,1,,3.00,910,1032,7.5,"W",15,100,30,
"ME",2007,330,2007-11-26,1,,4.00,1045,1150,2.0,"N",15,40,100,
"ME",2008,44,2008-02-13,1,,10.50,1330,1530,-9.0,"W",5,,0,1
"ME",2008,105,2008-04-14,1,,0.90,1200,1350,10.0,,0,3,0,
"ME",2008,119,2008-04-28,1,,4.20,1208,1250,7.0,"NE",2,0,90,
"ME",2008,133,2008-05-12,1,,6.00,1050,1218,16.0,"NW",2,2,10,
"ME",2008,149,2008-05-28,1,,10.70,1040,1143,11.0,,0,0,15,
"ME",2008,161,2008-06-09,1,,6.00,1100,1349,23.0,"SW",10,15,100,
"ME",2008,175,2008-06-23,1,,1.75,1140,1249,23.0,"NA",0,8,40,
"ME",2008,189,2008-07-07,1,,0.80,1030,1210,25.0,"W",10,25,90,
"ME",2008,203,2008-07-21,1,,2.00,1017,1111,22.0,"N",10,35,95,
"ME",2008,217,2008-08-04,1,,1.20,1030,1205,22.0,"S",15,55,50,
"ME",2008,231,2008-08-18,1,,1.10,1000,1052,22.0,"W",15,35,5,
"ME",2008,249,2008-09-05,1,,1.80,1115,1245,21.0,"N",10,40,60,
"ME",2008,273,2008-09-29,1,,2.20,1035,1155,18.0,"NW",2,5,100,
"ME",2008,303,2008-10-29,1,,3.50,1315,1500,11.0,"N",2,5,5,
"ME",2009,21,2009-01-21,1,,11.30,1200,1415,-6.0,"S",5,,20,1
"ME",2009,105,2009-04-15,1,,3.50,1130,1300,13.0,"NE",10,20,0,
"ME",2009,117,2009-04-27,1,,3.00,1045,1145,16.0,"SW",15,50,90,
"ME",2009,131,2009-05-11,1,,5.30,1100,1212,20.0,"S",2,3,60,
"ME",2009,148,2009-05-28,1,,5.10,1100,1215,18.0,"NW",15,30,90,
"ME",2009,160,2009-06-09,1,,8.50,1200,1400,15.0,,0,0,20,
"ME",2009,174,2009-06-23,1,,6.70,850,927,28.0,,0,0,0,
"ME",2009,187,2009-07-06,1,,2.20,930,1130,24.0,"NW",5,10,10,
"ME",2009,201,2009-07-20,1,,0.60,910,950,23.0,"E",3,2,20,
"ME",2009,217,2009-08-05,1,,0.90,855,1030,22.0,"NW",2,2,40,
"ME",2009,231,2009-08-19,1,,1.20,910,950,21.0,"SW",5,15,30,
"ME",2009,245,2009-09-02,1,,1.20,1010,1155,19.0,,0,0,30,
"ME",2009,273,2009-09-30,1,,2.50,950,1055,8.0,"E",5,15,25,
"ME",2009,301,2009-10-28,1,,4.70,1040,1140,9.0,"SE",5,10,100,
"ME",2009,337,2009-12-03,1,,5.00,1245,1310,0.0,"NW",10,15,100,
"ME",2010,32,2010-02-01,1,,9.00,1035,1155,-4.0,"W",2,,100,1
"ME",2010,88,2010-03-29,1,,1.00,1100,1200,5.0,"NA",0,0,10,
"ME",2010,103,2010-04-13,1,,1.90,1130,1235,12.0,"E",10,30,30,
"ME",2010,116,2010-04-26,1,,1.60,945,1020,10.0,"N",15,20,10,
"ME",2010,130,2010-05-10,1,,2.50,1045,1215,14.0,"SE",18,40,80,
"ME",2010,144,2010-05-24,1,,7.60,930,1000,30.0,"NA",0,0,90,
"ME",2010,158,2010-06-07,1,,2.10,10,1215,21.0,"SE",5,10,80,
"ME",2010,172,2010-06-21,1,,1.90,930,1030,21.0,"SE",10,30,95,
"ME",2010,186,2010-07-05,1,,1.40,1000,1150,26.0,"S",10,10,100,
"ME",2010,200,2010-07-19,1,,1.10,1100,1200,30.0,"SW",5,20,50,
"ME",2010,215,2010-08-03,1,,1.40,1000,1230,31.0,"NA",0,0,0,
"ME",2010,228,2010-08-16,1,,1.30,845,930,25.0,"NW",15,40,0,
"ME",2010,242,2010-08-30,1,,1.20,830,1000,23.0,"S",7,10,0,
"ME",2010,278,2010-10-05,1,,2.10,1100,1300,17.0,"w",5,15,0,
"ME",2010,313,2010-11-09,1,,2.90,900,1100,18.0,"SE",1,0,0,
"ME",2011,19,2011-01-19,1,,5.30,1300,1500,-8.0,,0,,0,
"ME",2011,108,2011-04-18,1,1.4,,1200,1300,8.0,"NE",10,25,100,
"ME",2011,122,2011-05-02,1,,2.50,1130,1300,10.0,"nw",15,20,10,
"ME",2011,137,2011-05-17,1,,2.30,1000,1200,15.0,"ne",10,15,10,
"ME",2011,151,2011-05-31,1,,6.00,1100,1200,26.0,"sw",16,20,100,
"ME",2011,164,2011-06-13,1,,7.20,940,1200,22.0,"NE",15,20,10,
"ME",2011,178,2011-06-27,1,,3.30,945,1130,23.0,"SW",5,5,100,
"ME",2011,192,2011-07-11,1,,3.30,950,1225,24.0,"S",10,15,90,
"ME",2011,206,2011-07-25,1,,2.60,930,1100,25.0,"NA",0,0,0,
"ME",2011,216,2011-08-04,1,,3.30,1030,1300,24.0,"SE",3,5,30,
