datetime,Volume,FlowIn,FlowOut,HypoTemp,EpiTemp,TP,Chla,SW_DOC,Secchi
1991-05-01,8320000,0.1,0.1,3.872413793,7.45,6.7,1,7.4,4
1991-05-02,8320000,0.1,0.1,NA,NA,NA,NA,7.3,NA
1991-05-03,8320000,0.09,0.09,NA,NA,NA,NA,7.3,NA
1991-05-04,8320000,0.08,0.08,NA,NA,NA,NA,7.5,NA
1991-05-05,8320000,0.07,0.07,NA,NA,NA,NA,7.6,NA
1991-05-06,8320000,0.07,0.07,NA,NA,NA,NA,7.6,NA
1991-05-07,8320000,0.08,0.08,NA,NA,NA,NA,7.7,NA
1991-05-08,8320000,0.07,0.07,NA,NA,NA,NA,7.8,NA
1991-05-09,8320000,0.07,0.07,NA,NA,NA,NA,7.8,NA
1991-05-10,8320000,0.07,0.07,NA,NA,NA,NA,7.7,NA
1991-05-11,8320000,0.07,0.07,NA,NA,NA,NA,7.9,NA
1991-05-12,8320000,0.06,0.06,NA,NA,NA,NA,8.2,NA
1991-05-13,8320000,0.05,0.05,4.7,15.73333333,6.7,NA,8.6,3.2
1991-05-14,8320000,0.04,0.04,NA,NA,NA,NA,8.9,NA
1991-05-15,8320000,0.04,0.04,NA,NA,NA,NA,9.2,NA
1991-05-16,8320000,0.04,0.04,NA,NA,NA,NA,10.8,NA
1991-05-17,8320000,0.06,0.06,NA,NA,NA,NA,12.4,NA
1991-05-18,8320000,0.07,0.07,NA,NA,NA,NA,12.7,NA
1991-05-19,8320000,0.06,0.06,NA,NA,NA,NA,12,NA
1991-05-20,8320000,0.05,0.05,NA,NA,NA,NA,11.1,NA
1991-05-21,8320000,0.05,0.05,NA,NA,NA,NA,10.3,NA
1991-05-22,8320000,0.04,0.04,5.445454545,19.35,4.3,3.5,10.7,3.2
1991-05-23,8320000,0.04,0.04,NA,NA,NA,NA,10.5,NA
1991-05-24,8320000,0.04,0.04,NA,NA,NA,NA,10.6,NA
1991-05-25,8320000,0.04,0.04,NA,NA,NA,NA,11.3,NA
1991-05-26,8320000,0.05,0.05,NA,NA,NA,NA,11.6,NA
1991-05-27,8320000,0.09,0.09,NA,NA,NA,NA,13.7,NA
1991-05-28,8320000,0.08,0.08,NA,NA,NA,NA,14.3,NA
1991-05-29,8320000,0.07,0.07,NA,NA,NA,NA,14.6,NA
1991-05-30,8320000,0.07,0.07,NA,NA,NA,NA,13.6,NA
1991-05-31,8320000,0.07,0.07,NA,NA,NA,NA,14.5,NA
1991-06-01,8320000,0.06,0.06,NA,NA,NA,NA,14.1,NA
1991-06-02,8320000,0.05,0.05,NA,NA,NA,NA,13.6,NA
1991-06-03,8320000,0.05,0.05,NA,NA,NA,NA,12.8,NA
1991-06-04,8320000,0.05,0.05,NA,NA,NA,NA,14.3,NA
1991-06-05,8320000,0.04,0.04,4.956666667,20.1,6,3.2,14.5,3.5
1991-06-06,8320000,0.03,0.03,NA,NA,NA,NA,13.8,NA
