datetime,DOC,DOCwc
1/21/1991 0:00:00,3.6,3.6
2/27/1991 0:00:00,3.7,3.7
3/20/1991 0:00:00,3.5,3.5
4/17/1991 0:00:00,3.6,3.6
4/24/1991 0:00:00,3.6,3.6
5/1/1991 0:00:00,3.6,3.6
5/13/1991 0:00:00,3.7,3.6
5/22/1991 0:00:00,3.7,3.6
6/5/1991 0:00:00,3.8,3.6
6/19/1991 0:00:00,4.1,3.8
7/8/1991 0:00:00,4,3.8
7/22/1991 0:00:00,4.3,3.9
8/6/1991 0:00:00,3.9,3.7
8/22/1991 0:00:00,4,3.8
9/5/1991 0:00:00,4.1,3.9
9/17/1991 0:00:00,3.8,3.7
10/1/1991 0:00:00,3.8,3.6
10/16/1991 0:00:00,3.8,3.6
10/30/1991 0:00:00,3.9,3.6
11/14/1991 0:00:00,3.6,3.6
1/22/1992 0:00:00,3.7,3.7
2/27/1992 0:00:00,3.6,3.6
4/6/1992 0:00:00,3.9,3.9
5/7/1992 0:00:00,3.5,3.5
6/8/1992 0:00:00,3.8,3.7
7/28/1992 0:00:00,4.3,4
8/26/1992 0:00:00,4.1,3.8
9/17/1992 0:00:00,4.3,3.9
10/14/1992 0:00:00,4.5,3.8
11/16/1992 0:00:00,4.2,4.2
2/10/1993 0:00:00,4,4
4/8/1993 0:00:00,4,4
4/28/1993 0:00:00,3.5,3.5
5/20/1993 0:00:00,4.1,3.9
6/29/1993 0:00:00,4.5,3.9
8/11/1993 0:00:00,4.5,4
9/15/1993 0:00:00,4.3,3.8
10/18/1993 9:55:00,4.4,4
11/15/1993 0:00:00,4.2,4.2
5/4/1994 0:00:00,3.8,3.8
6/15/1994 0:00:00,3.9,3.8
7/21/1994 0:00:00,4.5,4
8/9/1994 0:00:00,4.3,3.9
9/14/1994 0:00:00,4.6,4.2
10/24/1994 0:00:00,4.6,4.1
4/20/1995 0:00:00,3.8,3.8
5/24/1995 0:00:00,4.1,4
6/21/1995 0:00:00,4.2,4
8/22/1995 0:00:00,5.3,4.1
9/21/1995 0:00:00,5.2,4.3
11/7/1995 0:00:00,4.3,4.3
5/7/1996 0:00:00,3.9,3.9
6/11/1996 0:00:00,5.2,4.4
7/11/1996 12:00:00,4.9,4.2
8/21/1996 0:00:00,4.9,4.1
9/11/1996 0:00:00,4.8,4.1
10/9/1996 0:00:00,4.6,4
5/6/1997 0:00:00,3.6,3.6
6/12/1997 0:00:00,3.7,3.6
7/10/1997 0:00:00,3.6,3.6
8/7/1997 0:00:00,3.9,3.8
9/15/1997 0:00:00,4,3.8
10/30/1997 0:00:00,3.7,3.7
4/20/1998 0:00:00,3.5,3.5
5/7/1998 0:00:00,3.7,3.7
5/21/1998 0:00:00,3.5,3.5
6/5/1998 0:00:00,3.6,3.4
6/16/1998 0:00:00,3.6,3.5
6/30/1998 0:00:00,3.9,3.7
7/14/1998 0:00:00,3.7,3.5
8/12/1998 0:00:00,3.7,3.5
8/27/1998 0:00:00,3.9,3.8
9/17/1998 0:00:00,3.8,3.6
10/5/1998 0:00:00,3.7,3.5
10/26/1998 0:00:00,3.4,3.4
4/16/1999 0:00:00,3.5,3.5
5/4/1999 0:00:00,3.6,3.6
5/11/1999 0:00:00,3.5,3.5
5/27/1999 0:00:00,3.7,3.6
6/10/1999 0:00:00,4,3.7
6/17/1999 0:00:00,4.1,3.7
6/30/1999 0:00:00,4.1,3.8
7/13/1999 0:00:00,4.6,4.1
7/28/1999 0:00:00,4.5,3.9
8/10/1999 0:00:00,4.4,4.1
8/24/1999 0:00:00,4.4,3.8
9/13/1999 0:00:00,4.2,3.6
9/27/1999 0:00:00,4.6,3.9
10/14/1999 0:00:00,4.1,3.6
11/4/1999 0:00:00,4,3.4
4/19/2000 0:00:00,3.6,3.6
5/11/2000 0:00:00,4,3.8
5/24/2000 0:00:00,4.1,3.9
6/6/2000 0:00:00,4.5,4
6/22/2000 0:00:00,4.5,4.1
7/4/2000 0:00:00,4.7,4.1
7/18/2000 0:00:00,5.1,4.3
8/2/2000 0:00:00,4.8,4.3
8/16/2000 0:00:00,5.2,4.4
8/29/2000 0:00:00,5,4.2
9/13/2000 0:00:00,5,4.3
9/25/2000 0:00:00,4.9,4
10/10/2000 0:00:00,4.5,3.7
10/26/2000 0:00:00,4.4,3.7
11/27/2000 0:00:00,4.4,4.4
5/7/2001 0:00:00,4.3,4.3
5/25/2001 0:00:00,4.1,4
6/5/2001 0:00:00,4.3,3.9
6/20/2001 0:00:00,4.4,3.6
7/3/2001 0:00:00,4.8,4.3
7/18/2001 0:00:00,4.8,4.3
8/2/2001 0:00:00,4.4,3.7
8/14/2001 0:00:00,4.7,4.2
8/28/2001 0:00:00,4.2,3.8
9/12/2001 0:00:00,4.5,4
9/27/2001 0:00:00,4,3.8
10/9/2001 0:00:00,4.1,3.6
10/24/2001 0:00:00,4.3,3.9
11/5/2001 0:00:00,4.9,4.4
11/30/2001 0:00:00,4.2,4.2
