
Parameter                Value    Units
#General Parameters
LakePerimeter                 4000m
LakeDepth                       12m
LakeArea                    713800m^2
LakeVolume                 8320000m^3
DOC_init                       3.7g/m^3
POC_init                      0.37g/m^3
#Sedimentation Parameters
BurialFactor                  0.011/days
#SWGW Parameters
PropCanopy                       1unitless
PropWetlands                     0unitless
AerialLoad                       1gPOC/m/d
WetlandLoad                      1gDOC/m/d
PropGW                           0unitless
DOC_gw                          10g/m3
DOC_sw                         6.2g/m3
DOC_precip                       2g/m3

#Leach/Resp Parameters
POC_lc                        0.011/days
RespParam                    0.001unitless
R_auto                         0.8unitless

#Sedimentation
ObservedMAR_oc                  78g/m2/yr
