Date,NEP,Oxygen,Oxygen_conc
1991-05-01,-0.0171605993940201,-0.0457615983840536,12.0025172408814
1991-05-02,-0.0167355972340127,-0.0446282592907006,11.9567556424974
1991-05-03,-0.0163611424847343,-0.0436297132926248,11.8916573236947
1991-05-04,-0.016046808002722,-0.0427914880072588,11.8097468326317
1991-05-05,-0.0157999612323228,-0.0421332299528609,11.713289883543
1991-05-06,-0.0156286430354502,-0.0416763814278673,11.6043196951777
1991-05-07,-0.0155377884046532,-0.0414341024124085,11.484653733285
1991-05-08,-0.0155306454349987,-0.0414150544933298,11.355919780238
1991-05-09,-0.0156238776348368,-0.041663673692898,11.2195760241019
1991-05-10,-0.0158225369221097,-0.0421934317922925,11.0768893198111
1991-05-11,-0.0161354162657842,-0.0430277767087579,10.9289848122783
1991-05-12,-0.0165717665459187,-0.0441913774557832,10.7768487361584
1991-05-13,-0.0171460403662973,-0.045722774310126,10.6213407781486
1991-05-14,-0.0154558790131144,-0.0412156773683052,10.4631931560879
1991-05-15,-0.0138654684255862,-0.0369745824682298,10.321466764997
1991-05-16,-0.0123735950468949,-0.0329962534583865,10.1934505061662
1991-05-17,-0.010986592400811,-0.0292975797354961,10.0768699876683
1991-05-18,-0.00970336935153088,-0.0258756516040823,9.96979696764533
1991-05-19,-0.00851779569640005,-0.0227141218570668,9.87061334466669
1991-05-20,-0.00744888299526234,-0.0198636879873662,9.77797459949561
1991-05-21,-0.00649860461675814,-0.017329612311355,9.69069865631303
1991-05-22,-0.00566234271405541,-0.0150995805708144,9.607785170568
1991-05-23,-0.00592802695234041,-0.0158080718729078,9.52840384072758
1991-05-24,-0.00617101189233482,-0.0164560317128929,9.45988901857311
1991-05-25,-0.00639385600139688,-0.0170502826703917,9.40041953137262
1991-05-26,-0.00659895339138471,-0.0175972090436926,9.34849276580724
1991-05-27,-0.00679259919865658,-0.0181135978630842,9.30286651179914
1991-05-28,-0.00694127055469251,-0.0185100548125134,9.26250095175612
1991-05-29,-0.00708677447142213,-0.0188980652571257,9.22662777337784
1991-05-30,-0.00722825540980451,-0.0192753477594787,9.19450274484034
1991-05-31,-0.00736283062500866,-0.0196342150000231,9.16551234370726
1991-06-01,-0.0074861327681106,-0.0199630207149616,9.13915600828389
1991-06-02,-0.00760505703190497,-0.0202801520850799,9.11503035520043
1991-06-03,-0.00772013651408675,-0.0205870307042313,9.09278239427962
1991-06-04,-0.00783095877929979,-0.0208825567447994,9.07211725553827
1991-06-05,-0.0079307819438526,-0.0211487518502736,9.05279060858062
1991-06-06,-0.0106269433823759,-0.0283385156863357,9.03461686769814
1991-06-07,-0.0131349545640505,-0.0350265455041346,9.00531623698436
1991-06-08,-0.0154546217799966,-0.0412123247466575,8.96706432107089
1991-06-09,-0.0175984008151668,-0.0469290688404447,8.92174051753393
1991-06-10,-0.0195665680330783,-0.0521775147548756,8.87093168216101
1991-06-11,-0.021373831347642,-0.056996883593712,8.81600262714002
1991-06-12,-0.0230187713807734,-0.061383390348729,8.75808605797967
1991-06-13,-0.0245102010930758,-0.0653605362482021,8.6981564619394
1991-06-14,-0.0258618731733758,-0.0689649951290022,8.63702322572162
1991-06-15,-0.0270744856204819,-0.0721986283212851,8.57533960316047
1991-06-16,-0.0281561521964751,-0.0750830725239336,8.51365897929463
1991-06-17,-0.0291152640196552,-0.0776407040524139,8.45242834261935
1991-06-18,-0.0299595391371551,-0.079892104365747,8.39200227094257
1991-06-19,-0.0306973254554654,-0.0818595345479078,8.33265769757593
1991-06-20,-0.0274131849960721,-0.0731018266561922,8.27460325240378
1991-06-21,-0.0245756066831591,-0.0655349511550908,8.23639503350312
1991-06-22,-0.0221208898873815,-0.0589890396996841,8.2136665797898
1991-06-23,-0.0199946754126372,-0.0533191344336993,8.20291425837932
1991-06-24,-0.0181505405647743,-0.0484014415060647,8.20133667086384
1991-06-25,-0.0165488106164199,-0.0441301616437864,8.20670283247594
1991-06-26,-0.0151555525748773,-0.0404148068663394,8.21724410328532
1991-06-27,-0.0139417226482357,-0.037177927061962,8.23156571006098
1991-06-28,-0.0128824433912346,-0.0343531823766257,8.24857441186781
1991-06-29,-0.0119563903481301,-0.0318837075950137,8.26741945608004
1991-06-30,-0.0111497159068266,-0.0297325757515376,8.28744446448793
1991-07-01,-0.0104380905752863,-0.0278349082007636,8.30813644590836
1991-07-02,-0.00981197513852516,-0.0261652670360671,8.32913083867347
1991-07-03,-0.00926000437656191,-0.0246933450041651,8.35014813601503
1991-07-04,-0.00877214474306663,-0.023392385981511,8.37098509651175
1991-07-05,-0.00833997833733415,-0.0222399422328911,8.39149887434152
1991-07-06,-0.00795972692897154,-0.0212259384772574,8.41159292051955
1991-07-07,-0.00761740547482003,-0.0203130812661867,8.43119707973529
1991-07-08,-0.00731149326037258,-0.0194973153609935,8.45029052648457
1991-07-09,-0.00816969404851629,-0.0217858507960434,8.46886038472226
1991-07-10,-0.00893689835623898,-0.0238317289499706,8.47818383691238
1991-07-11,-0.009629591444289,-0.025678910518104,8.48008755407551
1991-07-12,-0.0102464024812855,-0.0273237399500947,8.47604080569342
1991-07-13,-0.0107984096025423,-0.0287957589401129,8.46726497867561
1991-07-14,-0.0112924354449793,-0.0301131611866115,8.45474352749736
1991-07-15,-0.0117332584784832,-0.0312886892759552,8.43927434306114
1991-07-16,-0.0121264105680864,-0.0323370948482305,8.42150716758542
1991-07-17,-0.0124764405659884,-0.0332705081759691,8.40196706308529
1991-07-18,-0.0127888789801309,-0.0341036772803491,8.38107838969437
