datetime,wtr,DO_con,DO_sat,Flux,Flux_Modelled,Conc_Modelled
1991-05-01,7.6,9.8,11.9582104150175,-0.278846415023398,-0.0730622004234227,12.0025172408814
1991-05-13,15.9,10.1,9.89007320438205,0.0339038619497517,-0.0966053633066823,10.3631774643635
1991-05-22,18.9,9.3,9.29365667488526,0.00102446768817386,-0.0659197733833836,9.29643240065963
1991-06-05,20.1,8.9,9.07293830242159,-0.0255360911534805,-0.0289153150124196,8.91078434653025
1991-06-19,24.6,8.6,8.323247432318,0.0446964420207025,-0.0372692494960099,8.50286836640228
1991-07-08,22.6,8.1,8.6422096879317,-0.0903934270480106,-0.0193069785445106,8.48906773792016
1991-07-22,24.7,8,8.30785008698348,-0.049718792780041,-0.0238864564362771,8.34968425204623
1991-08-06,21.3,8.2,8.86148580415175,-0.0599759237148291,-0.0124466661742509,8.54809456078845
1991-08-22,22.2,8.3,8.70863365629744,-0.0469302526754252,-0.00926215015662326,8.69543072162418
1991-09-05,21.1,8,8.8961090082051,-0.0945139765229084,-0.00655699657567203,8.76340577326035
1991-09-17,19.9,8.8,9.10906533786624,-0.0325975900472684,-0.0121121863825616,8.92194896321659
1991-10-01,13.1,9.5,10.5118899532848,-0.130738821343967,-0.00959730769319852,9.75315468883089
1991-10-16,10.2,9.8,11.2334042882958,-0.180682510137701,-0.000797323144200671,10.798671712584
1991-10-30,9.5,10,11.4208128106946,-0.22251238926289,-0.00176521190550089,11.292231165999
1991-11-14,5.3,9.6,12.670298799297,-0.396690613332836,0.00338528012779649,12.123625816807
1992-04-06,2.4,12.3,13.6781016688362,-0.15289257991319,-0.00398787138731721,14.0302039576731
1992-05-07,5.5,9.6,12.6054953373218,-0.323598197512063,0.00423645691352774,13.0936981707259
1992-06-08,18.6,9.2,9.35035426590983,-0.0185011079376555,-0.0120281645574218,10.0492637861076
1992-06-30,18.5,9.4,9.36939223592771,0.00367870042269589,-0.020206480842267,9.252361368161
1992-07-28,20.6,8.3,8.98374049944066,-0.0883410559733532,-0.0122524191439275,9.02555172128902
1992-08-26,22.2,9.1,8.70863365629744,0.038896578794708,-0.0106511830070456,8.93299530802415
1992-09-17,18.9,8.3,9.29365667488526,-0.109262156779301,-0.0104852956812141,9.20797667862756
1992-10-14,11.5,10.7,10.8994256804868,-0.0245393505658073,-0.0117249368261279,10.3641558061296
1992-11-16,4.5,7,12.935333749072,-0.829038488545026,-0.00694231140761096,12.4321117140632
1993-04-08,2.5,11.9,13.6411011973428,-0.204418871239445,-0.00447795302726615,14.0141471111812
1993-04-28,4.8,8.9,12.8348395595935,-0.451903586312936,-0.00506183639127254,13.2795017497712
1993-05-20,12.9,10.2,10.558981127172,-0.0475705620357564,-0.01176675723775,11.2502193871752
1993-06-29,20.7,9.2,8.96609021736743,0.046495006213082,-0.0271083740548166,9.04979945951479
1993-08-11,22.3,7.7,8.69194205891316,-0.138552974442958,-0.024744781588973,8.61197611245271
1993-09-15,17.7,8.9,9.52424747382777,-0.0827224634713538,-0.00984586072666981,9.28660898796482
1993-10-18,9.5,11.1,11.4208128106946,-0.0473712593589084,-0.00638454384764808,10.9831100961976
1993-11-15,5.1,10.2,12.7356777178989,-0.374418485861295,0.000329678033674453,12.4370685597493
1994-05-04,5.9,9.5,12.4775887734246,-0.307769788934742,-0.0076378823023189,12.4073622992231
1994-06-15,21.2,8.8,8.87876705821956,-0.00904614166693347,-0.0268019945467256,9.56073359788232
1994-07-21,25.2,7.8,8.23161458078606,-0.0743543061952672,-0.0362143793125202,8.40739402847878
1994-08-09,21.3,8.2,8.86148580415175,-0.0976750757641502,-0.0192434326523704,8.60418064022588
1994-09-14,18.1,8.9,9.44624784546808,-0.051328470144656,-0.0167256317426659,9.21512962550787
1994-10-24,11.4,9.5,10.9244893746953,-0.198970532757402,-0.0140088297824186,10.5542380521637
1995-04-20,4.8,8.91,12.8348395595935,-0.450755118683014,-0.000228415561020822,13.1153033763801
1995-05-24,13.8,10.03,10.3499862958548,-0.0435190148061986,-0.00608835236415385,10.8323946974185
1995-06-21,23.6,8.69,8.48005465605396,0.0226045717101428,-0.0259597867159441,8.90284668423006
1995-07-20,22.4,8.3,8.67530773263669,-0.0524224194558614,-0.0244148764164568,8.50523796081943
1995-08-22,23.6,7.7,8.48005465605396,-0.0959858059336988,-0.0282269819176856,8.30663925912769
1995-09-21,16.3,9,9.80661413635698,-0.115796278180429,-0.0187700121458339,9.34902108030517
1995-11-07,6.4,7.9,12.3208280920393,-0.557251239639149,0.00390256195047791,11.8758526346166
1996-05-07,5.6,8.4,12.5733073606048,-0.599113551671192,-0.0108576033307036,12.4878192327268
1996-06-11,18.9,8.2,9.29365667488526,-0.161489480059772,0.00500254946296677,9.92636589757876
1996-07-11,20.3,8.7,9.03706856750458,-0.0497715864226923,-0.0506645966830674,8.83102076212208
1996-08-21,22.8,8.5,8.60933712667975,-0.0102739214242121,-0.0263448894108765,8.5706565966058
1996-09-11,21.1,8.1,8.8961090082051,-0.091430542581281,-0.0208578102311952,8.66002508527303
1996-10-09,12.2,10.1,10.7268009239498,-0.0809843143006689,0.00205537636280774,10.1709249331717
1997-05-06,4,8.8,13.1058478724314,-0.445061421077017,-0.00689020637699281,12.9319373257088
1997-06-12,22.3,9.1,8.69194205891316,0.0540740003620184,-0.0264274480356074,9.33487537906627
1997-07-10,20.4,9,9.01922934204244,-0.00254818579389658,-0.0224666048761908,8.86013893616702
1997-08-07,21.5,8.3,8.82710410727569,-0.0908043007207536,-0.0316831671617482,8.72203977738801
