Parameter	Value	Units
#General Parameters		
LakePerimeter	35200	m
LakeDepth	12.7	m
LakeArea	39850000	m^2
LakeVolume	505100000	m^3
DOC_init	5.5	g/m^3
POC_init	0.1	g/m^3
#Sedimentation Parameters		
BurialFactor	0.1193	1/days
#SWGW Parameters		
PropCanopy	0.235	unitless
PropWetlands	0.043	unitless
AerialLoad	1	gPOC/m/d
WetlandLoad	1	gDOC/m/d
DOC_gw	10	g/m3
PropGW	0	unitless
DOC_precip	2	g/m3
R_auto	0.7703 unitless
#Min/Resp Parameters		
DOC_miner_const	0.003	1/days
RespParam	0.002213	unitless
POC_lc	0.01	1/days
#Sediment		
ObservedMAR_oc	249	g/m2/yr
