"DOCR_RespParam","DOCL_RespParam","BurialFactor_R","BurialFactor_L","N","collinearity"
1,1,0,0,2,5.22052594860379
1,0,1,0,2,2.6316723425728
1,0,0,1,2,1.23188955736475
0,1,1,0,2,2.6817905902543
0,1,0,1,2,1.17746733082836
0,0,1,1,2,1.13435346022492
1,1,1,0,3,5.22565038271835
1,1,0,1,3,5.38776363411813
1,0,1,1,3,2.71818293110233
0,1,1,1,3,2.70104894280724
1,1,1,1,4,5.38822817270987
