"DOCR_RespParam","DOCL_RespParam","BurialFactor_R","BurialFactor_L","N","collinearity"
1,1,0,0,2,9.89989001815425
1,0,1,0,2,20.6756216526178
1,0,0,1,2,4.27493767165624
0,1,1,0,2,13.6829087100331
0,1,0,1,2,4.21818955685796
0,0,1,1,2,4.77236175715655
1,1,1,0,3,26.9542565504685
1,1,0,1,3,9.90591951037464
1,0,1,1,3,24.1938578852558
0,1,1,1,3,14.9257406963179
1,1,1,1,4,35.8619651876817
