"DOCR_RespParam","DOCL_RespParam","BurialFactor_R","BurialFactor_L","N","collinearity"
1,1,0,0,2,5.03736977058482
1,0,1,0,2,7.6426616620267
1,0,0,1,2,1.38258867571867
0,1,1,0,2,7.575839847156
0,1,0,1,2,1.43350584713772
0,0,1,1,2,1.50049534480009
1,1,1,0,3,10.0733174203794
1,1,0,1,3,5.09874551702843
1,0,1,1,3,8.85018088425653
0,1,1,1,3,7.87574429511344
1,1,1,1,4,12.1561533562199
