"date","wtr","DO_con"
2008-04-28,12,12.2
2008-05-13,11.9,11
2008-05-27,14.1,10.9
2008-06-10,21.9,10.6
2008-06-23,21.8,8.9
2008-07-15,24.3,9.4
2008-08-12,23.2,8.6
2008-08-26,23.2,9
2008-09-10,22.3,9
2008-10-15,17.1,8.8
2008-11-12,11,9.1
2009-04-14,5.1,13
2009-05-12,12.2,11.1
2009-06-16,19.6,10.5
2009-07-15,21.3,9.1
2009-08-11,22.8,8.8
2009-09-15,20.9,8.4
2009-10-14,15.6,8.1
2009-11-09,12.2,8.8
2010-04-13,9.5,11.6
2010-05-11,11.6,10.5
2010-06-15,21,9.8
2010-07-13,25.4,8.7
2010-08-10,25.4,8.3
2010-09-14,20.6,7.5
2010-10-13,16.1,8.7
2010-11-09,11,9
2011-04-25,6.7,11
2011-05-10,12.3,10.7
2011-06-14,21.1,8.9
2011-07-12,24.8,8.9
2011-08-09,25.1,8.9
2011-09-06,22.3,8.5
2011-10-12,17.3,8.2
2011-11-15,11.6,8.5
2011-12-13,7.9,10
2012-04-10,6.6,12.2
2012-05-15,13.6,10.7
2012-06-13,20,9.5
2012-07-10,25.2,8.9
2012-08-14,25.1,8.4
2012-09-11,22.4,7.7
2012-10-10,16.9,8.7
2012-11-14,10.5,9.2
2012-12-06,7.3,10.2
2013-04-16,4.4,12.7
2013-05-14,13,11.5
2013-06-11,18.5,9.1
2013-07-09,26.4,8.8
2013-09-11,21.9,8.2
2013-10-16,17.6,8
2013-11-12,11.3,8.7
2013-12-04,7,10.6
2014-04-22,7.8,11.1
2014-05-12,10.8,11.7
2014-06-10,20.8,9.7
2014-07-16,24.5,8.5
2014-08-12,23.8,9.2
2014-09-09,22.5,8.8
2014-10-14,16.7,7.4
2014-11-12,11.6,8.7
2015-04-21,7.2,11.4
2015-05-12,17.7,11.6
2015-06-10,19.5,8.9
2015-07-13,22.9,10.1
2015-08-12,24,9
2015-09-09,25,10.6
2015-10-06,18.6,7.1
2015-11-04,13.2,8.3
2016-03-15,3.4,12.5
2016-04-12,5.5,12.4
2016-05-10,10.9,11.7
2016-06-07,20.2,9.7
2016-07-20,24.8,9.5
2016-08-02,25.2,8.5
