RESV,STATION,COLLECT,ZSP,TEMP,PH,DO,FSPCON,SITE,TempFlag,pHFlag,DOFlag,FSpConFlag,Reviewed
WDC,4,25APR2011,17,4.9,6.88,11.2,75,4WDC,,,,,
WDC,4,25APR2011,18,4.9,6.87,11.2,75,4WDC,,,,,
WDC,4,25APR2011,19,4.8,6.87,11.2,76,4WDC,,,,,
WDC,4,25APR2011,20,4.8,6.86,11.2,76,4WDC,,,,,
WDC,4,25APR2011,21,4.8,6.86,11.1,76,4WDC,,,,,
WDC,4,25APR2011,22,4.8,6.85,11.1,76,4WDC,,,,,
WDC,4,25APR2011,23,4.7,6.84,11.1,76,4WDC,,,,,
WDC,4,25APR2011,24,4.6,6.85,11.1,76,4WDC,,,,,
WDC,4,25APR2011,25,4.6,6.82,11.1,76,4WDC,,,,,
WDC,4,25APR2011,26,4.6,6.81,11.0,76,4WDC,,,,,
WDC,4,25APR2011,27,4.6,6.75,10.8,76,4WDC,,,,,
WDC,4,25APR2011,28,4.6,6.64,10.4,76,4WDC,,,,,
WDC,4,25APR2011,29,4.8,6.42,10.0,76,4WDC,,,,,
WDC,4,10MAY2011,0,12.5,7.12,11.0,60,4WDC,,,,,
WDC,4,10MAY2011,1,12.4,7.39,11.0,66,4WDC,,,,,
WDC,4,10MAY2011,2,12.4,7.33,10.9,66,4WDC,,,,,
WDC,4,10MAY2011,3,12.3,7.24,10.7,66,4WDC,,,,,
WDC,4,10MAY2011,4,12.1,7.4,10.6,66,4WDC,,,,,
WDC,4,10MAY2011,5,11.8,7.07,10.6,66,4WDC,,,,,
WDC,4,10MAY2011,6,11.7,7.03,10.7,66,4WDC,,,,,
WDC,4,10MAY2011,7,11.2,6.98,10.8,66,4WDC,,,,,
WDC,4,10MAY2011,8,10.9,6.83,10.3,67,4WDC,,,,,
WDC,4,10MAY2011,9,9.2,6.79,10.8,69,4WDC,,,,,
WDC,4,10MAY2011,10,8.3,6.77,11.0,70,4WDC,,,,,
WDC,4,10MAY2011,11,7.5,6.74,11.2,72,4WDC,,,,,
WDC,4,10MAY2011,12,7.1,6.72,11.2,72,4WDC,,,,,
WDC,4,10MAY2011,13,6.8,6.71,11.3,72,4WDC,,,,,
WDC,4,10MAY2011,14,6.5,6.67,11.2,72,4WDC,,,,,
WDC,4,10MAY2011,15,6.2,6.65,11.1,73,4WDC,,,,,
WDC,4,10MAY2011,16,5.9,6.64,11.2,73,4WDC,,,,,
WDC,4,10MAY2011,17,5.8,6.63,11.2,73,4WDC,,,,,
WDC,4,10MAY2011,18,5.8,6.62,11.2,73,4WDC,,,,,
WDC,4,10MAY2011,19,5.6,6.6,11.2,73,4WDC,,,,,
WDC,4,10MAY2011,20,5.4,6.58,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,21,5.4,6.57,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,22,5.3,6.57,11.1,74,4WDC,,,,,
WDC,4,10MAY2011,23,5.2,6.56,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,24,5.2,6.54,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,25,5.1,6.53,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,26,5.0,6.53,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,27,5.0,6.51,11.2,74,4WDC,,,,,
WDC,4,10MAY2011,28,5.0,6.5,11.1,75,4WDC,,,,,
WDC,4,10MAY2011,29,5.0,6.46,11.0,74,4WDC,,,,,
WDC,4,10MAY2011,30,5.1,6.43,11.1,80,4WDC,,,,,
NN,1,17MAY2011,0,12.2,6.41,11.3,26,1NN,,,,,
NN,1,17MAY2011,1,12.0,6.37,11.2,26,1NN,,,,,
NN,1,17MAY2011,2,11.4,6.31,11.4,26,1NN,,,,,
NN,1,17MAY2011,3,11.0,6.16,11.3,38,1NN,,,,,
NN,1,17MAY2011,4,10.5,6.17,11.3,26,1NN,,,,,
NN,1,17MAY2011,5,10.0,6.15,11.3,25,1NN,,,,,
NN,1,17MAY2011,6,9.6,6.08,11.3,25,1NN,,,,,
NN,1,17MAY2011,7,9.0,6.01,11.2,25,1NN,,,,,
NN,1,17MAY2011,8,8.6,5.83,11.1,25,1NN,,,,,
NN,1,17MAY2011,9,8.3,5.95,11.0,25,1NN,,,,,
NN,1,17MAY2011,10,7.7,5.95,11.1,25,1NN,,,,,
NN,1,17MAY2011,11,7.4,5.92,11.1,25,1NN,,,,,
NN,1,17MAY2011,12,7.1,5.9,11.1,25,1NN,,,,,
NN,1,17MAY2011,13,6.8,5.88,11.1,25,1NN,,,,,
NN,1,17MAY2011,14,6.3,5.86,11.1,25,1NN,,,,,
NN,1,17MAY2011,15,6.1,5.87,11.2,25,1NN,,,,,
NN,1,17MAY2011,16,5.9,5.83,11.2,25,1NN,,,,,
NN,1,17MAY2011,17,5.9,5.84,11.2,25,1NN,,,,,
NN,1,17MAY2011,18,5.8,5.86,11.2,25,1NN,,,,,
NN,1,17MAY2011,19,5.8,5.83,11.1,25,1NN,,,,,
NN,1,17MAY2011,20,5.7,5.83,11.1,25,1NN,,,,,
NN,1,17MAY2011,21,5.6,5.82,11.1,26,1NN,,,,,
NN,1,17MAY2011,22,5.4,5.82,11.1,26,1NN,,,,,
NN,1,17MAY2011,23,5.4,5.82,11.0,26,1NN,,,,,
NN,1,17MAY2011,24,5.3,5.62,11.0,26,1NN,,,,,
NN,1,17MAY2011,25,5.1,5.82,11.0,26,1NN,,,,,
NN,1,17MAY2011,26,5.1,5.82,11.0,26,1NN,,,,,
NN,1,17MAY2011,27,5.0,5.82,11.0,26,1NN,,,,,
NN,1,17MAY2011,28,4.9,5.83,10.9,26,1NN,,,,,
NN,1,17MAY2011,29,4.9,5.85,10.6,26,1NN,,,,,
NN,1,17MAY2011,30,4.8,5.88,10.8,26,1NN,,,,,
NN,2,17MAY2011,0,12.1,6.4,11.2,0,2NN,,,,,
NN,2,17MAY2011,1,12.1,6.35,11.2,25,2NN,,,,,
NN,2,17MAY2011,2,12.1,6.32,11.2,25,2NN,,,,,
NN,2,17MAY2011,3,12.0,6.23,11.0,25,2NN,,,,,
NN,2,17MAY2011,4,11.4,6.11,10.9,25,2NN,,,,,
NN,2,17MAY2011,5,10.0,5.99,11.1,25,2NN,,,,,
NN,2,17MAY2011,6,9.5,5.97,11.0,25,2NN,,,,,
NN,2,17MAY2011,7,8.8,5.93,11.1,25,2NN,,,,,
NN,2,17MAY2011,8,8.5,5.88,11.0,25,2NN,,,,,
NN,2,17MAY2011,9,8.0,5.87,11.1,25,2NN,,,,,
NN,2,17MAY2011,10,7.8,5.83,11.0,25,2NN,,,,,
NN,2,17MAY2011,11,7.5,5.81,11.1,25,2NN,,,,,
NN,2,17MAY2011,12,7.1,5.79,11.1,25,2NN,,,,,
NN,2,17MAY2011,13,7.1,5.78,11.1,25,2NN,,,,,
NN,2,17MAY2011,14,6.6,5.78,11.1,25,2NN,,,,,
NN,2,17MAY2011,15,6.5,5.74,11.1,25,2NN,,,,,
NN,2,17MAY2011,16,6.3,5.73,11.1,25,2NN,,,,,
NN,2,17MAY2011,17,6.2,5.73,11.2,25,2NN,,,,,
NN,2,17MAY2011,18,6.0,5.72,11.1,25,2NN,,,,,
NN,2,17MAY2011,19,5.9,5.71,11.1,25,2NN,,,,,
NN,2,17MAY2011,20,5.8,5.7,11.1,25,2NN,,,,,
NN,2,17MAY2011,21,5.6,5.69,11.1,25,2NN,,,,,
NN,2,17MAY2011,22,5.5,5.69,11.1,25,2NN,,,,,
NN,2,17MAY2011,23,5.4,5.68,11.1,26,2NN,,,,,
NN,2,17MAY2011,24,5.4,5.67,11.0,26,2NN,,,,,
NN,2,17MAY2011,25,5.2,5.68,11.1,26,2NN,,,,,
NN,2,17MAY2011,26,5.1,5.68,11.1,26,2NN,,,,,
NN,2,17MAY2011,27,5.0,5.67,11.0,26,2NN,,,,,
NN,2,17MAY2011,28,4.9,5.66,11.0,26,2NN,,,,,
NN,2,17MAY2011,29,4.9,5.67,11.0,26,2NN,,,,,
NN,2,17MAY2011,30,4.9,5.68,11.0,26,2NN,,,,,
NN,2,17MAY2011,31,4.8,5.67,11.0,26,2NN,,,,,
NN,2,17MAY2011,32,4.8,5.67,10.9,26,2NN,,,,,
NN,2,17MAY2011,33,4.8,5.68,10.9,26,2NN,,,,,
NN,2,17MAY2011,34,4.8,5.68,10.8,26,2NN,,,,,
NN,2,17MAY2011,35,4.8,5.67,10.8,26,2NN,,,,,
NN,2,17MAY2011,36,4.8,5.68,10.8,26,2NN,,,,,
NN,2,17MAY2011,37,4.8,5.68,10.8,26,2NN,,,,,
NN,2,17MAY2011,38,4.8,5.67,10.7,26,2NN,,,,,
NN,2,17MAY2011,39,4.8,5.7,10.7,26,2NN,,,,,
NN,2,17MAY2011,40,4.8,5.67,10.6,26,2NN,,,,,
NN,2,17MAY2011,41,4.7,5.67,10.4,26,2NN,,,,,
NN,2,17MAY2011,42,4.7,5.69,10.1,26,2NN,,,,,
NN,2,17MAY2011,43,4.7,5.62,9.9,26,2NN,,,,,
WDC,4,14JUN2011,0,21.3,8.23,8.9,83,4WDC,,,,,
WDC,4,14JUN2011,1,21.2,8.23,8.8,83,4WDC,,,,,
WDC,4,14JUN2011,2,21.1,8.22,8.9,83,4WDC,,,,,
WDC,4,14JUN2011,3,21.1,8.04,8.9,83,4WDC,,,,,
WDC,4,14JUN2011,4,20.0,7.64,8.9,80,4WDC,,,,,
WDC,4,14JUN2011,5,18.7,7.26,8.4,78,4WDC,,,,,
WDC,4,14JUN2011,6,16.8,6.79,7.3,77,4WDC,,,,,
WDC,4,14JUN2011,7,15.1,6.64,7.5,78,4WDC,,,,,
WDC,4,14JUN2011,8,13.8,6.6,7.9,75,4WDC,,,,,
WDC,4,14JUN2011,9,12.1,6.58,8.4,74,4WDC,,,,,
WDC,4,14JUN2011,10,10.6,6.59,8.8,75,4WDC,,,,,
WDC,4,14JUN2011,11,9.5,6.57,9.0,76,4WDC,,,,,
WDC,4,14JUN2011,12,8.6,6.56,9.1,77,4WDC,,,,,
WDC,4,14JUN2011,13,8.2,6.55,9.4,77,4WDC,,,,,
WDC,4,14JUN2011,14,7.7,6.58,9.8,78,4WDC,,,,,
WDC,4,14JUN2011,15,7.1,6.6,10.1,79,4WDC,,,,,
WDC,4,14JUN2011,16,6.9,6.6,10.1,80,4WDC,,,,,
WDC,4,14JUN2011,17,6.5,6.58,10.1,80,4WDC,,,,,
WDC,4,14JUN2011,18,6.2,6.57,10.0,81,4WDC,,,,,
WDC,4,14JUN2011,19,6.0,6.56,10.0,81,4WDC,,,,,
WDC,4,14JUN2011,20,5.9,6.55,9.9,81,4WDC,,,,,
WDC,4,14JUN2011,21,5.7,6.54,9.9,81,4WDC,,,,,
WDC,4,14JUN2011,22,5.7,6.54,10.0,81,4WDC,,,,,
WDC,4,14JUN2011,23,5.6,6.53,9.8,82,4WDC,,,,,
WDC,4,14JUN2011,24,5.6,6.52,9.8,82,4WDC,,,,,
WDC,4,14JUN2011,25,5.5,6.51,9.7,82,4WDC,,,,,
WDC,4,14JUN2011,26,5.5,6.51,9.7,82,4WDC,,,,,
WDC,4,14JUN2011,27,5.5,6.52,9.6,82,4WDC,,,,,
WDC,4,14JUN2011,28,6.5,6.48,9.3,83,4WDC,,,,,
NN,1,21JUN2011,0,21.9,6.88,9.1,28,1NN,,,,,
NN,1,21JUN2011,1,21.4,6.85,9.2,28,1NN,,,,,
NN,1,21JUN2011,2,21.3,6.81,9.2,28,1NN,,,,,
NN,1,21JUN2011,3,20.8,6.74,9.2,28,1NN,,,,,
NN,1,21JUN2011,4,19.9,6.67,9.3,28,1NN,,,,,
NN,1,21JUN2011,5,19.2,6.52,9.3,29,1NN,,,,,
