"date","doc","tp","tdp","chl","secchi","surfdoc","surftp","surftdp","surfchl"
1995-04-10,1.65,17.33,6,5.57,3.5,1.69,17,6,5.8
1995-04-25,NA,16,6,6.55,3.2,NA,18,7,8.9
1995-05-08,1.61,15,6,5.8,3.3,1.62,18,6,7.7
1995-05-23,NA,13.33,2.67,11.1,1.8,NA,14.5,2,15.4
1995-06-12,1.99,13.33,4.33,3,3.5,2.17,15,5,3
1995-06-27,NA,19,8,4.6,2,NA,27,10,8
1995-07-17,1.78,18,6.33,6.13,2,2.24,22,8,12.2
1995-08-01,NA,21.5,8.5,6.6,2.1,NA,26,10,12.8
1995-08-14,2.07,23.5,8,6.17,1.9,2.68,25,10,10
1995-08-29,NA,64.67,15.33,8.5,1.9,NA,29,10,14.1
1995-09-11,2.49,37.75,12.5,7.58,2,2.67,32,10,10.8
1995-09-26,NA,36,5.5,16.95,1.3,NA,38,5,19
1995-09-28,NA,NA,NA,NA,1.5,NA,NA,NA,NA
1995-10-04,NA,NA,NA,NA,1.8,NA,NA,NA,NA
1995-10-16,2.61,48,14,10.07,0.9,2.5,44,12,11.8
1995-10-31,NA,44,18,5.1,2.1,NA,26,11,5.9
1995-11-13,2.4,29,12.25,6.28,1.7,2.44,27.5,12,6.65
1995-11-28,NA,23,12.33,5.9,2.1,NA,22,12,5.9
1996-04-23,NA,27,12.5,3.95,1.65,NA,31,11,7.3
1996-05-06,1.94,18,9.67,4.33,1.4,2.1,22,10,5.3
1996-06-03,NA,17,7.67,3.1,2.5,NA,25,9,3.1
1996-06-18,NA,23,17.5,7.3,2.5,NA,30,23,7.3
1996-07-01,NA,17.33,11.33,5.5,2.7,NA,23,12,5.5
1996-07-16,NA,16.5,8,12.9,2,NA,16,6,12.9
1996-07-29,NA,17,7,23.55,2.1,NA,20.5,6.5,23.55
1996-08-13,NA,17,7.33,29.3,2.3,NA,18,4,29.3
1996-08-26,NA,16.75,5.5,12.4,2.5,NA,14,5,12.4
1996-09-10,NA,19.5,7,4.2,3,NA,14,5,4.2
1996-09-23,NA,20,6.75,3.3,3.5,NA,13,5,3.3
1996-10-08,NA,15,4.5,3.8,2.9,NA,11,3,3.8
1996-10-21,NA,17.67,5,3.5,3,NA,11,4,3.5
1996-11-25,NA,25.33,14.67,0.8,2,NA,23,14,0.8
1997-04-14,NA,25.33,11,2.6,1.3,NA,36,15,2.6
1997-04-29,NA,17,6,12.6,2.3,NA,21,6,12.6
1997-05-12,NA,14.33,4.33,9.2,2.1,NA,17,4,9.2
1997-06-03,NA,17.67,5.67,22.9,1.6,NA,20,5,22.9
1997-06-09,NA,21,7,24.9,1.6,NA,24,8,24.9
1997-07-14,NA,16.33,5.67,13.9,2,NA,21,7,13.9
1997-07-29,NA,17,4.5,6.8,1.8,NA,16,4,6.8
1997-08-11,NA,NA,NA,12.4,2.65,NA,NA,NA,12.4
1997-08-26,NA,26,5,31.5,2.34,NA,20,6,31.5
1997-09-08,NA,23.75,4.75,10.8,2.39,NA,20,6,10.8
1997-09-23,NA,34,7,NA,2.5,NA,18,6,NA
1997-10-06,NA,21.67,5,13.5,2.4,NA,21,5,13.5
1997-10-21,NA,15,5,8.6,1.5,NA,15,5,8.6
1997-11-03,NA,33,9.5,12.2,1.1,NA,36,10,12.2
1997-12-09,NA,31,9,10.6,1.5,NA,35,4,10.6
1998-04-13,NA,15,NA,3.23,2.4,NA,16,NA,3.3
1998-04-28,NA,21.5,4,7.25,2.3,NA,26,6,11.8
1998-05-11,NA,NA,NA,8,1.8,NA,NA,NA,14.3
1998-06-08,NA,13.67,5.33,3.53,2.4,NA,17,6,8.1
1998-06-23,NA,17,6,7.25,2,NA,25,8,14.3
1998-07-07,NA,16.5,4.5,5.45,2.51,NA,24,7,10
1998-07-13,NA,13,4,5.33,1.65,NA,23,6,14.8
1998-08-10,NA,22.67,6.67,17.57,2,NA,30,8,33
1998-08-25,NA,23.5,6.5,12.6,1.5,NA,20,4,24.4
1998-09-21,NA,17.33,7,6.93,2.05,NA,21,7,18.2
1998-10-05,NA,22.67,7.67,3.57,2.1,NA,21,7,3.6
1998-10-20,NA,16.5,4,6.2,2.2,NA,16,3,6.6
1998-11-02,NA,24.67,7,7.23,1.6,NA,26,7,14.3
1998-11-17,NA,20.5,4.5,12.25,2,NA,20,5,13.7
1998-11-30,NA,26.67,5.33,13.73,1.8,NA,28,5,10.4
1998-12-15,NA,37,6,15.7,1.45,NA,39,6,17.7
1999-04-12,NA,15.33,4.33,14.57,2.9,NA,19,5,19.8
1999-04-27,NA,13.5,NA,5.3,3,NA,17,NA,9.1
1999-05-10,NA,14.33,3,4.23,2.7,NA,14,NA,5.6
1999-05-25,NA,14.5,4.5,3,2.85,NA,17,6,3
1999-06-14,NA,10.67,3.67,3.03,3.3,NA,16,4,5.5
1999-06-29,NA,10,4.5,4.85,4,NA,14,5,8.4
1999-07-26,NA,13,4.33,8.8,3.3,NA,13,4,8.8
1999-08-09,NA,14.67,4,4.75,2.7,NA,18,6,8.4
1999-08-24,NA,31,12,7.4,1.63,NA,22,5,7.4
1999-09-07,NA,29,5.33,18.57,1.4,NA,31,6,18.7
1999-10-04,NA,25,8.33,4.25,2,NA,23,8,NA
1999-10-19,NA,19,5,3.8,2.85,NA,18,5,5.2
1999-11-01,NA,16,3.5,6.15,3.1,NA,18,4,5.5
1999-11-16,NA,18,3,8.1,2,NA,19,3,7.4
1999-12-06,NA,27,11.67,4.65,2.4,NA,20,7,NA
2000-04-10,NA,29.33,16,2.23,1.8,NA,31,16,2.1
