Depth,0,0.61,2.13,3.66,5.18,6.71,8.23,9.76,11.28,12.8,14.33,15.85,17.38,18.9,20.43,21.95,23.48,25,26.52,28.05,29.57,31.1,32.62,34.15,35.67,37.2,38.72,40.24,41.77,43.29,44.82,46.34,47.87,49.39,50.91,52.44
Elevation,301.22,301.83,303.35,304.88,306.4,307.93,309.45,310.98,312.5,314.02,315.55,317.07,318.6,320.12,321.65,323.17,324.7,326.22,327.74,329.27,330.79,332.32,333.84,335.37,336.89,338.42,339.94,341.46,342.99,344.51,346.04,347.56,349.09,350.61,352.13,353.66
Area,1630,1630,42600,79400,140000,220000,335000,655000,1090000,1260000,1470000,2020000,2850000,3270000,3720000,4780000,5760000,6270000,6820000,8120000,9240000,9950000,10800000,11900000,12800000,13400000,13900000,14600000,15400000,15900000,16500000,17400000,18300000,19300000,20300000,21300000
