OBJECTID,WATERBODY_,SHAPE_Leng,SHAPE_Area,Secchi,Depth,DOC,Wshed_area,Wshed_perim
9729,2002700,790.1725177,34354.25662,0.5,0.5,12.27,427590,5018
9823,2012300,193.7309716,1982.447035,0.48,5,25.12,20230,1057
9825,2012700,348.9158125,6764.548472,0.95,2.5,13.76,17436,687
9851,2015100,756.1894485,33804.22572,3.28,3.45,4.757,375256,3698
9860,2016000,1141.701114,73211.00497,4.5,5.75,2.98,193909,2271
9875,2017500,285.1752628,5603.438347,1.25,2.5,8.06,90674,1849
9901,2020500,153.3933549,1668.830547,1.78,2.3,7.94,18833,740
9939,2025330,611.6519517,11714.26055,0.5,3,12.14,127649,2113
9955,2026800,201.9961927,2857.083378,1.55,3.15,13.47,15342,687
10023,2034000,162.533958,1522.511874,2,3.1,6.61,34187,1109
10055,2037400,280.9017104,4666.664394,0.8,4,14.01,282498,3117
10135,2046100,1237.406502,69439.73581,3.5,5.95,4.99,699,106
10979,2295400,1263.716067,64181.91602,3.65,4.45,5.63,251117,3222
11003,2300600,4603.556657,461181.0133,1.43,3.8,10.82,3638317,12466
11063,2311700,5933.041875,486617.5482,1.3,5.25,11.78,7103589,22291
11066,2312100,6300.089644,932269.5433,1.8,9.3,9.1,1398,159
11068,2312500,4338.444159,430856.1217,0.5,2.6,18,4674819,14051
11073,2313100,3362.871841,388411.7719,1.78,4.8,6.71,976550,6022
11091,2316800,964.5527975,53565.52158,3,8.8,8.26,2320627,10987
11113,2320800,23940.48387,4214354.251,2.15,13.1,3.56,12649674,28207
11116,2321400,13924.84049,1595495.545,3.95,20.4,4.55,4399297,14315
11127,2323400,3438.226423,567472.2983,2.95,6.9,3.15,2088381,10459
11144,2326100,1629.662378,120551.2649,1,2.5,17.92,1071402,7976
11150,2327200,2039.724282,117077.3784,3.2,3.2,4.47,2618502,13470
11163,2329300,9574.069468,1125548.653,4.25,8.75,4.92,3263733,12941
11201,2334700,15215.55438,3347132.85,2.45,2.45,5.36,17194036,49864
11223,2337600,1760.734772,74292.19343,1.8,3.45,10.88,453392,3962
11233,2339800,9993.314526,1130855.59,5.25,10.9,4.406,2916380,10406
11234,2339900,8134.686853,1225683.831,3.38,8,5.55,4148184,14632
13904,2758200,1815.409756,145024.5139,4.4,7.7,3.67,384324,3592
13916,2759400,2314.232982,108482.9659,1.2,2.6,10.97,1094429,6497
14005,2768200,1365.691477,96114.69633,4.05,6.3,4.36,697,106
14120,2779500,539.271064,17994.8033,1.33,10.1,10.47,144387,2166
14143,2782200,323.2278368,7435.222769,2.25,3.3,7.58,28600,1004
14929,2949200,9596.27133,1212501.555,1.45,7.1,12.53,19569068,43473
14948,2954700,2232.715732,109630.2791,0.86,4.6,15.22,1222780,7025
