"","STATE_NAME","N","Slope","Intercept","RSquared","P-Value"
"1","Alabama",16,-0.305503723931505,1.11400055865076,0.232347303241466,0.0586560356344734
"2","Arizona",23,0.0102108542066934,1.93280678734923,0.000567490203067925,0.914082694658045
"3","Arkansas",13,-0.500970370230727,1.29096743418062,0.500657581512444,0.00681931848233841
"4","California",21,-0.456559855910346,1.56049517572574,0.672130677780835,5.40349266664464e-06
"5","Colorado",42,-0.512590761042663,1.63168003965725,0.435959117061815,1.95960075943802e-06
"6","Connecticut",20,-0.36173134009709,1.57313391084613,0.456797536716454,0.00107161648180798
"7","Delaware",11,-0.565204245970844,0.989243444069118,0.506400250607469,0.0140485586705545
"8","Florida",27,-0.792680842134142,2.02877077361412,0.639234247854832,5.6550614169204e-07
"9","Georgia",20,-0.675108057641528,1.57400814164286,0.380336886436788,0.00377696536893724
"10","Idaho",33,-0.376837989888151,1.33808370607019,0.46780363292,1.14266761462867e-05
"11","Illinois",28,-0.348495294283459,1.72573799307927,0.387124524153285,0.00040760991246469
"12","Indiana",65,-0.20697342952008,1.89933637997391,0.130090213275086,0.00316217931441298
"13","Iowa",26,-0.265402085739692,1.73817796390145,0.148839565557142,0.0515882716267709
"14","Kansas",33,-0.194792423367828,1.62580274748505,0.244642280731148,0.0034332364286197
"15","Kentucky",13,-0.531468831758814,1.33455661378106,0.815421483800603,2.35716671386221e-05
"16","Louisiana",20,-0.190264081427571,1.97043976675339,0.0748875774443717,0.243016986210705
"17","Maine",25,-0.627745865442434,2.29114821047521,0.687767657291781,2.99605058762253e-07
"18","Maryland",9,-0.305434129655757,1.15665917874948,0.707335520986742,0.0044979615303089
"19","Massachusetts",11,-0.459603985596026,1.6018247524817,0.223323236325513,0.142148812222861
"20","Michigan",63,-0.380724966179644,2.11765247268716,0.237830617907937,5.03572850164558e-05
"21","Minnesota",68,-0.275356655383631,2.28980070998288,0.426360722811376,1.5940493369726e-09
"22","Mississippi",9,-0.240925180500446,1.58286505414013,0.13073393639832,0.339013558396573
"23","Missouri",36,-0.244712465782267,1.49694877059508,0.334200389359749,0.000221999208277479
"24","Montana",48,-0.67424631050208,2.13873049294294,0.590545692998818,1.80812698147292e-10
"25","Nebraska",46,-0.690528889435012,1.8871986352554,0.242396507189867,0.000509822133275328
"26","Nevada",21,0.106714941903872,1.95403683579404,0.0411810404978759,0.377649980984513
"27","New Hampshire",17,-0.421142937233566,1.7835984868951,0.637390091258718,0.000122086216014727
"28","New Jersey",11,-0.488495274340882,1.46041061290281,0.835489148660801,8.26376328701972e-05
"29","New Mexico",17,-0.0875194024960532,1.63559955523027,0.0300217248355278,0.506022135248462
"30","New York",19,0.0267079769720183,1.05657930914271,0.0173400514617399,0.591012738242369
"31","North Carolina",27,-0.629185104100518,1.48433138789174,0.605280142065784,1.78361651093084e-06
"32","North Dakota",50,-0.191209450341359,3.30297712424859,0.129255577034239,0.0103392901489383
"33","Ohio",24,-0.335397147445094,1.47002870177443,0.598216896072472,9.3285602684734e-06
"34","Oklahoma",57,-0.116641214597082,1.70705153072569,0.0581344981335169,0.070797016833742
"35","Oregon",36,-0.46898404175767,1.46008467135202,0.637900357430801,5.2978288422878e-09
"36","Pennsylvania",21,-0.507577334972394,1.38340106523876,0.609101506444785,2.99677205100046e-05
"37","Rhode Island",16,0.0287321763056346,1.31945871203784,0.00614973616397186,0.772826066913466
"38","South Carolina",9,-1.28192654649976,1.7067120837211,0.934328612740167,2.16849133584107e-05
"39","South Dakota",42,-0.402244468720196,2.71601126653996,0.34066551612902,4.96549089423759e-05
"40","Tennessee",12,-0.169848252867533,1.07326624248399,0.199160222482479,0.145877003784089
"41","Texas",64,-0.225650467762393,1.85360920521867,0.173726024933385,0.000612407491161759
"42","Utah",30,-0.155021841062938,1.41366045686445,0.069612914153596,0.158886190327598
"43","Vermont",15,-0.45151202457897,1.86022793663254,0.513326141547053,0.00265500558198672
"44","Virginia",27,-0.554951119978039,1.57588645230708,0.683513506406643,1.06787441334077e-07
"45","Washington",43,-0.570598434152179,1.96854295599146,0.255636858081223,0.000543198393319066
"46","West Virginia",16,-0.325180071004423,1.17438723122597,0.655524898090505,0.000144403807727622
"47","Wisconsin",36,-0.502123782822536,2.28746395091802,0.386796264800268,5.1415212817707e-05
"48","Wyoming",30,-0.335839729967784,1.72165918301877,0.0508843024932032,0.230702253596009
