site_name,sampledate,doc
HARP INFLOW #3,1/2/1991 0:00,7.5
HARP INFLOW #3,1/4/1991 0:00,7.1
HARP INFLOW #3,1/7/1991 0:00,7.4
HARP INFLOW #3,1/9/1991 0:00,7.3
HARP INFLOW #3,1/11/1991 0:00,7.7
HARP INFLOW #3,1/14/1991 0:00,7.5
HARP INFLOW #3,1/16/1991 0:00,7.4
HARP INFLOW #3,1/18/1991 0:00,7.4
HARP INFLOW #3,1/21/1991 0:00,7.6
HARP INFLOW #3,1/23/1991 0:00,8.1
HARP INFLOW #3,1/25/1991 0:00,8.2
HARP INFLOW #3,1/28/1991 0:00,8
HARP INFLOW #3,1/30/1991 0:00,7.9
HARP INFLOW #3,2/1/1991 0:00,9.1
HARP INFLOW #3,2/4/1991 0:00,8.5
HARP INFLOW #3,2/6/1991 0:00,8.4
HARP INFLOW #3,2/8/1991 0:00,8.4
HARP INFLOW #3,2/11/1991 0:00,9.1
HARP INFLOW #3,2/13/1991 0:00,9.2
HARP INFLOW #3,2/15/1991 0:00,9.2
HARP INFLOW #3,2/18/1991 0:00,9
HARP INFLOW #3,2/20/1991 0:00,8.3
HARP INFLOW #3,2/22/1991 0:00,8.9
HARP INFLOW #3,2/25/1991 0:00,9
HARP INFLOW #3,2/27/1991 0:00,8.8
HARP INFLOW #3,3/1/1991 0:00,8.5
HARP INFLOW #3,3/4/1991 0:00,9.1
HARP INFLOW #3,3/6/1991 0:00,7.2
HARP INFLOW #3,3/8/1991 0:00,6.9
HARP INFLOW #3,3/11/1991 0:00,6.4
HARP INFLOW #3,3/13/1991 0:00,6.7
HARP INFLOW #3,3/15/1991 0:00,5.9
HARP INFLOW #3,3/18/1991 0:00,6.3
HARP INFLOW #3,3/20/1991 0:00,6.5
HARP INFLOW #3,3/22/1991 0:00,6.4
HARP INFLOW #3,3/25/1991 0:00,6.3
HARP INFLOW #3,3/27/1991 0:00,5.4
HARP INFLOW #3,3/30/1991 0:00,6.1
HARP INFLOW #3,4/1/1991 0:00,5.2
HARP INFLOW #3,4/3/1991 0:00,5.6
HARP INFLOW #3,4/5/1991 0:00,5.9
HARP INFLOW #3,4/7/1991 0:00,4.8
HARP INFLOW #3,4/8/1991 0:00,5
HARP INFLOW #3,4/10/1991 0:00,6.2
HARP INFLOW #3,4/12/1991 0:00,5.8
HARP INFLOW #3,4/15/1991 0:00,6.7
HARP INFLOW #3,4/17/1991 0:00,7.4
HARP INFLOW #3,4/19/1991 0:00,6.9
HARP INFLOW #3,4/22/1991 0:00,7
HARP INFLOW #3,4/24/1991 0:00,7.3
HARP INFLOW #3,4/26/1991 0:00,7.7
HARP INFLOW #3,4/29/1991 0:00,8.5
HARP INFLOW #3,5/1/1991 0:00,9.7
HARP INFLOW #3,5/3/1991 0:00,9.9
HARP INFLOW #3,5/6/1991 0:00,10.3
HARP INFLOW #3,5/8/1991 0:00,10.6
HARP INFLOW #3,5/10/1991 0:00,10.7
HARP INFLOW #3,5/13/1991 0:00,12.3
HARP INFLOW #3,5/15/1991 0:00,13.9
HARP INFLOW #3,5/17/1991 0:00,17.1
HARP INFLOW #3,5/21/1991 0:00,15
HARP INFLOW #3,5/22/1991 0:00,15.6
HARP INFLOW #3,5/24/1991 0:00,16.5
HARP INFLOW #3,5/27/1991 0:00,20.7
HARP INFLOW #3,5/29/1991 0:00,20.9
HARP INFLOW #3,5/31/1991 0:00,22.1
HARP INFLOW #3,6/3/1991 0:00,20.2
HARP INFLOW #3,6/5/1991 0:00,20.6
HARP INFLOW #3,6/7/1991 0:00,18.9
HARP INFLOW #3,6/10/1991 0:00,17.2
HARP INFLOW #3,6/12/1991 0:00,18.4
HARP INFLOW #3,6/14/1991 0:00,17.1
HARP INFLOW #3,6/17/1991 0:00,17.2
HARP INFLOW #3,6/19/1991 0:00,19.7
HARP INFLOW #3,7/24/1991 0:00,15.2
HARP INFLOW #3,7/26/1991 0:00,14.7
HARP INFLOW #3,7/31/1991 0:00,15.9
HARP INFLOW #3,8/2/1991 0:00,15.3
HARP INFLOW #3,8/6/1991 0:00,16.5
HARP INFLOW #3,8/7/1991 0:00,16.6
HARP INFLOW #3,8/12/1991 0:00,17.5
