Date,DOC3,DOC3a,DOC4,DOC5,DOC6,DOC6a
1/2/1991 0:00,7.5,3.1,6.4,8.8,5,5.9
1/3/1991 0:00,7.3,3.2,6.9,8.8,4.9,6
1/4/1991 0:00,7.1,3.3,6.3,8.8,4.8,6.1
1/5/1991 0:00,7.2,3.133333333,6.233333333,8.6,4.7,6.166666667
1/6/1991 0:00,7.3,2.966666667,6.166666667,8.4,4.6,6.233333333
1/7/1991 0:00,7.4,2.8,6.1,8.2,4.5,6.3
1/8/1991 0:00,7.35,2.8,6,8.35,4.5,6.25
1/9/1991 0:00,7.3,2.8,5.6,8.5,4.5,6.2
1/10/1991 0:00,7.5,2.85,5.7,8.7,4.5,6.35
1/11/1991 0:00,7.7,2.9,5.8,8.9,4.5,6.5
1/12/1991 0:00,7.633333333,2.866666667,5.7,8.866666667,4.5,6.533333333
1/13/1991 0:00,7.566666667,2.833333333,5.6,8.833333333,4.5,6.566666667
1/14/1991 0:00,7.5,2.8,5.5,8.8,4.5,6.6
1/15/1991 0:00,7.45,2.8,5.6,8.8,4.55,6.7
1/16/1991 0:00,7.4,2.8,5.6,8.8,4.6,6.8
1/17/1991 0:00,7.4,2.65,5.55,8.7,4.4,6.75
1/18/1991 0:00,7.4,2.5,5.5,8.6,4.2,6.7
1/19/1991 0:00,7.466666667,2.5,5.433333333,8.7,4.2,23.9
1/20/1991 0:00,7.533333333,2.5,5.366666667,8.8,4.2,15.25
1/21/1991 0:00,7.6,2.5,5.3,8.9,4.2,6.6
1/22/1991 0:00,7.85,2.55,5.8,8.95,4.3,6.6
1/23/1991 0:00,8.1,2.6,5.2,9,4.4,6.6
1/24/1991 0:00,8.15,2.6,5.2,8.85,4.35,6.7
1/25/1991 0:00,8.2,2.6,5.2,8.7,4.3,6.8
1/26/1991 0:00,8.133333333,2.533333333,5.233333333,8.7,4.233333333,6.8
1/27/1991 0:00,8.066666667,2.466666667,5.266666667,8.7,4.166666667,6.8
1/28/1991 0:00,8,2.4,5.3,8.7,4.1,6.8
1/29/1991 0:00,7.95,2.35,5.3,8.9,4.1,6.8
1/30/1991 0:00,7.9,2.3,5.3,9.1,4.1,6.8
1/31/1991 0:00,8.5,2.4,5.5,9.3,4.25,7
2/1/1991 0:00,9.1,2.5,5.7,9.5,4.4,7.2
2/2/1991 0:00,8.9,2.533333333,5.733333333,9.333333333,4.8,7.233333333
2/3/1991 0:00,8.7,2.566666667,5.766666667,9.166666667,5.2,7.266666667
2/4/1991 0:00,8.5,2.6,5.8,9,5.6,7.3
2/5/1991 0:00,8.45,2.6,5.3,9.25,4.95,7.15
2/6/1991 0:00,8.4,2.6,5.3,9.5,4.3,7
2/7/1991 0:00,8.4,2.5,5.3,7.15,4.45,6.35
2/8/1991 0:00,8.4,2.4,5.3,4.8,4.6,5.7
2/9/1991 0:00,8.633333333,2.533333333,5.533333333,6.3,4.6,6.233333333
2/10/1991 0:00,8.866666667,2.666666667,5.766666667,7.8,4.6,6.766666667
2/11/1991 0:00,9.1,2.8,6,9.3,4.6,7.3
2/12/1991 0:00,9.15,2.7,5.9,9.35,4.5,7.35
2/13/1991 0:00,9.2,2.6,6.1,9.4,4.4,7.4
2/14/1991 0:00,9.2,2.7,6.2,9.5,4.5,7.3
2/15/1991 0:00,9.2,2.8,6.3,9.6,4.6,7.2
2/16/1991 0:00,9.133333333,2.7,5.933333333,9.466666667,4.566666667,7.2
2/17/1991 0:00,9.066666667,2.6,5.566666667,9.333333333,4.533333333,7.2
2/18/1991 0:00,9,2.5,5.2,9.2,4.5,7.2
2/19/1991 0:00,8.65,2.55,5,9.35,4.45,6.75
