"","Date","DOC_conc_gm3","NPPin_gm2y","FlowIn_gm2y","FlowOut_gm2y","respOut_gm2y","leachIn_gm2y","DOC_out_g","DOC_FlowOut_cum_g","DOC_RespOut_cum_g","DOC_in_g","DOC_in_alloch_g","DOC_in_autoch_g"
"1563",2010-10-05,5.77348061508471,22.116374734558,0.0138635884567127,37.0020852786851,21.3924458117403,27.1098167717014,6375402.91494096,3356347177.21521,3135294529.18084,2416136.9785538,1513.6,2414623.3785538
"1564",2010-10-06,5.77150186209979,22.4101755723868,0.0138635884567127,37.6360713963015,21.2142236075323,27.0521750675093,6425162.34493912,3360456211.31149,3137610657.4295,2448213.59057429,1513.6,2446699.99057429
"1565",2010-10-07,5.76947564122991,22.7034542545902,0.0138635884567127,38.2692992376809,21.0373106313914,27.0059618547477,6474981.92680146,3364634380.00909,3139907470.65871,2480233.19464498,1513.6,2478719.59464498
"1566",2010-10-08,5.76740419080601,22.9961938730392,0.0138635884567127,38.3848009291119,20.8617068193794,26.9709989771237,6468420.09254077,3368825158.95984,3142185111.8005,2512193.9447688,1513.6,2510680.3447688
"1567",2010-10-09,5.76540145034936,23.2883779326011,0.0138635884567127,39.0174561175586,20.6878126984703,26.9476326239949,6518506.74607878,3373085009.99076,3144443767.51566,2544094.04003878,1513.6,2542580.44003878
"1568",2010-10-10,5.76335765336551,23.5799903407209,0.0138635884567127,38.874473610265,20.5152194632241,26.9351539577465,6484052.79172203,3377329250.46574,3146683579.8324,2575931.72350062,1513.6,2574418.12350062
"1569",2010-10-11,5.76144240368114,23.8710153973526,0.0138635884567127,38.9906631993248,20.3445174915103,26.934173384242,6478101.23432815,3381586176.29723,3148904755.23524,2607705.28105342,1513.6,2606191.68105342
"1570",2010-10-12,5.75960163045255,24.1614377852228,0.0138635884567127,39.6235402660167,20.1754945443741,26.9442424328791,6528743.93751801,3385912198.43312,3151107477.03686,2639413.04038665,1513.6,2637899.44038665
"1571",2010-10-13,5.75772554614806,24.4512425604149,0.0138635884567127,40.6428325483672,20.0077510980939,26.9646599434802,6621714.40633281,3390349504.94559,3153291884.93072,2671053.36995215,1513.6,2669539.76995215
"1572",2010-10-14,5.75573245334109,24.7404151432587,0.0138635884567127,41.1446844438891,19.8409968523401,26.9948679241093,6658299.72508147,3394841602.68556,3155458086.91583,2702624.67796948,1513.6,2701111.07796948
"1573",2010-10-15,5.75373596326361,25.028941309514,0.0138635884567127,41.2593480558654,19.6756184401951,27.035232484526,6652762.7804603,3399346219.17879,3157606233.20307,2734125.41146338,1513.6,2732611.81146338
"1574",2010-10-16,5.75182152545975,25.3168071818355,0.0138635884567127,41.3745124148413,19.5118944845314,27.0859809546256,6647461.13682193,3403863409.09586,3159736504.42282,2765554.0553319,1513.6,2764040.4553319
"1575",2010-10-17,5.74999077585259,25.6039992215077,0.0138635884567127,41.7478979148193,19.3498123850902,27.1469426714472,6670530.83685314,3408421364.52574,3161849079.82979,2796909.13144405,1513.6,2795395.53144405
"1576",2010-10-18,5.74818960664417,25.8905042204385,0.0138635884567127,41.9924428463756,19.1891734779449,27.2176864102438,6679691.53568267,3413006018.90225,3163944116.98896,2828189.19776569,1513.6,2826675.59776569
"1577",2010-10-19,5.74644752085136,25.8344912498775,0.0138635884567127,41.9797163284466,18.4421549256223,27.2981824528307,6596744.02595793,3417589283.82195,3165957596.09523,2822073.80906197,1513.6,2820560.20906197
"1578",2010-10-20,5.74487494708503,26.0412512965099,0.0138635884567127,41.9682281524254,18.1652766287086,27.3796716111693,6565260.7274745,3422171294.48462,3167940846.16003,2844647.47442717,1513.6,2843133.87442717
