"","Date","Source","Sink","Pipe","Net"
"1",0006-06-26,3057942.99532384,505100,1593315.86425174,-2552842.99532384
"2",0006-06-27,3895241.05121288,551077.667881328,1439626.55184418,-3344163.38333155
"3",0006-06-28,3994243.94905683,594054.956122758,1554932.53242767,-3400188.99293407
"4",0006-06-29,4301765.1878427,635572.138260897,1790366.46520521,-3666193.0495818
"5",0006-06-30,4293788.32464283,677597.145770354,1802636.09799862,-3616191.17887247
"6",0006-07-01,4089185.30435715,718104.401728639,1729485.97013765,-3371080.90262851
"7",0006-07-02,4150323.06857404,755204.917323014,1754499.29878831,-3395118.15125102
"8",0006-07-03,4210412.24389579,791607.026110898,1815926.82995535,-3418805.21778489
"9",0006-07-04,4197799.77486233,827006.656694671,1772645.60962966,-3370793.11816766
"10",0006-07-05,4090703.22090534,862164.085991069,1646619.21119184,-3228539.13491427
"11",0006-07-06,4491014.67329585,896850.5142413,2013661.94347573,-3594164.15905455
"12",0006-07-07,4090047.07689671,931201.987815917,1701071.99543518,-3158845.08908079
"13",0006-07-08,4105135.77614741,962799.822368784,1741566.40917873,-3142335.95377863
"14",0006-07-09,4063237.04651297,992952.502611733,1725728.43133443,-3070284.54390123
"15",0006-07-10,4374194.11343024,1021697.04939276,2074158.51801863,-3352497.06403748
"16",0006-07-11,466321.620484213,1048655.31328341,2546442.35289232,582333.692799201
"17",0006-07-12,4508211.15763558,1074037.68563024,2176790.21866386,-3434173.47200533
"18",0006-07-13,4559557.1061172,1100877.19850833,2150340.48675839,-3458679.90760887
"19",0006-07-14,4507819.50368513,1129041.53656855,2018830.52027186,-3378777.96711658
"20",0006-07-15,4639422.78503349,1158609.3652937,2126846.69766319,-3480813.41973979
"21",0006-07-16,4653070.94276043,1188194.79409409,2114823.75060866,-3464876.14866635
"22",0006-07-17,4251112.4381047,1217900.15470596,1712940.91073073,-3033212.28339875
"23",0006-07-18,4326575.0256701,1247343.75045895,1727159.37311475,-3079231.27521115
"24",0006-07-19,3997952.45844465,1277700.41401896,1757176.80246298,-2720252.04442569
"25",0006-07-20,2301938.37432781,1306297.90463583,1884454.31875107,-995640.469691973
"26",0006-07-21,4272583.01354995,1334774.96534284,1689810.82117325,-2937808.04820711
"27",0006-07-22,4292742.29294401,1363392.66406949,1768657.9744685,-2929349.62887452
"28",0006-07-23,4484202.73416808,1391984.49172758,1859751.64355072,-3092218.2424405
"29",0006-07-24,4208855.93088314,1420532.36985053,1603932.8916419,-2788323.56103262
"30",0006-07-25,3976302.47455379,1449231.40511556,1698222.18014365,-2527071.06943823
"31",0006-07-26,4329732.3237748,1476004.54507987,1804789.76619341,-2853727.77869493
"32",0006-07-27,3272148.77499688,1500889.21746521,2445161.39848629,-1771259.55753166
"33",0006-07-28,4282747.91636764,1523594.74644776,1798485.78313617,-2759153.16991988
"34",0006-07-29,4290586.11915709,1544980.05074986,1846802.08803815,-2745606.06840722
"35",0006-07-30,4216259.73074325,1564642.41004129,1837009.65002692,-2651617.32070196
"36",0006-07-31,4271382.54706172,1582661.44094656,1908995.4628796,-2688721.10611515
"37",0006-08-01,3975748.38834269,1599024.52312974,1981056.77015199,-2376723.86521295
"38",0006-08-02,4392004.25774746,1613771.78981926,2135534.2426491,-2778232.4679282
