,Alloch_gm2y,Autoch_gm2y,R_gm2y,S_gm2y,Out_gm2y,PipeProc_gm2y,dStorage_gm2y,Budget_left_gm2y,Budget_right_gm2y
Harp,40.0455112,31.96965406,-26.04216279,-26.60061202,-18.28871697,0.558449226,26.76515927,72.01516526,97.69665106
Monona,64.78562765,54.09392653,-17.14470411,-43.13445486,-59.62246245,25.98975075,-53.51178877,118.8795542,66.38983265
Toolik,76.06361967,11.26849435,-24.60494654,-5.712247357,-55.68329249,-18.89269918,27.45692341,87.33211402,113.4574098
Trout,15.64684716,28.04605317,-33.03534868,-7.455623191,-3.962130705,-25.57972549,-9.536749501,43.69290033,34.91635308
Vanern,31.95064271,26.07640076,-25.1018981,-19.95616992,-12.17949217,-5.145728178,-23.26320308,58.02704348,33.97435711
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Prop of total load,,,,,,,,,
,Alloch,Autoch,Total,Resp,Burial,Export,,,
Harp,0.556070531,0.443929469,,-0.361620538,-0.369375144,-0.253956467,,,
Monona,0.544968629,0.455031371,,-0.144219115,-0.362841661,-0.501536726,,,
Toolik,0.870969637,0.129030363,,-0.281739963,-0.065408326,-0.637603854,,,
Trout,0.358109602,0.641890398,,-0.756080471,-0.170636949,-0.090681339,,,
Vanern,0.550616416,0.449383584,,-0.432589644,-0.343911541,-0.209893378,,,
