sampledate,depth,water_temp,secchi_depth,air_temp,wind_speed,chlora,sediment,ph,alk,dic,tic,doc,toc,TP_filtered,TP_unfiltered
5/21/2004,0,10.44,,,,,,,,,,,,,
5/22/2004,0,10.42,,,,,,,,,,,,,
5/23/2004,0,10.06,,,,,,,,,,,,,
5/24/2004,0,9.93,,,,,,,,,,,,,
5/25/2004,0,9.99,,,,,,,,,,,,,
5/26/2004,0,10.51,3.7,22,6,5.9,,8.26,,10.77,10.99,2.87,2.87,1,10
5/27/2004,0,10.44,,,,,,,,,,,,,
5/28/2004,0,11.32,,,,,,,,,,,,,
5/29/2004,0,11.13,,,,,,,,,,,,,
5/30/2004,0,10.85,,,,,,,,,,,,,
5/31/2004,0,10.94,,,,,,,,,,,,,
6/1/2004,0,11.24,,,,,,,,,,,,,
6/2/2004,0,11.51,,,,,,,,,,,,,
6/3/2004,0,12.83,,,,,,,,,,,,,
6/4/2004,0,15.36,,,,,,,,,,,,,
6/5/2004,0,13.58,,,,,,,,,,,,,
6/6/2004,0,16.79,,,,,,,,,,,,,
6/7/2004,0,14.81,,,,,,,,,,,,,
6/8/2004,0,16.35,,,,,,,,,,,,,
6/9/2004,0,15.09,,,,,539.57,,,,,,,,
6/10/2004,0,15.53,5.7,19,8,1.6,,,,,,,,,
6/11/2004,0,15.27,,,,,,,,,,,,,
6/12/2004,0,16.1,,,,,,,,,,,,,
6/13/2004,0,16.71,,,,,,,,,,,,,
6/14/2004,0,16.79,,,,,,,,,,,,,
6/15/2004,0,17.21,,,,,,,,,,,,,
6/16/2004,0,17.92,,,,,,,,,,,,,
6/17/2004,0,18.3,,,,,,,,,,,,,
6/18/2004,0,17.42,,,,,,,,,,,,,
6/19/2004,0,17.58,,,,,,,,,,,,,
6/20/2004,0,17.54,,,,,,,,,,,,,
6/21/2004,0,17.54,,,,,,,,,,,,,
6/22/2004,0,17.39,,,,,,,,,,,,,
6/23/2004,0,17.36,4.5,21,6,0,,8.26,,10.72,10.8,2.98,3.25,2,6
6/24/2004,0,16.52,,,,,,,,,,,,,
6/25/2004,0,16.3,,,,,,,,,,,,,
6/26/2004,0,16.35,,,,,,,,,,,,,
