site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
NORTH CREEK,5357230,7050002,8/12/1991,13:00:00,CDT,GRAB,,,,11,1.7,,,,,80,,0.7,,10,0.64,,,,,37.4,,,0.7,2.4,,,,,1.3,0.06,0.06,0.077,0.077,,,,,,,,,,7,,,,0.09,12,4.3,7,,,,,0.4,8.6,0.54,0.02,,,
STEVENSON CREEK,5357225,7050002,8/12/1991,12:35:00,CDT,GRAB,,,,11,0.7,,,,,90,,0.5,,7.6,0.49,,,,,39.4,,,0.3,2.9,,,,,1.6,0.01,0.01,0.013,0.013,,,,,,,,,,7.4,,,,0.11,13,0.4,8,,,,,0.4,7.5,0.49,,,,
TROUT RIVER,5357245,7050002,8/12/1991,13:25:00,CDT,GRAB,,,,12,2.9,,,,,96,,0.3,,3.1,,,,,,41.9,,,0.7,2.9,,,,,1.7,,,,,,,,,,,,,,7.9,,,,0.11,7.1,2.9,8,,,,,0.3,3.1,,,,,
ALLEQUASH CREEK,5357215,7050002,8/16/1991,23:30:00,CDT,GRAB,,,,12,0.7,,,,,89,,0.6,,5.9,0.55,,,,,41.9,,,0.5,2.9,,0.56,,2.5,1.6,0.05,0.05,0.064,0.064,,,,,0.06,,,,,7.4,,,,0.11,12,2.9,8,,,,,0.5,6.3,0.45,0.02,,,
NORTH CREEK,5357230,7050002,8/16/1991,23:58:00,CDT,GRAB,,,,12,2,,,,,81,,0.5,,12,0.46,0.01,,,,40.3,,,0.9,2.5,,,,,1.4,0.04,0.03,0.039,0.052,,,,,,,,,,7.1,,,,0.1,11,3.3,7,,,,,0.5,12,0.47,0.02,,,
STEVENSON CREEK,5357225,7050002,8/16/1991,23:45:00,CDT,GRAB,,,,13,1.4,,,,,97,,0.4,,8.9,0.37,,0.1,,,46.1,,,1,3.3,,,,,1.6,0.03,0.02,0.026,0.039,,,,,,,,,,7.2,,,,0.1,15,0.8,7,,,,,0.5,8.9,0.68,0.01,,,
TROUT RIVER,5357245,7050002,8/17/1991,0:35:00,CDT,GRAB,,,,12,1.8,,,,,93,,0.2,,3.1,0.48,,,,,41.1,,,0.7,2.7,,,,,1.8,0.02,0.01,0.013,0.026,,,,,,,,,,7.9,,,,0.12,7.4,3.2,9,,,,,0.3,3.1,0.29,,,,
ALLEQUASH CREEK,5357215,7050002,9/11/1991,13:45:00,CDT,GRAB,,,,12,1.8,,,,,89,,0.5,,6.2,0.46,,,,,43.1,,,,3.2,,0.78,0.58,,1.6,0.04,0.03,0.039,0.052,,,,,,0.08,,,,7.6,,,,0.11,13,2.6,,,,,,0.7,5,0.67,0.02,,,
NORTH CREEK,5357230,7050002,9/11/1991,14:25:00,CDT,GRAB,,,,9.5,2.2,,,,,72,,0.5,,10,0.43,,,,,33.2,,,0.4,2.3,,,,,1.3,0.07,0.05,0.064,0.09,,,,,,,,,,7.2,,,,0.1,11,4.2,8,,,,,0.5,9.6,0.45,,,,
STEVENSON CREEK,5357225,7050002,9/11/1991,14:05:00,CDT,GRAB,,,,11,0.4,,,,,85,,0.5,,7.7,0.48,,,,,40.2,,,,3.1,,,,,1.6,0.02,0.02,0.026,0.026,,,,,,,,,,7.2,,,,0.11,15,0.9,,,,,,0.4,7.3,0.38,,,,
TROUT RIVER,5357245,7050002,9/11/1991,15:15:00,CDT,GRAB,,,,12,2.4,,,,,94,,0.3,,3.2,0.29,,,,,42.7,,,0.6,3.1,,,,,1.8,0.01,0.01,0.013,0.013,,,,,,,,,,8.1,,,,0.12,7.2,3.1,8,,,,,0.2,3.2,0.29,,,,
STEVENSON CREEK,5357225,7050002,10/15/1991,13:50:00,CDT,GRAB,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/15/1991,12:25:00,CDT,GRAB,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,10/15/1991,14:40:00,CDT,GRAB,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,10/15/1991,17:00:00,CDT,GRAB,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,10/21/1991,14:45:00,CDT,GRAB,,46,,12,1.1,,,,,96,,,,5.2,,0.01,0.2,,,42.7,,,0.7,3.1,,,,,1.8,0.04,,,0.052,,,,,,,,,,7.6,,,,0.12,14,3,8,,64,,0.09,,5.2,,,,,
NORTH CREEK,5357230,7050002,10/21/1991,16:15:00,CDT,GRAB,,30,,10,1.9,,,,,75,,,,8.9,,0.02,0.2,,,34.9,,,0.8,2.4,,,,,1.4,0.07,,,0.09,,,,,,,,,,7.1,,,,0.1,12,4.7,8,,51,,0.07,,8.9,,,,,
STEVENSON CREEK,5357225,7050002,10/21/1991,15:45:00,CDT,GRAB,,44,,11,0.5,,,,,88,,,,4,,0.01,0.2,,,40.6,,,0.8,3.2,,,,,1.9,0.03,,,0.039,,,,,,,,,,7.4,,,,0.13,11,2.2,9,,57,,0.08,,4.2,,,,,
TROUT RIVER,5357245,7050002,10/21/1991,17:10:00,CDT,GRAB,,45,,12,1.7,,,,,97,,,,2.9,,,0.2,,,42.7,,,0.7,3.1,,,,,1.9,0.03,,,0.039,,,,,,,,,,7.8,,,,0.13,8.1,3.1,9,,58,,0.08,,3.3,,,,,
STEVENSON CREEK,5357225,7050002,11/20/1991,13:25:00,CST,GRAB,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,11/20/1991,12:45:00,CST,GRAB,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,11/20/1991,14:15:00,CST,GRAB,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,11/20/1991,16:15:00,CST,GRAB,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
