site_name,usgs_site_id,hu,sampledate,sample_time,time_zone,sampling_method,anc,anc_1,c13_c12_ratio,ca,cl,co2,co3,color,conductance_field,conductance_lab,dic,dkn,do,doc,don,dp,f,fe,h_ion,h20_hardness,h20_hardness_2,hco3,k,mg,mn,n_mixed,n_mixed_1,n_mixed_2,na,nh3_nh4,nh3_nh4_1,nh3_nh4_2,nh3_nh4_3,no2,no2_2,no3,no3_2,no32,no32_2,o18_o16_ratio,o2sat,ph_field,ph_lab,po4,po4_2,s,sar,si,so4,spc,sr,tds,tds_1,tds_2,tkn,toc,ton,tp,tp_2,tpc,tpn
ALLEQUASH CREEK,5357215,7050002,7/14/1994,9:00:00,CDT,GRAB,910,,,11,,2.7,,,,,,,,,,,,110,0.00003,41.5,,,,3.4,20,,,,1.77,,,,,,,,,,,-7.24,,7.5,,,,1070,0.12,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/31/1994,13:18:00,CDT,GRAB,1000,,,13.3,,5.4,,,,,,,,,,,,310,0.00006,48.3,,,,3.66,,,,,1.69,,,,,,,,,,,,,7.3,,,,730,0.11,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/31/1994,14:55:00,CDT,GRAB,840,,,10.8,,2.5,,,,,,,,,,,,150,0.00003,40.2,,,,3.22,,,,,1.5,,,,,,,,,,,,,7.5,,,,940,0.1,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/31/1994,12:59:00,CDT,GRAB,820,,,12.5,,1.9,,,,,,,,,,,,60,0.00002,43.4,,,,2.95,,,,,1.7,,,,,,,,,,,,,7.6,,,,1900,0.11,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,7/31/1994,15:29:00,CDT,GRAB,870,,,12,,0.4,,,,,,,,,,,,,,43.1,,,,3.19,,,,,2.08,,,,,,,,,,,,,8.3,,,,1010,0.14,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,8/17/1994,13:30:00,CDT,GRAB,850,,,11.7,,2.6,,,,,11.1,,,5.1,,,,120,0.00003,43.1,,,,3.38,20,0.42,,,1.78,0.048,,,0.062,,,,,,0.016,,,7.5,,0.009,0.003,1000,0.12,,,,,,,,0.4,,0.35,0.014,,,
ALLEQUASH CREEK,5357215,7050002,9/9/1994,11:30:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,0.016,,,,,0.012,0.004,,,,,,,,,,0.5,,,0.015,,,
ALLEQUASH CREEK,5357215,7050002,9/9/1994,14:31:00,CDT,GRAB,900,,,11.3,,0.5,,,,,11.4,,,4.9,,,,70,0.00001,40.5,,,,2.99,,,,,1.71,,,,,,,,,,,,,8.3,,,,870,0.12,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,9/9/1994,10:30:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,0.071,,,,,,,,,,,0.006,0.002,,,,,,,,,,0.3,,0.24,0.012,,,
NORTH CREEK,5357230,7050002,9/9/1994,12:35:00,CDT,GRAB,810,,,12.3,,0.8,,,,,10.7,,,2.8,,,,40,0.00001,42,,,0.73,2.74,,,,,1.27,,,,,,,,,,,,,8,,,,2070,0.09,,,6,,,,,,,,,,,
NORTH CREEK,5357230,7050002,9/9/1994,9:00:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,
STEVENSON CREEK,5357225,7050002,9/9/1994,13:09:00,CDT,GRAB,1030,,,13,,3.7,,,,,14.3,,,5.5,,,,200,0.00004,46.8,,,,3.48,,,,,1.43,,,,,,,,,,,,,7.4,,,,710,0.09,,,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,9/9/1994,13:53:00,CDT,GRAB,850,,,11.3,,2.1,,,,,11.1,,,3,,,,,0.00003,40,,,0.56,2.87,,,,,1.51,,,,,,,,,,,,,7.6,,,,1050,0.1,,,7,,,,,,,,,,,
TROUT RIVER,5357245,7050002,9/9/1994,14:45:00,CDT,GRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,
ALLEQUASH CREEK,5357215,7050002,10/27/1994,13:00:00,CDT,GRAB,820,,,,,2.7,,,,,10.8,,,5.1,,,,,0.00003,,,,,,,0.66,,,,0.078,,,0.1,,,,,,0.057,,,7.5,,0.006,0.002,,,,,,,,,,0.6,,0.52,0.013,,,
ALLEQUASH CREEK,5357215,7050002,11/9/1994,13:30:00,CST,GRAB,890,,,11.1,,1.9,,,,,11.4,,,4.7,,14,,80,0.00002,39.7,,,0.59,2.9,,,,,1.63,45,,,58,,,53,,,,,,7.7,,,,940,0.11,,,8,,,,,,,,,,,
NORTH CREEK,5357230,7050002,11/9/1994,12:20:00,CST,GRAB,,,,11.3,,,,,,,10.3,,,3.9,,,,100,0.00005,38.6,,,0.8,2.52,,,,,1.4,,,,,,,,,,,,,7.3,,,,1880,0.1,,,7,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,11/9/1994,13:10:00,CST,GRAB,900,,,10.7,,3.2,,,,,12.2,,,4.1,,,,150,0.00004,38.8,,,0.73,2.93,10,,,,1.58,,,,,,,,,,,,,7.4,,,,920,0.11,,,8,,,,,,,,,,,
TROUT RIVER,5357245,7050002,11/9/1994,14:10:00,CST,GRAB,850,,,11,,1.8,,,,,11.4,,,3.1,,,,,0.00002,38.9,,,0.56,2.77,,,,,1.78,,,,,,,,,,,,,7.7,,,,990,0.12,,,9,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/17/1995,12:07:00,CST,GRAB,974,,,10.3,,7.2,,,,,11.2,,,2.9,,16,,260,0.00008,36.6,,,,2.64,30,,,,1.67,120,,,155,,,116,,,,,,7.1,,,,1290,0.12,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/17/1995,11:00:00,CST,GRAB,882,,,11.2,,7.2,,,,,9.8,,,5.4,,14,,90,0.00008,38.3,,,0.94,2.52,10,,,,1.58,,,,,,,,,,,,,7.1,,,,2150,0.11,,,8,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/17/1995,11:44:00,CST,GRAB,1240,,,9.46,,12,,,,,10.8,,,3.8,,17,,340,0.0001,33.3,,,0.85,2.35,50,,,,1.47,133,,,171,,,59,,,,,,7,,,,910,0.11,,,9,,,,,,,,,,,
TROUT RIVER,5357245,7050002,3/17/1995,12:40:00,CST,GRAB,152,,,11.3,,0.5,,,,,11.1,,,2.7,,9,,20,0.00003,40.2,,,,2.9,,,,,1.88,,,,,,,64,,,,,,7.5,,,,1160,0.13,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/7/1995,11:30:00,CDT,GRAB,901,,,10.6,,11,,,74.1,,11.4,,,4.9,,19,,310,0.00012,37.8,,,0.53,2.74,50,,,,1.39,,,,,,,23,,,,,,6.9,,,,1020,0.1,,,7,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/7/1995,10:35:00,CDT,GRAB,749,,,10,,13,,,59.2,,9.9,,,6.8,,14,,210,0.00018,33.3,,,0.91,2.03,10,,,,1.18,,,,,,,,,,,,,6.8,,,,1470,0.09,,,7,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/7/1995,11:10:00,CDT,GRAB,1000,,,11,,20,,,66.8,,13.2,,,5.9,,14,,640,0.0002,38.8,,,0.62,2.76,60,,,,1.34,,,,,,,,,,,,,6.7,,,,690,0.09,,,7,,,,,,,,,,,
TROUT RIVER,5357245,7050002,6/7/1995,12:20:00,CDT,GRAB,943,,,10.9,,4.2,,,76.1,,11.1,,,3.1,,,,40,0.00005,37.9,,,0.75,2.59,,,,,1.6,,,,,,,,,,,,,7.3,,,,980,0.11,,,8,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/28/1995,11:00:00,CDT,GRAB,875,,,9.58,,3.9,,,81.9,,10.9,,,5.6,,15,,140,0.00005,34.4,,,,2.54,,,,,1.18,,,,,,,11,,,,,,7.3,,,,1010,0.09,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/28/1995,9:20:00,CDT,GRAB,822,,,10.9,,12,,,88.4,,10.7,,,6.3,,14,,130,0.00016,36.5,,,0.83,2.25,,,,,1.2,,,,,,,,,,,,,6.8,,,,1710,0.09,,,7,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/28/1995,10:00:00,CDT,GRAB,1070,,,12,,20,,,95.8,,14.7,,,8.2,,12,,360,0.00019,42.4,,,0.49,3.03,10,,,,1.3,,,,,,,,,,,,,6.7,,,,720,0.09,,,6,,,,,,,,,,,
TROUT RIVER,5357245,7050002,7/28/1995,12:00:00,CDT,GRAB,949,,,10.9,,1.4,,,95,,11.6,,,3.8,,,,70,0.00001,37.8,,,0.65,2.56,,,,,1.52,,,,,,,,,,,,,7.8,,,,980,0.11,,,8,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,11/7/1995,15:44:00,CST,GRAB,890,,,10.8,0.8,3.7,,,72.1,,11.1,,,5.1,,8,,100,0.00004,39,,,0.72,2.93,,,,,1.67,13,,,16.7,,,,,,,,,7.4,,4,,800,0.12,,3.5,8,,,,,,,,,,,
NORTH CREEK,5357230,7050002,11/7/1995,14:44:00,CST,GRAB,660,,,9.74,1.8,8.7,,,75.3,,8.4,,,8.4,,6,,130,0.00014,33.9,,,0.75,2.32,,,,,1.29,30,,,38.6,,,17,,,,,,6.9,,2,,1470,0.1,,5.3,7,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,11/7/1995,15:14:00,CST,GRAB,790,,,9.16,0.8,6.6,,,76.6,,13,,,5.9,,,,170,0.00009,33.7,,,0.9,2.64,20,,,,1.6,,,,,,,,,,,,,7.1,,,,630,0.12,,4.4,9,,,,,,,,,,,
TROUT RIVER,5357245,7050002,11/7/1995,16:42:00,CST,GRAB,870,,,11.3,1.9,3,,,93.2,,11.3,,,3,,,,20,0.00004,40.2,,,0.75,2.92,,,,,1.82,,,,,,,24,,,,,,7.5,,2,,710,0.12,,3.3,9,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/7/1996,12:31:00,CST,GRAB,1010,,,11.1,1.1,6.8,,,104,,14.2,,,3.9,,5,,260,0.00007,39.9,,,0.66,2.95,40,,,,1.63,190,,,245,,,71,,,,,,7.2,,4,,1400,0.11,,4.3,8,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/7/1996,10:20:00,CST,GRAB,770,,,10.1,2.5,26,,,89.9,,11.2,,,11.1,,20,,170,0.00034,35.6,,,0.85,2.51,,,,,1.44,38,,,48.9,,,22,,,,,,6.5,,10,,2110,0.11,,6.8,8,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/7/1996,12:08:00,CST,GRAB,1190,,,12.6,0.6,12,,,112,,14.5,,,7.7,,,,700,0.0001,45.4,,,0.85,3.38,260,,,,1.57,,,,,,,,,,,,,7,,,,970,0.1,,2.8,7,,,,,,,,,,,
TROUT RIVER,5357245,7050002,3/7/1996,12:58:00,CST,GRAB,980,,,12.1,2.1,1.7,,,108,,12.9,,,3.5,,,,20,0.00002,42.9,,,0.67,3.09,,,,,1.84,13,,,16.7,,,68,,,,,,7.8,,2,,1250,0.12,,3.6,8,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/21/1996,14:45:00,CST,GRAB,980,,,,,3.7,,,,,13.4,,,3.8,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/21/1996,14:09:00,CST,GRAB,710,,,,,2,,,,,11.4,,,5,,,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/21/1996,14:49:00,CST,GRAB,1120,,,,,6.4,,,,,15.7,,,4.2,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,3/29/1996,12:39:00,CST,GRAB,1000,,,,,7.8,,,,,13.6,,,3.5,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,3/29/1996,12:07:00,CST,GRAB,820,,,,,5.8,,,,,11.2,,,6.5,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,3/29/1996,12:18:00,CST,GRAB,1160,,,,,18,,,,,17.1,,,4.3,,,,,0.00016,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,4/4/1996,13:30:00,CST,GRAB,710,,,,,3.4,,,,,14,,,4.8,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/4/1996,12:47:00,CST,GRAB,500,,,,,2.4,,,,,9.5,,,9.6,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/4/1996,13:13:00,CST,GRAB,820,,,,,6.5,,,,,15.5,,,10,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,4/18/1996,15:15:00,CDT,GRAB,910,,,,,9.8,,,,,12,,,4.6,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/18/1996,14:24:00,CDT,GRAB,579,,,,,3.7,,,,,7.7,,,11.3,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/18/1996,14:35:00,CDT,GRAB,900,,,,,11,,,,,11.8,,,4.6,,,,,0.00013,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,4/26/1996,14:05:00,CDT,GRAB,656,,,,,8.3,,,,,8.7,,,4.2,,,,,0.00013,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,4/26/1996,14:30:00,CDT,GRAB,297,,,,,6.4,,,,,5.7,,,12.8,,,,,0.00022,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,4/26/1996,14:20:00,CDT,GRAB,483,,,,,8,,,,,6.7,,,5.9,,,,,0.00017,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/2/1996,13:13:00,CDT,GRAB,,,,,,,,,,,8.9,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/2/1996,12:00:00,CDT,GRAB,,,,,,,,,,,8.2,,,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/2/1996,12:45:00,CDT,GRAB,,,,,,,,,,,7.8,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/9/1996,14:55:00,CDT,GRAB,494,,,,,2.7,,,,,7.5,,,4.5,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/9/1996,14:22:00,CDT,GRAB,452,,,,,7.2,,,,,7.9,,,15,,,,,0.00016,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/9/1996,14:35:00,CDT,GRAB,477,,,,,6.9,,,,,7.4,,,4.9,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/19/1996,17:10:00,CDT,GRAB,642,,,,,4,,,,,8.4,,,5.1,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/19/1996,16:30:00,CDT,GRAB,406,,,,,4,,,,,6.3,,,11.6,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/19/1996,16:45:00,CDT,GRAB,459,,,,,5.5,,,,,7.8,,,8.6,,,,,0.00012,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/21/1996,9:49:00,CDT,GRAB,591,,,,,1.6,,,,,9,,,5.2,,,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/21/1996,10:14:00,CDT,GRAB,630,,,,,6.9,,,,,5.7,,,22.4,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/21/1996,10:29:00,CDT,GRAB,472,,,,,4.4,,,,,9.2,,,7.8,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/27/1996,10:56:00,CDT,GRAB,,,-14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,5/29/1996,16:40:00,CDT,GRAB,742,,,9.49,0.7,1.4,,,,,9.3,,,5.6,,17,,200,0.00002,34.1,,,,2.52,,,,,1.46,49,,,63.1,,,20,,,,,,7.7,,12,,1130,0.11,,4.3,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,5/29/1996,15:40:00,CDT,GRAB,,,,10.3,1.9,,,,,,7.8,,,7.7,,21,,110,0.00003,35.2,,,,2.31,,,,,1.32,38,,,48.9,,,10,,,,,,7.5,,3,,1910,0.1,,6.1,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,5/29/1996,16:10:00,CDT,GRAB,,,,9.82,0.8,,,,,,10.9,,,5.3,,,,270,0.00006,35.4,,,,2.65,,,,,1.49,,,,,,,,,,,,,7.2,,,,850,0.11,,3.3,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,5/29/1996,15:11:00,CDT,GRAB,,,,10.9,2.2,,,,,,11,,,4.8,,,,40,0.00001,38.7,,,,2.79,,,,,1.81,,,,,,,,,,,,,7.9,,,,970,0.13,,3.6,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/5/1996,9:30:00,CDT,GRAB,705,,,,,2.3,,,,,10.5,,,5.8,,,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/5/1996,9:01:00,CDT,GRAB,626,,,,,5.1,,,,,9.6,,,9.9,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/5/1996,9:15:00,CDT,GRAB,760,,,,,5.4,,,,,11.2,,,6.3,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/14/1996,16:40:00,CDT,GRAB,742,,,,,2.2,,,,,11.1,,,6.8,,,,,0.00003,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/14/1996,16:00:00,CDT,GRAB,619,,,,,2.4,,,,,10,,,9.7,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/14/1996,16:15:00,CDT,GRAB,838,,,,,4.8,,,,,12,,,8.2,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/21/1996,13:15:00,CDT,GRAB,785,,,,,3.5,,,,,11.5,,,5.6,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/21/1996,14:00:00,CDT,GRAB,657,,,,,2.9,,,,,10,,,9.1,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/21/1996,13:40:00,CDT,GRAB,853,,,,,6.5,,,,,11,,,14.7,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,6/27/1996,11:10:00,CDT,GRAB,,,,,,,,,,,10.9,,,6.3,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,6/27/1996,10:30:00,CDT,GRAB,,,,,,,,,,,8.8,,,28.7,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,6/27/1996,10:45:00,CDT,GRAB,,,,,,,,,,,11.1,,,12.3,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/5/1996,16:55:00,CDT,GRAB,560,,,,,2.9,,,,,11.2,,,10.9,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/5/1996,16:25:00,CDT,GRAB,755,,,,,5.1,,,,,8.9,,,18.8,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/5/1996,16:40:00,CDT,GRAB,879,,,,,6.7,,,,,12.6,,,11.4,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/10/1996,14:19:00,CDT,GRAB,745,,,,,3.9,,,,,10.9,,,6.6,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/10/1996,9:40:00,CDT,GRAB,631,,,,,7.6,,,,,9.8,,,14.4,,,,,0.00012,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/10/1996,10:00:00,CDT,GRAB,883,,,,,6.2,,,,,12.9,,,12,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/20/1996,17:15:00,CDT,GRAB,,,,,,,,,,,10.2,,,5.7,,,,,0.00004,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/20/1996,17:46:00,CDT,GRAB,,,,,,,,,,,7.3,,,22.4,,,,,0.00014,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/20/1996,17:27:00,CDT,GRAB,,,,,,,,,,,11,,,7.8,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/24/1996,8:34:00,CDT,GRAB,,,,,,,,,,,10.8,,,6.9,,,,,0.00005,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/24/1996,8:58:00,CDT,GRAB,,,,,,,,,,,9.1,,,27.6,,,,,0.00009,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/24/1996,9:15:00,CDT,GRAB,,,,,,,,,,,12.4,,,7.1,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,7/29/1996,12:36:00,CDT,GRAB,,,,10.4,0.7,,,,,,10.7,,,5,,16,,140,0.00006,37.1,,,,2.71,,,,,1.34,51,,,65.7,,,20,,,,,,7.2,,12,,910,0.1,,2.8,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,7/29/1996,11:09:00,CDT,GRAB,,,,8.06,1.7,,,,,,7.4,,,19.7,,17,,280,0.0002,27.6,,,,1.81,,,,,1.14,68,,,87.6,,,10,,,,,,6.7,,2,,1370,0.09,,4.1,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,7/29/1996,12:15:00,CDT,GRAB,,,,10,0.4,,,,,,11,,,7.6,,,,400,0.0001,35.8,,,,2.64,,,,,1.31,,,,,,,,,,,,,7,,,,730,0.1,,2.3,,,,,,,,,,,,
TROUT RIVER,5357245,7050002,7/29/1996,13:00:00,CDT,GRAB,,,,11.2,1.9,,,,,,10.6,,,3.1,,,,80,0.00008,39.6,,,,2.83,,,,,1.73,,,,,,,,,,,,,7.1,,,,1010,0.12,,3.2,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,8/7/1996,9:40:00,CDT,GRAB,765,,,,,4.9,,,,,10.6,,,6.3,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,8/7/1996,9:59:00,CDT,GRAB,528,,,,,7.5,,,,,8.8,,,16.3,,,,,0.00015,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,8/7/1996,10:19:00,CDT,GRAB,804,,,,,8.4,,,,,12.2,,,9.1,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,8/14/1996,10:17:00,CDT,GRAB,520,,,,,3.2,,,,,11.1,,,6.3,,,,,0.00006,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,8/14/1996,10:39:00,CDT,GRAB,620,,,,,6.8,,,,,8.9,,,20.5,,,,,0.00011,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,8/14/1996,10:59:00,CDT,GRAB,906,,,,,6.9,,,,,11.9,,,8.9,,,,,0.00008,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,
ALLEQUASH CREEK,5357215,7050002,8/20/1996,11:33:00,CDT,GRAB,794,,,,,5,,,,,9.4,,,6.2,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
NORTH CREEK,5357230,7050002,8/20/1996,11:49:00,CDT,GRAB,620,,,,,8.4,,,,,7.8,,,16.4,,,,,0.00014,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,
STEVENSON CREEK,5357225,7050002,8/20/1996,12:07:00,CDT,GRAB,906,,,,,6.3,,,,,10.3,,,6.7,,,,,0.00007,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,
