Gauge,DateTime,TZ,Q_Mann
5357239,2/27/2014 11:20,CST,1.47
5357239,3/26/2014 11:17,CDT,1.67
5357239,4/23/2014 10:11,CDT,5.37
5357239,5/20/2014 10:57,CDT,10.2
5357239,6/18/2014 10:26,CDT,7.13
5357239,7/17/2014 11:15,CDT,3.1
5357239,8/19/2014 10:17,CDT,1.13
5357239,9/24/2014 10:35,CDT,2.94
5357239,10/23/2014 15:04,CDT,1.61
5357239,11/18/2014 13:08,CST,4.32
5357239,12/17/2014 11:05,CST,4
5357239,1/13/2015 10:17,CST,2.87
5357239,2/18/2015 11:17,CST,2.22
5357239,3/17/2015 12:56,CDT,4.55
5357239,4/15/2015 9:48,CDT,5.48
5357239,5/14/2015 14:36,CDT,3.03
5357239,6/17/2015 8:58,CDT,3.74
5357239,7/14/2015 15:25,CDT,3.85
5357239,8/12/2015 9:03,CDT,3.08
