sampledate,depth,rep,sta,event,ph,phair,alk,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh,drsif_sloh
6/23/2004,5,1,2,Chem,,,,,,,,,,,,
6/23/2004,6,1,2,Chem,,,,,,,,,,,,
6/23/2004,7,1,2,Chem,,,,,,,,,,,,
6/23/2004,8,1,2,Chem,8.21,8.05,,10.72,10.91,3.06,2.93,4,7,,,
6/23/2004,9,1,2,Chem,,,,,,,,,,,,
6/23/2004,10,1,2,Chem,8.31,8.02,,10.78,10.87,2.95,2.89,2,6,,,
6/23/2004,11,1,2,Chem,,,,,,,,,,,,
6/23/2004,12,1,2,Chem,,,,,,,,,,,,
6/23/2004,13,1,2,Chem,,,,,,,,,,,,
6/23/2004,14,1,2,Chem,,,,,,,,,,,,
6/23/2004,15,1,2,Chem,7.61,8.06,,11.23,11.44,2.73,2.66,4,11,,,
6/23/2004,16,1,2,Chem,,,,,,,,,,,,
6/23/2004,17,1,2,Chem,,,,,,,,,,,,
6/23/2004,18,1,2,Chem,,,,,,,,,,,,
6/23/2004,19,1,2,Chem,,,,,,,,,,,,
6/23/2004,20,1,2,Chem,7.35,8.06,,11.42,11.61,2.74,2.62,5,10,,,
6/23/2004,21,1,2,Chem,,,,,,,,,,,,
6/23/2004,22,1,2,Chem,,,,,,,,,,,,
6/23/2004,23,1,2,Chem,,,,,,,,,,,,
6/23/2004,24,1,2,Chem,,,,,,,,,,,,
6/23/2004,25,1,2,Chem,,,,,,,,,,,,
6/23/2004,26,1,2,Chem,,,,,,,,,,,,
6/23/2004,27,1,2,Chem,,,,,,,,,,,,
6/23/2004,28,1,2,Chem,,,,,,,,,,,,
6/23/2004,29,1,2,Chem,,,,,,,,,,,,
6/23/2004,30,1,2,Chem,,,,,,,,,,,,
6/23/2004,31,1,2,Chem,,,,,,,,,,,,
6/23/2004,32,1,2,Chem,7.05,8.05,,12.4,12.32,2.66,2.55,5,21,,,
7/20/2004,0,1,2,Chem,8.23,8.09,,10.94,11.1,3.27,3.3,0,4,,,
7/20/2004,1,1,2,Chem,,,,,,,,,,,,
7/20/2004,2,1,2,Chem,,,,,,,,,,,,
7/20/2004,3,1,2,Chem,8.15,8.12,,11.02,11.05,3.28,3.11,1,5,,,
7/20/2004,4,1,2,Chem,,,,,,,,,,,,
7/20/2004,5,1,2,Chem,,,,,,,,,,,,
7/20/2004,6,1,2,Chem,,,,,,,,,,,,
7/20/2004,7,1,2,Chem,,,,,,,,,,,,
7/20/2004,8,1,2,Chem,,,,,,,,,,,,
7/20/2004,9,1,2,Chem,,,,,,,,,,,,
7/20/2004,10,1,2,Chem,7.93,8.12,,11.08,11.17,3.06,2.79,1,8,,,
7/20/2004,11,1,2,Chem,,,,,,,,,,,,
7/20/2004,12,1,2,Chem,,,,,,,,,,,,
7/20/2004,13,1,2,Chem,,,,,,,,,,,,
7/20/2004,14,1,2,Chem,,,,,,,,,,,,
7/20/2004,15,1,2,Chem,7.43,8.11,,11.41,11.57,2.65,2.62,1,9,,,
7/20/2004,16,1,2,Chem,,,,,,,,,,,,
7/20/2004,17,1,2,Chem,,,,,,,,,,,,
7/20/2004,18,1,2,Chem,,,,,,,,,,,,
7/20/2004,19,1,2,Chem,,,,,,,,,,,,
7/20/2004,20,1,2,Chem,,,,,,,,,,,,
7/20/2004,21,1,2,Chem,,,,,,,,,,,,
7/20/2004,22,1,2,Chem,,,,,,,,,,,,
7/20/2004,23,1,2,Chem,,,,,,,,,,,,
7/20/2004,24,1,2,Chem,,,,,,,,,,,,
7/20/2004,25,1,2,Chem,,,,,,,,,,,,
7/20/2004,26,1,2,Chem,,,,,,,,,,,,
7/20/2004,27,1,2,Chem,6.98,8.09,,13.02,12.84,2.55,2.51,5,10,,,
7/20/2004,28,1,2,Chem,,,,,,,,,,,,
7/20/2004,29,1,2,Chem,,,,,,,,,,,,
7/20/2004,30,1,2,Chem,,,,,,,,,,,,
7/20/2004,31,1,2,Chem,,,,,,,,,,,,
7/20/2004,32,1,2,Chem,6.86,8.11,,12.24,12.1,2.48,2.52,8,41,,,
9/21/2004,0,1,2,Chem,7.98,8,,10.81,10.81,2.97,2.94,4,6,,,
9/21/2004,1,1,2,Chem,,,,,,,,,,,,
9/21/2004,2,1,2,Chem,,,,,,,,,,,,
9/21/2004,3,1,2,Chem,,,,,,,,,,,,
9/21/2004,4,1,2,Chem,,,,,,,,,,,,
9/21/2004,5,1,2,Chem,,,,,,,,,,,,
9/21/2004,6,1,2,Chem,,,,,,,,,,,,
9/21/2004,7,1,2,Chem,,,,,,,,,,,,
9/21/2004,8,1,2,Chem,,,,,,,,,,,,
9/21/2004,9,1,2,Chem,,,,,,,,,,,,
9/21/2004,10,1,2,Chem,7.98,8.08,,10.95,10.92,3.02,2.85,4,7,,,
9/21/2004,11,1,2,Chem,,,,,,,,,,,,
9/21/2004,12,1,2,Chem,,,,,,,,,,,,
9/21/2004,13,1,2,Chem,,,,,,,,,,,,
9/21/2004,14,1,2,Chem,,,,,,,,,,,,
9/21/2004,15,1,2,Chem,7.2,8.03,,11.66,11.69,2.63,2.46,4,13,,,
9/21/2004,16,1,2,Chem,,,,,,,,,,,,
9/21/2004,17,1,2,Chem,,,,,,,,,,,,
9/21/2004,18,1,2,Chem,,,,,,,,,,,,
9/21/2004,19,1,2,Chem,,,,,,,,,,,,
9/21/2004,20,1,2,Chem,6.95,8.07,,12.33,12.46,2.39,2.33,4,8,,,
9/21/2004,21,1,2,Chem,,,,,,,,,,,,
9/21/2004,22,1,2,Chem,,,,,,,,,,,,
9/21/2004,23,1,2,Chem,,,,,,,,,,,,
9/21/2004,24,1,2,Chem,,,,,,,,,,,,
9/21/2004,25,1,2,Chem,,,,,,,,,,,,
9/21/2004,26,1,2,Chem,,,,,,,,,,,,
9/21/2004,27,1,2,Chem,6.87,8.02,,12.63,12.74,2.26,2.25,4,7,,,
9/21/2004,28,1,2,Chem,,,,,,,,,,,,
9/21/2004,29,1,2,Chem,,,,,,,,,,,,
9/21/2004,30,1,2,Chem,,,,,,,,,,,,
9/21/2004,31,1,2,Chem,6.83,8.04,,13.05,13.14,2.32,2.26,4,7,,,
10/14/2004,0,1,2,Chem,7.83,8,,11.47,11.49,3.05,2.96,3,7,,,
10/14/2004,1,1,2,Chem,,,,,,,,,,,,
10/14/2004,2,1,2,Chem,,,,,,,,,,,,
10/14/2004,3,1,2,Chem,,,,,,,,,,,,
10/14/2004,4,1,2,Chem,,,,,,,,,,,,
10/14/2004,5,1,2,Chem,,,,,,,,,,,,
10/14/2004,6,1,2,Chem,,,,,,,,,,,,
10/14/2004,7,1,2,Chem,,,,,,,,,,,,
10/14/2004,8,1,2,Chem,,,,,,,,,,,,
10/14/2004,9,1,2,Chem,,,,,,,,,,,,
10/14/2004,10,1,2,Chem,,,,,,,,,,,,
10/14/2004,11,1,2,Chem,,,,,,,,,,,,
10/14/2004,12,1,2,Chem,,,,,,,,,,,,
10/14/2004,13,1,2,Chem,,,,,,,,,,,,
10/14/2004,14,1,2,Chem,,,,,,,,,,,,
10/14/2004,15,1,2,Chem,7.66,8,,11.63,11.57,3.05,3.05,3,8,,,
10/14/2004,16,1,2,Chem,,,,,,,,,,,,
10/14/2004,17,1,2,Chem,,,,,,,,,,,,
10/14/2004,18,1,2,Chem,,,,,,,,,,,,
10/14/2004,19,1,2,Chem,,,,,,,,,,,,
10/14/2004,20,1,2,Chem,6.9,8.01,,12.87,12.84,2.56,2.57,3,9,,,
10/14/2004,21,1,2,Chem,,,,,,,,,,,,
10/14/2004,22,1,2,Chem,,,,,,,,,,,,
10/14/2004,23,1,2,Chem,,,,,,,,,,,,
10/14/2004,24,1,2,Chem,,,,,,,,,,,,
10/14/2004,25,1,2,Chem,,,,,,,,,,,,
10/14/2004,26,1,2,Chem,,,,,,,,,,,,
10/14/2004,27,1,2,Chem,6.85,7.99,,12.91,12.88,2.58,2.41,2,6,,,
10/14/2004,28,1,2,Chem,,,,,,,,,,,,
10/14/2004,29,1,2,Chem,,,,,,,,,,,,
10/14/2004,30,1,2,Chem,,,,,,,,,,,,
10/14/2004,31,1,2,Chem,6.87,7.99,,13.2,13.38,2.5,2.4,3,8,,,
1/21/2005,0,1,2,Chem,7.71,8.16,,11.44,11.36,2.49,2.47,3,6,,,
1/21/2005,1,1,2,Chem,,,,,,,,,,,,
1/21/2005,2,1,2,Chem,,,,,,,,,,,,
1/21/2005,3,1,2,Chem,,,,,,,,,,,,
1/21/2005,4,1,2,Chem,,,,,,,,,,,,
1/21/2005,5,1,2,Chem,,,,,,,,,,,,
1/21/2005,6,1,2,Chem,,,,,,,,,,,,
1/21/2005,7,1,2,Chem,,,,,,,,,,,,
1/21/2005,8,1,2,Chem,,,,,,,,,,,,
1/21/2005,9,1,2,Chem,,,,,,,,,,,,
1/21/2005,10,1,2,Chem,7.66,8.15,,11.19,12.27,2.37,2.39,3,6,,,
1/21/2005,11,1,2,Chem,,,,,,,,,,,,
1/21/2005,12,1,2,Chem,,,,,,,,,,,,
1/21/2005,13,1,2,Chem,,,,,,,,,,,,
1/21/2005,14,1,2,Chem,,,,,,,,,,,,
1/21/2005,15,1,2,Chem,,,,,,,,,,,,
1/21/2005,16,1,2,Chem,,,,,,,,,,,,
1/21/2005,17,1,2,Chem,,,,,,,,,,,,
1/21/2005,18,1,2,Chem,,,,,,,,,,,,
1/21/2005,19,1,2,Chem,,,,,,,,,,,,
1/21/2005,20,1,2,Chem,7.59,8.14,,11.59,11.5,2.42,2.46,3,6,,,
1/21/2005,21,1,2,Chem,,,,,,,,,,,,
1/21/2005,22,1,2,Chem,,,,,,,,,,,,
1/21/2005,23,1,2,Chem,,,,,,,,,,,,
1/21/2005,24,1,2,Chem,,,,,,,,,,,,
1/21/2005,25,1,2,Chem,,,,,,,,,,,,
1/21/2005,26,1,2,Chem,,,,,,,,,,,,
1/21/2005,27,1,2,Chem,,,,,,,,,,,,
1/21/2005,28,1,2,Chem,,,,,,,,,,,,
1/21/2005,29,1,2,Chem,,,,,,,,,,,,
1/21/2005,30,1,2,Chem,,,,,,,,,,,,
1/21/2005,31,1,2,Chem,,,,,,,,,,,,
1/21/2005,32,1,2,Chem,7.01,8.16,,13.16,13.44,2.41,2.43,6,21,,,
4/5/2005,0,1,2,Chem,7.36,7.91,,11.04,9.23,2.63,2.28,4,3,,,
4/5/2005,1,1,2,Chem,,,,,,,,,,,,
4/5/2005,2,1,2,Chem,,,,,,,,,,,,
4/5/2005,3,1,2,Chem,,,,,,,,,,,,
4/5/2005,4,1,2,Chem,,,,,,,,,,,,
4/5/2005,5,1,2,Chem,,,,,,,,,,,,
4/5/2005,6,1,2,Chem,,,,,,,,,,,,
4/5/2005,7,1,2,Chem,,,,,,,,,,,,
4/5/2005,8,1,2,Chem,,,,,,,,,,,,
4/5/2005,9,1,2,Chem,,,,,,,,,,,,
4/5/2005,10,1,2,Chem,7.44,7.95,,11.9,11.91,2.79,2.63,3,7,,,
4/5/2005,11,1,2,Chem,,,,,,,,,,,,
4/5/2005,12,1,2,Chem,,,,,,,,,,,,
4/5/2005,13,1,2,Chem,,,,,,,,,,,,
4/5/2005,14,1,2,Chem,,,,,,,,,,,,
4/5/2005,15,1,2,Chem,,,,,,,,,,,,
4/5/2005,16,1,2,Chem,,,,,,,,,,,,
4/5/2005,17,1,2,Chem,,,,,,,,,,,,
4/5/2005,18,1,2,Chem,,,,,,,,,,,,
4/5/2005,19,1,2,Chem,,,,,,,,,,,,
4/5/2005,20,1,2,Chem,7.42,7.96,,12.5,12.12,2.74,2.63,3,7,,,
4/5/2005,21,1,2,Chem,,,,,,,,,,,,
4/5/2005,22,1,2,Chem,,,,,,,,,,,,
4/5/2005,23,1,2,Chem,,,,,,,,,,,,
4/5/2005,24,1,2,Chem,,,,,,,,,,,,
4/5/2005,25,1,2,Chem,,,,,,,,,,,,
4/5/2005,26,1,2,Chem,,,,,,,,,,,,
4/5/2005,27,1,2,Chem,,,,,,,,,,,,
4/5/2005,28,1,2,Chem,,,,,,,,,,,,
4/5/2005,29,1,2,Chem,,,,,,,,,,,,
4/5/2005,30,1,2,Chem,,,,,,,,,,,,
4/5/2005,31,1,2,Chem,,,,,,,,,,,,
4/5/2005,32,1,2,Chem,6.97,7.98,,14.43,14.61,2.7,2.61,4,25,,,
5/17/2005,0,1,2,Chem,8.21,8.04,,11.14,11.24,2.93,3.03,3,7,,,
5/17/2005,1,1,2,Chem,,,,,,,,,,,,
5/17/2005,2,1,2,Chem,,,,,,,,,,,,
5/17/2005,3,1,2,Chem,,,,,,,,,,,,
5/17/2005,4,1,2,Chem,,,,,,,,,,,,
5/17/2005,5,1,2,Chem,,,,,,,,,,,,
5/17/2005,6,1,2,Chem,,,,,,,,,,,,
5/17/2005,7,1,2,Chem,,,,,,,,,,,,
5/17/2005,8,1,2,Chem,,,,,,,,,,,,
5/17/2005,9,1,2,Chem,,,,,,,,,,,,
5/17/2005,10,1,2,Chem,8.11,8.05,,11.22,11.34,2.84,2.84,3,10,,,
5/17/2005,11,1,2,Chem,,,,,,,,,,,,
5/17/2005,12,1,2,Chem,,,,,,,,,,,,
5/17/2005,13,1,2,Chem,,,,,,,,,,,,
5/17/2005,14,1,2,Chem,,,,,,,,,,,,
5/17/2005,15,1,2,Chem,,,,,,,,,,,,
5/17/2005,16,1,2,Chem,,,,,,,,,,,,
5/17/2005,17,1,2,Chem,,,,,,,,,,,,
5/17/2005,18,1,2,Chem,,,,,,,,,,,,
5/17/2005,19,1,2,Chem,,,,,,,,,,,,
5/17/2005,20,1,2,Chem,7.79,8.04,,11.49,11.55,2.71,2.73,3,8,,,
5/17/2005,21,1,2,Chem,,,,,,,,,,,,
5/17/2005,22,1,2,Chem,,,,,,,,,,,,
5/17/2005,23,1,2,Chem,,,,,,,,,,,,
5/17/2005,24,1,2,Chem,,,,,,,,,,,,
5/17/2005,25,1,2,Chem,,,,,,,,,,,,
5/17/2005,26,1,2,Chem,,,,,,,,,,,,
5/17/2005,27,1,2,Chem,,,,,,,,,,,,
5/17/2005,28,1,2,Chem,,,,,,,,,,,,
5/17/2005,29,1,2,Chem,,,,,,,,,,,,
5/17/2005,30,1,2,Chem,,,,,,,,,,,,
5/17/2005,31,1,2,Chem,,,,,,,,,,,,
5/17/2005,32,1,2,Chem,7.5,8.04,,11.89,11.99,2.76,2.68,5,20,,,
6/16/2005,0,1,2,Chem,8.22,8.15,,11.9,12.1,3.27,3.43,3,8,,,
6/16/2005,1,1,2,Chem,,,,,,,,,,,,
6/16/2005,2,1,2,Chem,,,,,,,,,,,,
6/16/2005,3,1,2,Chem,,,,,,,,,,,,
6/16/2005,4,1,2,Chem,,,,,,,,,,,,
6/16/2005,5,1,2,Chem,8.22,8.18,,12,12.1,3.33,3.41,5,8,,,
6/16/2005,6,1,2,Chem,,,,,,,,,,,,
6/16/2005,7,1,2,Chem,,,,,,,,,,,,
6/16/2005,8,1,2,Chem,8.22,8.2,,11.98,12.2,3.3,3.45,5,7,,,
6/16/2005,9,1,2,Chem,,,,,,,,,,,,
6/16/2005,10,1,2,Chem,8.34,8.22,,12.03,12.23,3.52,3.45,6,9,,,
6/16/2005,11,1,2,Chem,,,,,,,,,,,,
6/16/2005,12,1,2,Chem,,,,,,,,,,,,
6/16/2005,13,1,2,Chem,,,,,,,,,,,,
6/16/2005,14,1,2,Chem,,,,,,,,,,,,
6/16/2005,15,1,2,Chem,,,,,,,,,,,,
6/16/2005,16,1,2,Chem,,,,,,,,,,,,
6/16/2005,17,1,2,Chem,,,,,,,,,,,,
6/16/2005,18,1,2,Chem,,,,,,,,,,,,
6/16/2005,19,1,2,Chem,,,,,,,,,,,,
6/16/2005,20,1,2,Chem,7.49,8.21,,11.43,12.9,4.35,3.01,11,11,,,
6/16/2005,21,1,2,Chem,,,,,,,,,,,,
6/16/2005,22,1,2,Chem,,,,,,,,,,,,
6/16/2005,23,1,2,Chem,,,,,,,,,,,,
6/16/2005,24,1,2,Chem,,,,,,,,,,,,
6/16/2005,25,1,2,Chem,,,,,,,,,,,,
6/16/2005,26,1,2,Chem,,,,,,,,,,,,
6/16/2005,27,1,2,Chem,,,,,,,,,,,,
6/16/2005,28,1,2,Chem,,,,,,,,,,,,
6/16/2005,29,1,2,Chem,,,,,,,,,,,,
6/16/2005,30,1,2,Chem,,,,,,,,,,,,
6/16/2005,31,1,2,Chem,,,,,,,,,,,,
6/16/2005,32,1,2,Chem,7.16,8.2,,,,,,6,44,,,
7/13/2005,0,1,2,Chem,8.42,8.18,,11.46,11.45,3.38,3.28,4,6,,,
7/13/2005,1,1,2,Chem,,,,,,,,,,,,
7/13/2005,2,1,2,Chem,,,,,,,,,,,,
7/13/2005,3,1,2,Chem,,,,,,,,,,,,
7/13/2005,4,1,2,Chem,,,,,,,,,,,,
7/13/2005,5,1,2,Chem,8.51,8.2,,11.3,11.33,3.3,3.23,3,7,,,
7/13/2005,6,1,2,Chem,,,,,,,,,,,,
7/13/2005,7,1,2,Chem,,,,,,,,,,,,
7/13/2005,8,1,2,Chem,8.48,8.2,,11.41,11.55,3.31,3.35,5,9,,,
7/13/2005,9,1,2,Chem,,,,,,,,,,,,
7/13/2005,10,1,2,Chem,,,,,,,,,,,,
7/13/2005,11,1,2,Chem,,,,,,,,,,,,
7/13/2005,12,1,2,Chem,,,,,,,,,,,,
7/13/2005,13,1,2,Chem,,,,,,,,,,,,
7/13/2005,14,1,2,Chem,,,,,,,,,,,,
7/13/2005,15,1,2,Chem,7.46,8.2,,12.07,12.13,2.93,2.94,8,9,,,
7/13/2005,16,1,2,Chem,,,,,,,,,,,,
7/13/2005,17,1,2,Chem,,,,,,,,,,,,
7/13/2005,18,1,2,Chem,,,,,,,,,,,,
7/13/2005,19,1,2,Chem,,,,,,,,,,,,
7/13/2005,20,1,2,Chem,,,,,,,,,,,,
7/13/2005,21,1,2,Chem,,,,,,,,,,,,
7/13/2005,22,1,2,Chem,,,,,,,,,,,,
7/13/2005,23,1,2,Chem,,,,,,,,,,,,
7/13/2005,24,1,2,Chem,,,,,,,,,,,,
7/13/2005,25,1,2,Chem,,,,,,,,,,,,
7/13/2005,26,1,2,Chem,,,,,,,,,,,,
7/13/2005,27,1,2,Chem,7.14,8.19,,12.47,12.69,2.77,2.78,6,11,,,
7/13/2005,28,1,2,Chem,,,,,,,,,,,,
7/13/2005,29,1,2,Chem,,,,,,,,,,,,
7/13/2005,30,1,2,Chem,,,,,,,,,,,,
7/13/2005,31,1,2,Chem,7,8.19,,13.12,13.31,2.9,2.76,8,17,,,
9/7/2005,0,1,2,Chem,8.29,8.17,,11.51,11.65,3.23,3.11,4,7,,,
9/7/2005,1,1,2,Chem,,,,,,,,,,,,
9/7/2005,2,1,2,Chem,,,,,,,,,,,,
9/7/2005,3,1,2,Chem,,,,,,,,,,,,
9/7/2005,4,1,2,Chem,,,,,,,,,,,,
9/7/2005,5,1,2,Chem,,,,,,,,,,,,
9/7/2005,6,1,2,Chem,,,,,,,,,,,,
9/7/2005,7,1,2,Chem,,,,,,,,,,,,
9/7/2005,8,1,2,Chem,,,,,,,,,,,,
9/7/2005,9,1,2,Chem,,,,,,,,,,,,
9/7/2005,10,1,2,Chem,8.1,8.16,,11.51,11.56,3.09,3.04,4,5,,,
9/7/2005,11,1,2,Chem,,,,,,,,,,,,
9/7/2005,12,1,2,Chem,,,,,,,,,,,,
9/7/2005,13,1,2,Chem,,,,,,,,,,,,
9/7/2005,14,1,2,Chem,,,,,,,,,,,,
9/7/2005,15,1,2,Chem,7.31,8.13,,12.02,12.17,2.79,2.71,2,128,,,
9/7/2005,16,1,2,Chem,,,,,,,,,,,,
9/7/2005,17,1,2,Chem,,,,,,,,,,,,
9/7/2005,18,1,2,Chem,,,,,,,,,,,,
9/7/2005,19,1,2,Chem,,,,,,,,,,,,
9/7/2005,20,1,2,Chem,7.14,8.13,,11.96,12.09,2.59,2.54,3,8,,,
9/7/2005,21,1,2,Chem,,,,,,,,,,,,
9/7/2005,22,1,2,Chem,,,,,,,,,,,,
9/7/2005,23,1,2,Chem,,,,,,,,,,,,
9/7/2005,24,1,2,Chem,,,,,,,,,,,,
9/7/2005,25,1,2,Chem,,,,,,,,,,,,
9/7/2005,26,1,2,Chem,,,,,,,,,,,,
9/7/2005,27,1,2,Chem,,,,,,,,,,,,
9/7/2005,28,1,2,Chem,,,,,,,,,,,,
9/7/2005,29,1,2,Chem,,,,,,,,,,,,
9/7/2005,30,1,2,Chem,,,,,,,,,,,,
9/7/2005,31,1,2,Chem,6.89,8.16,,13.17,13.25,2.7,2.67,7,16,,,
10/7/2005,0,1,2,Chem,7.96,8.02,,11.47,11.48,3.2,3.18,3,8,,,
10/7/2005,1,1,2,Chem,,,,,,,,,,,,
10/7/2005,2,1,2,Chem,,,,,,,,,,,,
10/7/2005,3,1,2,Chem,,,,,,,,,,,,
10/7/2005,4,1,2,Chem,,,,,,,,,,,,
10/7/2005,5,1,2,Chem,,,,,,,,,,,,
10/7/2005,6,1,2,Chem,,,,,,,,,,,,
10/7/2005,7,1,2,Chem,,,,,,,,,,,,
10/7/2005,8,1,2,Chem,,,,,,,,,,,,
10/7/2005,9,1,2,Chem,,,,,,,,,,,,
10/7/2005,10,1,2,Chem,,,,,,,,,,,,
10/7/2005,11,1,2,Chem,,,,,,,,,,,,
10/7/2005,12,1,2,Chem,7.89,8.03,,11.55,11.57,3.15,3.18,3,6,,,
10/7/2005,13,1,2,Chem,,,,,,,,,,,,
10/7/2005,14,1,2,Chem,,,,,,,,,,,,
10/7/2005,15,1,2,Chem,7.15,8,,12.89,12.89,2.94,3.08,3,8,,,
10/7/2005,16,1,2,Chem,,,,,,,,,,,,
10/7/2005,17,1,2,Chem,,,,,,,,,,,,
10/7/2005,18,1,2,Chem,,,,,,,,,,,,
10/7/2005,19,1,2,Chem,,,,,,,,,,,,
10/7/2005,20,1,2,Chem,7.01,8.04,,13.4,13.65,2.71,2.7,1,8,,,
10/7/2005,21,1,2,Chem,,,,,,,,,,,,
10/7/2005,22,1,2,Chem,,,,,,,,,,,,
10/7/2005,23,1,2,Chem,,,,,,,,,,,,
10/7/2005,24,1,2,Chem,,,,,,,,,,,,
10/7/2005,25,1,2,Chem,,,,,,,,,,,,
10/7/2005,26,1,2,Chem,,,,,,,,,,,,
10/7/2005,27,1,2,Chem,,,,,,,,,,,,
10/7/2005,28,1,2,Chem,,,,,,,,,,,,
10/7/2005,29,1,2,Chem,,,,,,,,,,,,
10/7/2005,30,1,2,Chem,,,,,,,,,,,,
10/7/2005,31,1,2,Chem,6.9,8.07,,15.4,15.43,2.85,2.61,3,13,,,
1/20/2006,0,1,2,Chem,7.6,7.9,,10.34,10.47,2.66,2.45,5,6,,,
1/20/2006,1,1,2,Chem,,,,,,,,,,,,
1/20/2006,2,1,2,Chem,,,,,,,,,,,,
1/20/2006,3,1,2,Chem,,,,,,,,,,,,
1/20/2006,4,1,2,Chem,,,,,,,,,,,,
1/20/2006,5,1,2,Chem,,,,,,,,,,,,
1/20/2006,6,1,2,Chem,,,,,,,,,,,,
1/20/2006,7,1,2,Chem,,,,,,,,,,,,
1/20/2006,8,1,2,Chem,,,,,,,,,,,,
1/20/2006,9,1,2,Chem,,,,,,,,,,,,
