sampledate,depth,rep,sta,event,ph,phair,alk,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh,drsif_sloh
1/27/2004,0,1,2,Chem,7.63,7.89,,11.22,11.14,2.63,2.55,2,4,,,
1/27/2004,10,1,2,Chem,7.56,7.89,,11.08,11.06,2.63,2.43,3,5,,,
1/27/2004,20,1,2,Chem,7.52,7.91,,11.38,11.38,2.67,2.55,3,7,,,
1/27/2004,32,1,2,Chem,6.9,7.89,,,11.85,,2.29,8,28,,,
3/30/2004,0,1,2,Chem,7.85,7.66,,9.15,6.98,2.33,1.71,4,1,,,
3/30/2004,10,1,2,Chem,7.47,7.92,,11.95,11.95,2.77,2.67,0,2,,,
3/30/2004,11,1,2,Chem,,,,,,,,,,,,
3/30/2004,12,1,2,Chem,,,,,,,,,,,,
3/30/2004,13,1,2,Chem,,,,,,,,,,,,
3/30/2004,14,1,2,Chem,,,,,,,,,,,,
3/30/2004,15,1,2,Chem,,,,,,,,,,,,
3/30/2004,16,1,2,Chem,,,,,,,,,,,,
3/30/2004,17,1,2,Chem,,,,,,,,,,,,
3/30/2004,18,1,2,Chem,,,,,,,,,,,,
3/30/2004,19,1,2,Chem,,,,,,,,,,,,
3/30/2004,20,1,2,Chem,7.26,7.92,,12.61,12.5,2.73,2.69,1,5,,,
3/30/2004,21,1,2,Chem,,,,,,,,,,,,
3/30/2004,22,1,2,Chem,,,,,,,,,,,,
3/30/2004,23,1,2,Chem,,,,,,,,,,,,
3/30/2004,24,1,2,Chem,,,,,,,,,,,,
3/30/2004,25,1,2,Chem,,,,,,,,,,,,
3/30/2004,26,1,2,Chem,,,,,,,,,,,,
3/30/2004,27,1,2,Chem,,,,,,,,,,,,
3/30/2004,28,1,2,Chem,,,,,,,,,,,,
3/30/2004,29,1,2,Chem,,,,,,,,,,,,
3/30/2004,30,1,2,Chem,,,,,,,,,,,,
3/30/2004,31,1,2,Chem,,,,,,,,,,,,
3/30/2004,32,1,2,Chem,6.85,7.93,,13.29,13.7,2.5,2.44,2,26,,,
5/26/2004,0,1,2,Chem,8.26,8.05,,10.77,10.99,2.87,2.87,1,10,,,
5/26/2004,1,1,2,Chem,,,,,,,,,,,,
5/26/2004,2,1,2,Chem,,,,,,,,,,,,
5/26/2004,3,1,2,Chem,,,,,,,,,,,,
5/26/2004,4,1,2,Chem,,,,,,,,,,,,
5/26/2004,5,1,2,Chem,,,,,,,,,,,,
5/26/2004,6,1,2,Chem,,,,,,,,,,,,
5/26/2004,7,1,2,Chem,,,,,,,,,,,,
5/26/2004,8,1,2,Chem,,,,,,,,,,,,
5/26/2004,9,1,2,Chem,,,,,,,,,,,,
5/26/2004,10,1,2,Chem,8.23,8.08,,10.86,11.02,2.86,2.85,2,10,,,
5/26/2004,11,1,2,Chem,,,,,,,,,,,,
5/26/2004,12,1,2,Chem,,,,,,,,,,,,
5/26/2004,13,1,2,Chem,,,,,,,,,,,,
5/26/2004,14,1,2,Chem,,,,,,,,,,,,
5/26/2004,15,1,2,Chem,,,,,,,,,,,,
5/26/2004,16,1,2,Chem,,,,,,,,,,,,
5/26/2004,17,1,2,Chem,,,,,,,,,,,,
5/26/2004,18,1,2,Chem,,,,,,,,,,,,
5/26/2004,19,1,2,Chem,,,,,,,,,,,,
5/26/2004,20,1,2,Chem,7.61,8.06,,11.1,11.2,2.67,2.56,2,6,,,
5/26/2004,21,1,2,Chem,,,,,,,,,,,,
5/26/2004,22,1,2,Chem,,,,,,,,,,,,
5/26/2004,23,1,2,Chem,,,,,,,,,,,,
5/26/2004,24,1,2,Chem,,,,,,,,,,,,
5/26/2004,25,1,2,Chem,,,,,,,,,,,,
5/26/2004,26,1,2,Chem,,,,,,,,,,,,
5/26/2004,27,1,2,Chem,,,,,,,,,,,,
5/26/2004,28,1,2,Chem,,,,,,,,,,,,
5/26/2004,29,1,2,Chem,,,,,,,,,,,,
5/26/2004,30,1,2,Chem,,,,,,,,,,,,
5/26/2004,31,1,2,Chem,,,,,,,,,,,,
5/26/2004,32,1,2,Chem,7.37,8.06,,11.56,11.44,2.67,2.66,4,22,,,
6/23/2004,0,1,2,Chem,8.26,8.04,,10.72,10.8,2.98,3.25,2,6,,,
6/23/2004,1,1,2,Chem,,,,,,,,,,,,
6/23/2004,2,1,2,Chem,,,,,,,,,,,,
6/23/2004,3,1,2,Chem,,,,,,,,,,,,
6/23/2004,4,1,2,Chem,,,,,,,,,,,,
