lakeid,year4,year_fraction,start_daynum,end_daynum,duration,med_daynum,med_date,trap,size_fraction,mass_flux,flux_c
TR,1991,1991.619,212,240,28,226,8/14/1991,2,>210,2.23,0.44
TR,1991,1991.542,184,212,28,198,7/17/1991,2,>210,8.51,2.88
TR,1991,1991.542,184,212,28,198,7/17/1991,1,>210,10.2,3.58
TR,1991,1991.464,155,184,29,169.5,6/18/1991,2,>210,26.03,4.11
TR,1991,1991.619,212,240,28,226,8/14/1991,2,<210,17.73,4.19
TR,1990,1990.597,204,232,28,218,8/6/1990,1,>210,16.36,5.06
TR,1989,1989.605,207,235,28,221,8/9/1989,,>210,23.67,5.1
TR,1991,1991.388,128,155,27,141.5,5/21/1991,1,>210,17.13,5.25
TR,1991,1991.699,240,270,30,255,9/12/1991,1,>210,11.89,5.46
TR,1991,1991.619,212,240,28,226,8/14/1991,1,>210,16.23,5.65
TR,1991,1991.464,155,184,29,169.5,6/18/1991,1,>210,18.97,5.66
TR,1991,1991.801,270,315,45,292.5,10/19/1991,1,>210,15.65,5.94
TR,1991,1991.699,240,270,30,255,9/12/1991,2,>210,14.97,6.58
TR,1991,1991.388,128,155,27,141.5,5/21/1991,2,>210,17.73,7.49
TR,1989,1989.679,235,261,26,248,9/5/1989,,>210,22.83,9.04
TR,1989,1989.763,261,296,35,278.5,10/5/1989,,>210,28.33,9.13
TR,1990,1990.597,204,232,28,218,8/6/1990,2,>210,24.95,9.36
TR,1990,1990.675,232,261,29,246.5,9/3/1990,2,>210,27.82,9.38
TR,1987,1987.649,222,252,30,237,8/25/1987,,>111,26.58,9.45
TR,1990,1990.371,122,149,27,135.5,5/15/1990,1,>210,49.4,9.6
TR,1990,1990.675,232,261,29,246.5,9/3/1990,1,>210,34.27,10.33
TR,1988,1988.664,228,258,30,243,8/30/1988,1,>111,19.65,10.82
TR,1991,1991.801,270,315,45,292.5,10/19/1991,2,>210,35.69,11.75
TR,1988,1988.586,201,228,27,214.5,8/1/1988,1,>111,32.06,12.35
TR,1990,1990.521,176,204,28,190,7/9/1990,1,>210,34.89,12.44
TR,1987,1987.581,202,222,20,212,7/31/1987,,>111,31.23,13.69
TR,1988,1988.511,173,201,29,187,7/5/1988,1,>111,40.47,16.55
TR,1991,1991.619,212,240,28,226,8/14/1991,1,<210,79.91,17.86
TR,1989,1989.453,152,179,27,165.5,6/14/1989,,>210,66.29,18.24
TR,1986,1986.662,224,259,35,241.5,8/29/1986,,>111,40.55,19.29
TR,1990,1990.834,292,317,25,304.5,10/31/1990,1,>210,71.89,21.21
TR,1988,1988.743,258,286,28,272,9/28/1988,1,>111,61.06,22.23
TR,1988,1988.813,286,309,23,297.5,10/23/1988,1,>111,63.65,22.6
TR,1987,1987.805,281,307,26,294,10/21/1987,,>111,52.6,23.09
TR,1990,1990.445,149,176,27,162.5,6/11/1990,2,>210,99.44,24.43
TR,1988,1988.813,286,309,23,297.5,10/23/1988,2,>111,68.57,26.34
TR,1989,1989.377,123,152,29,137.5,5/17/1989,,<210,112.07,27.46
TR,1986,1986.575,196,224,28,210,7/29/1986,,>111,58.63,27.94
TR,1990,1990.758,261,292,31,276.5,10/3/1990,2,>210,69.46,30.88
TR,1987,1987.73,252,281,29,266.5,9/23/1987,,>111,85.75,31.37
TR,1990,1990.758,261,292,31,276.5,10/3/1990,1,>210,105.75,31.84
TR,1990,1990.445,149,176,27,162.5,6/11/1990,1,>210,143.59,33.23
TR,1987,1987.5,163,202,39,182.5,7/1/1987,,>111,73.7,34.7
TR,1989,1989.84,296,317,21,306.5,11/2/1989,,>210,172.87,35.64
TR,1991,1991.542,184,212,28,198,7/17/1991,2,<210,205.96,35.7
TR,1988,1988.433,144,173,29,158.5,6/6/1988,1,<111,678.08,36.9
TR,1989,1989.529,179,207,28,193,7/12/1989,,<210,122.66,38.3
TR,1986,1986.808,282,308,26,295,10/22/1986,,>111,124.38,38.39
TR,1988,1988.743,258,286,28,272,9/28/1988,2,>111,90.67,38.98
TR,1988,1988.359,119,144,25,131.5,5/10/1988,1,>111,115.71,39.52
TR,1988,1988.511,173,201,29,187,7/5/1988,1,<111,211.28,41.66
TR,1991,1991.699,240,270,30,255,9/12/1991,1,<210,152.53,42.52
TR,1988,1988.433,144,173,29,158.5,6/6/1988,1,>111,202.22,42.84
TR,1991,1991.542,184,212,28,198,7/17/1991,1,<210,218.32,42.88
TR,1988,1988.433,144,173,28,158.5,6/6/1988,2,>111,237.78,45.86
TR,1988,1988.359,119,144,25,131.5,5/10/1988,2,>111,214.96,46
TR,1990,1990.597,204,232,28,218,8/6/1990,1,<210,247.16,48.98
TR,1986,1986.486,159,196,37,177.5,6/26/1986,,>111,157.81,49.33
TR,1987,1987.414,139,163,24,151,5/31/1987,,>111,427.95,51.57
TR,1988,1988.586,201,228,27,214.5,8/1/1988,1,<111,264.42,51.7
TR,1989,1989.605,207,235,28,221,8/9/1989,,<210,211.26,51.94
TR,1986,1986.741,259,282,23,270.5,9/27/1986,,>111,121.1,54.72
TR,1990,1990.445,149,176,27,162.5,6/11/1990,2,<210,465.88,55.49
TR,1987,1987.344,112,139,27,125.5,5/5/1987,,>111,275.07,60.38
TR,1989,1989.679,235,261,26,248,9/5/1989,,<210,234.06,62.87
TR,1986,1986.575,196,224,28,210,7/29/1986,,<111,333.42,64.58
TR,1986,1986.662,224,259,35,241.5,8/29/1986,,<111,313.42,69.83
TR,1988,1988.664,228,258,30,243,8/30/1988,1,<111,274.72,71.12
TR,1987,1987.5,163,202,39,182.5,7/1/1987,,<111,420.82,73.6
TR,1989,1989.763,261,296,35,278.5,10/5/1989,,<210,348.16,79.24
TR,1990,1990.521,176,204,28,190,7/9/1990,1,<210,528.5,81.3
TR,1990,1990.445,149,176,27,162.5,6/11/1990,1,<210,571.44,83.86
TR,1987,1987.581,202,222,20,212,7/31/1987,,<111,381.92,93.34
TR,1986,1986.486,159,196,37,177.5,6/26/1986,,<111,531.23,93.98
TR,1988,1988.743,258,286,28,272,9/28/1988,2,<111,407.69,96.96
TR,1989,1989.453,152,179,27,165.5,6/14/1989,,<210,482.01,97.92
TR,1988,1988.743,258,286,28,272,9/28/1988,1,<111,352.21,98.39
TR,1990,1990.597,204,232,28,218,8/6/1990,2,<210,485.52,110.21
TR,1987,1987.73,252,281,29,266.5,9/23/1987,,<111,533.7,110.69
TR,1990,1990.675,232,261,29,246.5,9/3/1990,2,<210,423.55,111.18
TR,1991,1991.388,128,155,27,141.5,5/21/1991,1,<210,664.64,111.98
TR,1991,1991.464,155,184,29,169.5,6/18/1991,1,<210,705.38,113.34
TR,1987,1987.649,222,252,30,237,8/25/1987,,<111,443.01,113.72
TR,1990,1990.834,292,317,25,304.5,10/31/1990,1,<210,662.52,113.74
TR,1991,1991.388,128,155,27,141.5,5/21/1991,2,<210,774.06,120.67
TR,1986,1986.741,259,282,23,270.5,9/27/1986,,<111,510.68,125.27
TR,1987,1987.414,139,163,24,151,5/31/1987,,<111,791.78,127.95
TR,1988,1988.433,144,173,29,158.5,6/6/1988,2,<111,778.4,128.69
TR,1990,1990.675,232,261,29,246.5,9/3/1990,1,<210,535.56,131.13
TR,1989,1989.84,296,317,21,306.5,11/2/1989,,<210,736.59,133.67
TR,1991,1991.699,240,270,30,255,9/12/1991,2,<210,508.49,137.17
TR,1987,1987.805,281,307,26,294,10/21/1987,,<111,803.84,150.4
