sampledate,depth,wtemp,flag_wtemp
2004-05-21,0.00,10.440,
2004-05-21,1.00,10.460,
2004-05-21,2.00,10.430,
2004-05-21,3.00,10.450,
2004-05-21,4.00,10.410,
2004-05-21,5.00,10.430,
2004-05-21,6.00,10.430,
2004-05-21,7.00,10.430,
2004-05-21,7.50,10.390,
2004-05-21,8.00,10.350,
2004-05-21,8.50,10.320,
2004-05-21,9.00,9.850,
2004-05-21,9.50,9.390,
2004-05-21,10.00,9.100,
2004-05-21,10.50,8.830,
2004-05-21,11.00,8.810,
2004-05-21,11.50,8.790,
2004-05-21,12.00,8.730,
2004-05-21,12.50,8.670,
2004-05-21,13.00,8.560,
2004-05-21,13.50,8.500,
2004-05-21,14.00,8.280,
2004-05-21,16.00,7.980,
2004-05-21,19.00,7.420,
2004-05-21,23.00,6.830,
2004-05-21,27.00,6.580,
2004-05-21,31.00,6.180,
2004-05-22,0.00,10.420,
2004-05-22,1.00,10.460,
2004-05-22,2.00,10.430,
2004-05-22,3.00,10.380,
2004-05-22,4.00,10.370,
2004-05-22,5.00,10.400,
2004-05-22,6.00,10.410,
2004-05-22,7.00,10.400,
2004-05-22,7.50,10.340,
2004-05-22,8.00,10.340,
2004-05-22,8.50,10.380,
2004-05-22,9.00,10.210,
2004-05-22,9.50,9.420,
2004-05-22,10.00,9.350,
2004-05-22,10.50,9.180,
2004-05-22,11.00,9.060,
2004-05-22,11.50,9.020,
2004-05-22,12.00,8.910,
2004-05-22,12.50,8.700,
2004-05-22,13.00,8.710,
2004-05-22,13.50,8.590,
2004-05-22,14.00,8.480,
2004-05-22,16.00,7.870,
2004-05-22,19.00,7.390,
2004-05-22,23.00,6.640,
2004-05-22,27.00,6.500,
2004-05-22,31.00,6.240,
2004-05-23,0.00,10.060,
2004-05-23,1.00,10.090,
2004-05-23,2.00,10.050,
2004-05-23,3.00,10.020,
2004-05-23,4.00,10.020,
2004-05-23,5.00,10.040,
2004-05-23,6.00,10.050,
2004-05-23,7.00,10.020,
2004-05-23,7.50,9.950,
2004-05-23,8.00,9.960,
2004-05-23,8.50,9.930,
2004-05-23,9.00,9.860,
2004-05-23,9.50,9.720,
2004-05-23,10.00,9.410,
2004-05-23,10.50,8.990,
2004-05-23,11.00,8.770,
2004-05-23,11.50,8.710,
2004-05-23,12.00,8.570,
2004-05-23,12.50,8.420,
2004-05-23,13.00,8.230,
2004-05-23,13.50,8.110,
2004-05-23,14.00,8.020,
2004-05-23,16.00,7.600,
2004-05-23,19.00,6.970,
2004-05-23,23.00,6.630,
2004-05-23,27.00,6.370,
2004-05-23,31.00,6.260,
2004-05-24,0.00,9.930,
2004-05-24,1.00,9.930,
2004-05-24,2.00,9.910,
2004-05-24,3.00,9.880,
2004-05-24,4.00,9.860,
2004-05-24,5.00,9.850,
2004-05-24,6.00,9.910,
2004-05-24,7.00,9.890,
2004-05-24,7.50,9.870,
2004-05-24,8.00,9.850,
2004-05-24,8.50,9.800,
2004-05-24,9.00,9.720,
2004-05-24,9.50,9.590,
2004-05-24,10.00,9.540,
2004-05-24,10.50,9.440,
2004-05-24,11.00,9.190,
2004-05-24,11.50,8.860,
2004-05-24,12.00,8.720,
2004-05-24,12.50,8.590,
2004-05-24,13.00,8.480,
2004-05-24,13.50,8.310,
2004-05-24,14.00,8.120,
2004-05-24,16.00,7.860,
2004-05-24,19.00,7.200,
2004-05-24,23.00,6.580,
2004-05-24,27.00,6.420,
2004-05-24,31.00,6.300,
2004-05-25,0.00,9.990,
2004-05-25,1.00,9.990,
2004-05-25,2.00,9.970,
2004-05-25,3.00,10.020,
2004-05-25,4.00,9.940,
2004-05-25,5.00,9.960,
2004-05-25,6.00,9.970,
2004-05-25,7.00,9.990,
2004-05-25,7.50,9.950,
2004-05-25,8.00,9.970,
2004-05-25,8.50,10.000,
2004-05-25,9.00,9.980,
2004-05-25,9.50,9.970,
2004-05-25,10.00,9.980,
2004-05-25,10.50,9.940,
2004-05-25,11.00,9.990,
2004-05-25,11.50,10.010,
2004-05-25,12.00,9.890,
2004-05-25,12.50,9.600,
2004-05-25,13.00,9.180,
2004-05-25,13.50,8.890,
2004-05-25,14.00,8.470,
2004-05-25,16.00,7.900,
2004-05-25,19.00,7.340,
2004-05-25,23.00,6.960,
2004-05-25,27.00,6.370,
2004-05-25,31.00,6.300,
2004-05-26,0.00,10.510,
2004-05-26,1.00,10.580,
2004-05-26,2.00,10.550,
2004-05-26,3.00,10.510,
2004-05-26,4.00,10.480,
2004-05-26,5.00,10.540,
2004-05-26,6.00,10.540,
2004-05-26,7.00,10.530,
2004-05-26,7.50,10.450,
2004-05-26,8.00,10.480,
2004-05-26,8.50,10.510,
2004-05-26,9.00,10.480,
2004-05-26,9.50,10.430,
2004-05-26,10.00,10.360,
2004-05-26,10.50,10.370,
2004-05-26,11.00,10.340,
2004-05-26,11.50,10.260,
2004-05-26,12.00,10.020,
2004-05-26,12.50,9.820,
2004-05-26,13.00,9.580,
2004-05-26,13.50,9.260,
2004-05-26,14.00,8.930,
2004-05-26,16.00,7.860,
2004-05-26,19.00,7.310,
2004-05-26,23.00,6.720,
2004-05-26,27.00,6.420,
2004-05-26,31.00,6.240,
2004-05-27,0.00,10.440,
2004-05-27,1.00,10.580,
2004-05-27,2.00,10.550,
