datetime,TP,Chla
1/21/2005 0:00,9.2,1.75
1/22/2005 0:00,9.19047619,1.748809524
1/23/2005 0:00,9.180952381,1.747619048
1/24/2005 0:00,9.171428571,1.746428571
1/25/2005 0:00,9.161904762,1.745238095
1/26/2005 0:00,9.152380952,1.744047619
1/27/2005 0:00,9.142857143,1.742857143
1/28/2005 0:00,9.133333333,1.741666667
1/29/2005 0:00,9.123809524,1.74047619
1/30/2005 0:00,9.114285714,1.739285714
1/31/2005 0:00,9.104761905,1.738095238
2/1/2005 0:00,9.095238095,1.736904762
2/2/2005 0:00,9.085714286,1.735714286
2/3/2005 0:00,9.076190476,1.73452381
2/4/2005 0:00,9.066666667,1.733333333
2/5/2005 0:00,9.057142857,1.732142857
2/6/2005 0:00,9.047619048,1.730952381
2/7/2005 0:00,9.038095238,1.729761905
2/8/2005 0:00,9.028571429,1.728571429
2/9/2005 0:00,9.019047619,1.727380952
2/10/2005 0:00,9.00952381,1.726190476
2/11/2005 0:00,9,1.725
2/12/2005 0:00,8.99047619,1.723809524
2/13/2005 0:00,8.980952381,1.722619048
2/14/2005 0:00,8.971428571,1.721428571
2/15/2005 0:00,8.961904762,1.720238095
2/16/2005 0:00,8.952380952,1.719047619
2/17/2005 0:00,8.942857143,1.717857143
2/18/2005 0:00,8.933333333,1.716666667
2/19/2005 0:00,8.923809524,1.71547619
2/20/2005 0:00,8.914285714,1.714285714
2/21/2005 0:00,8.904761905,1.713095238
2/22/2005 0:00,8.895238095,1.711904762
2/23/2005 0:00,8.885714286,1.710714286
2/24/2005 0:00,8.876190476,1.70952381
2/25/2005 0:00,8.866666667,1.708333333
2/26/2005 0:00,8.857142857,1.707142857
2/27/2005 0:00,8.847619048,1.705952381
2/28/2005 0:00,8.838095238,1.704761905
3/1/2005 0:00,8.828571429,1.703571429
3/2/2005 0:00,8.819047619,1.702380952
3/3/2005 0:00,8.80952381,1.701190476
3/3/2005 0:00,8.8,1.7
3/4/2005 0:00,8.823529412,1.702058824
3/5/2005 0:00,8.847058824,1.704117647
3/6/2005 0:00,8.870588235,1.706176471
3/7/2005 0:00,8.894117647,1.708235294
3/8/2005 0:00,8.917647059,1.710294118
3/9/2005 0:00,8.941176471,1.712352941
3/10/2005 0:00,8.964705882,1.714411765
3/11/2005 0:00,8.988235294,1.716470588
3/12/2005 0:00,9.011764706,1.718529412
3/13/2005 0:00,9.035294118,1.720588235
3/14/2005 0:00,9.058823529,1.722647059
3/15/2005 0:00,9.082352941,1.724705882
3/16/2005 0:00,9.105882353,1.726764706
3/17/2005 0:00,9.129411765,1.728823529
3/18/2005 0:00,9.152941176,1.730882353
3/19/2005 0:00,9.176470588,1.732941176
3/20/2005 0:00,9.2,1.735
3/21/2005 0:00,9.223529412,1.737058824
3/22/2005 0:00,9.247058824,1.739117647
3/23/2005 0:00,9.270588235,1.741176471
3/24/2005 0:00,9.294117647,1.743235294
3/25/2005 0:00,9.317647059,1.745294118
3/26/2005 0:00,9.341176471,1.747352941
3/27/2005 0:00,9.364705882,1.749411765
3/28/2005 0:00,9.388235294,1.751470588
3/29/2005 0:00,9.411764706,1.753529412
3/30/2005 0:00,9.435294118,1.755588235
3/31/2005 0:00,9.458823529,1.757647059
4/1/2005 0:00,9.482352941,1.759705882
4/2/2005 0:00,9.505882353,1.761764706
4/3/2005 0:00,9.529411765,1.763823529
4/4/2005 0:00,9.552941176,1.765882353
4/5/2005 0:00,9.576470588,1.767941176
4/5/2005 0:00,9.6,1.77
4/6/2005 0:00,9.517647059,1.950588235
4/7/2005 0:00,9.435294118,2.131176471
4/8/2005 0:00,9.352941176,2.311764706
4/9/2005 0:00,9.270588235,2.492352941
4/10/2005 0:00,9.188235294,2.672941176
4/11/2005 0:00,9.105882353,2.853529412
4/12/2005 0:00,9.023529412,3.034117647
4/13/2005 0:00,8.941176471,3.214705882
4/14/2005 0:00,8.858823529,3.395294118
4/15/2005 0:00,8.776470588,3.575882353
4/16/2005 0:00,8.694117647,3.756470588
4/17/2005 0:00,8.611764706,3.937058824
4/18/2005 0:00,8.529411765,4.117647059
4/19/2005 0:00,8.447058824,4.298235294
4/20/2005 0:00,8.364705882,4.478823529
4/21/2005 0:00,8.282352941,4.659411765
4/21/2005 0:00,8.2,4.84
4/22/2005 0:00,8.292857143,5.033846154
4/23/2005 0:00,8.385714286,5.227692308
4/24/2005 0:00,8.478571429,5.421538462
4/25/2005 0:00,8.571428571,5.615384615
4/26/2005 0:00,8.664285714,5.809230769
4/27/2005 0:00,8.757142857,6.003076923
4/28/2005 0:00,8.85,6.196923077
4/29/2005 0:00,8.942857143,6.390769231
4/30/2005 0:00,9.035714286,6.584615385
5/1/2005 0:00,9.128571429,6.778461538
5/2/2005 0:00,9.221428571,6.972307692
5/3/2005 0:00,9.314285714,7.166153846
5/3/2005 0:00,9.407142857,7.36
5/4/2005 0:00,9.5,7.408
5/5/2005 0:00,9.592857143,7.456
5/6/2005 0:00,9.685714286,7.504
5/7/2005 0:00,9.778571429,7.552
5/8/2005 0:00,9.871428571,7.6
5/9/2005 0:00,9.964285714,7.648
5/10/2005 0:00,10.05714286,7.696
5/11/2005 0:00,10.15,7.744
5/12/2005 0:00,10.24285714,7.792
5/13/2005 0:00,10.33571429,7.84
5/14/2005 0:00,10.42857143,7.888
5/15/2005 0:00,10.52142857,7.936
5/16/2005 0:00,10.61428571,7.984
5/17/2005 0:00,10.70714286,8.032
5/17/2005 0:00,10.8,8.08
5/18/2005 0:00,10.89553571,7.842352941
5/19/2005 0:00,10.99107143,7.604705882
5/20/2005 0:00,11.08660714,7.367058824
5/21/2005 0:00,11.18214286,7.129411765
5/22/2005 0:00,11.27767857,6.891764706
5/23/2005 0:00,11.37321429,6.654117647
5/24/2005 0:00,11.46875,6.416470588
5/25/2005 0:00,11.56428571,6.178823529
5/26/2005 0:00,11.65982143,5.941176471
5/27/2005 0:00,11.75535714,5.703529412
5/28/2005 0:00,11.85089286,5.465882353
5/29/2005 0:00,11.94642857,5.228235294
5/30/2005 0:00,12.04196429,4.990588235
5/31/2005 0:00,12.1375,4.752941176
6/1/2005 0:00,12.23303571,4.515294118
6/2/2005 0:00,12.32857143,4.277647059
6/2/2005 0:00,12.42410714,4.04
6/3/2005 0:00,12.51964286,3.966
6/4/2005 0:00,12.61517857,3.892
6/5/2005 0:00,12.71071429,3.818
6/6/2005 0:00,12.80625,3.744
6/7/2005 0:00,12.90178571,3.67
6/8/2005 0:00,12.99732143,3.596
6/9/2005 0:00,13.09285714,3.522
6/10/2005 0:00,13.18839286,3.448
6/11/2005 0:00,13.28392857,3.374
6/12/2005 0:00,13.37946429,3.3
6/13/2005 0:00,13.475,3.226
6/14/2005 0:00,13.57053571,3.152
6/15/2005 0:00,13.66607143,3.078
6/16/2005 0:00,13.76160714,3.004
6/16/2005 0:00,13.85714286,2.93
6/17/2005 0:00,13.75369458,2.9675
6/18/2005 0:00,13.65024631,3.005
6/19/2005 0:00,13.54679803,3.0425
6/20/2005 0:00,13.44334975,3.08
6/21/2005 0:00,13.33990148,3.1175
6/22/2005 0:00,13.2364532,3.155
6/23/2005 0:00,13.13300493,3.1925
6/24/2005 0:00,13.02955665,3.23
6/25/2005 0:00,12.92610837,3.2675
6/26/2005 0:00,12.8226601,3.305
6/27/2005 0:00,12.71921182,3.3425
6/28/2005 0:00,12.61576355,3.38
6/29/2005 0:00,12.51231527,3.4175
6/30/2005 0:00,12.408867,3.455
7/1/2005 0:00,12.30541872,3.4925
7/1/2005 0:00,12.20197044,3.53
7/2/2005 0:00,12.09852217,3.420854701
7/3/2005 0:00,11.99507389,3.311709402
7/4/2005 0:00,11.89162562,3.202564103
7/5/2005 0:00,11.78817734,3.093418803
7/6/2005 0:00,11.68472906,2.984273504
7/7/2005 0:00,11.58128079,2.875128205
7/8/2005 0:00,11.47783251,2.765982906
7/9/2005 0:00,11.37438424,2.656837607
7/10/2005 0:00,11.27093596,2.547692308
7/11/2005 0:00,11.16748768,2.438547009
7/12/2005 0:00,11.06403941,2.329401709
7/13/2005 0:00,10.96059113,2.22025641
7/13/2005 0:00,10.85714286,2.111111111
7/14/2005 0:00,10.82488479,2.183037037
7/15/2005 0:00,10.79262673,2.254962963
7/16/2005 0:00,10.76036866,2.326888889
7/17/2005 0:00,10.7281106,2.398814815
7/18/2005 0:00,10.69585253,2.470740741
7/19/2005 0:00,10.66359447,2.542666667
7/20/2005 0:00,10.63133641,2.614592593
7/21/2005 0:00,10.59907834,2.686518519
7/22/2005 0:00,10.56682028,2.758444444
7/23/2005 0:00,10.53456221,2.83037037
7/24/2005 0:00,10.50230415,2.902296296
7/25/2005 0:00,10.47004608,2.974222222
7/26/2005 0:00,10.43778802,3.046148148
7/27/2005 0:00,10.40552995,3.118074074
7/27/2005 0:00,10.37327189,3.19
7/28/2005 0:00,10.34101382,3.156875
7/29/2005 0:00,10.30875576,3.12375
7/30/2005 0:00,10.2764977,3.090625
7/31/2005 0:00,10.24423963,3.0575
8/1/2005 0:00,10.21198157,3.024375
8/2/2005 0:00,10.1797235,2.99125
8/3/2005 0:00,10.14746544,2.958125
8/4/2005 0:00,10.11520737,2.925
8/5/2005 0:00,10.08294931,2.891875
8/6/2005 0:00,10.05069124,2.85875
8/7/2005 0:00,10.01843318,2.825625
8/8/2005 0:00,9.986175115,2.7925
8/9/2005 0:00,9.953917051,2.759375
8/10/2005 0:00,9.921658986,2.72625
8/11/2005 0:00,9.889400922,2.693125
8/11/2005 0:00,9.857142857,2.66
8/12/2005 0:00,10.5,2.686428571
8/13/2005 0:00,11.14285714,2.712857143
8/14/2005 0:00,11.78571429,2.739285714
8/15/2005 0:00,12.42857143,2.765714286
8/16/2005 0:00,13.07142857,2.792142857
8/17/2005 0:00,13.71428571,2.818571429
8/18/2005 0:00,14.35714286,2.845
8/19/2005 0:00,15,2.871428571
8/20/2005 0:00,15.64285714,2.897857143
8/21/2005 0:00,16.28571429,2.924285714
8/22/2005 0:00,16.92857143,2.950714286
8/23/2005 0:00,17.57142857,2.977142857
8/24/2005 0:00,18.21428571,3.003571429
8/24/2005 0:00,18.85714286,3.03
8/25/2005 0:00,19.5,2.971333333
8/26/2005 0:00,20.14285714,2.912666667
8/27/2005 0:00,20.78571429,2.854
8/28/2005 0:00,21.42857143,2.795333333
8/29/2005 0:00,22.07142857,2.736666667
8/30/2005 0:00,22.71428571,2.678
8/31/2005 0:00,23.35714286,2.619333333
9/1/2005 0:00,24,2.560666667
9/2/2005 0:00,24.64285714,2.502
9/3/2005 0:00,25.28571429,2.443333333
9/4/2005 0:00,25.92857143,2.384666667
9/5/2005 0:00,26.57142857,2.326
9/6/2005 0:00,27.21428571,2.267333333
9/7/2005 0:00,27.85714286,2.208666667
9/7/2005 0:00,28.5,2.15
9/8/2005 0:00,27.875,2.243846154
9/9/2005 0:00,27.25,2.337692308
9/10/2005 0:00,26.625,2.431538462
9/11/2005 0:00,26,2.525384615
9/12/2005 0:00,25.375,2.619230769
9/13/2005 0:00,24.75,2.713076923
9/14/2005 0:00,24.125,2.806923077
9/15/2005 0:00,23.5,2.900769231
9/16/2005 0:00,22.875,2.994615385
9/17/2005 0:00,22.25,3.088461538
9/18/2005 0:00,21.625,3.182307692
9/19/2005 0:00,21,3.276153846
9/19/2005 0:00,20.375,3.37
9/20/2005 0:00,19.75,3.354210526
9/21/2005 0:00,19.125,3.338421053
9/22/2005 0:00,18.5,3.322631579
9/23/2005 0:00,17.875,3.306842105
9/24/2005 0:00,17.25,3.291052632
9/25/2005 0:00,16.625,3.275263158
9/26/2005 0:00,16,3.259473684
9/27/2005 0:00,15.375,3.243684211
9/28/2005 0:00,14.75,3.227894737
9/29/2005 0:00,14.125,3.212105263
9/30/2005 0:00,13.5,3.196315789
10/1/2005 0:00,12.875,3.180526316
10/2/2005 0:00,12.25,3.164736842
10/3/2005 0:00,11.625,3.148947368
10/4/2005 0:00,11,3.133157895
