datetime,HypoTemp,EpiTemp,TP,Chla
5/21/2004,6.998,10.44333333,10.85714286,5.657777778
5/22/2004,6.963,10.44,10.89142857,6.065
5/23/2004,6.847,10.25166667,10.96,6.879444444
5/24/2004,6.819,9.995,11.02857143,7.693888889
5/25/2004,6.923,9.953333333,11.09714286,8.508333333
5/26/2004,6.942,10.265,11.16571429,9.322777778
5/27/2004,6.979,10.535,11.21173469,9.493333333
5/28/2004,7.039,10.91,11.23520408,9.02
5/29/2004,7.04,11.22,11.25867347,8.546666667
5/30/2004,7.119,11.00666667,11.28214286,8.073333333
5/31/2004,7.141,10.90833333,11.30561224,7.6
6/1/2004,7.161,11.105,11.32908163,7.126666667
6/2/2004,7.19,11.41666667,11.35255102,6.653333333
6/3/2004,7.163,12.19333333,11.37602041,6.18
6/4/2004,7.115,13.75833333,11.3994898,5.706666667
6/5/2004,7.166,14.14666667,11.42295918,5.233333333
6/6/2004,7.228,14.70833333,11.44642857,4.76
6/7/2004,7.287,15.33,11.46989796,4.286666667
6/8/2004,7.414,15.54,11.49336735,3.813333333
6/9/2004,7.47,15.70666667,11.51683673,3.34
6/10/2004,7.471,15.37333333,11.54030612,2.866666667
6/11/2004,7.293,15.42833333,11.56377551,2.654487179
6/12/2004,7.288,15.7,11.5872449,2.703461538
6/13/2004,7.319,16.42833333,11.61071429,2.752435897
6/14/2004,7.276,16.77333333,11.63418367,2.801410256
6/15/2004,7.379,17.01833333,11.65765306,2.850384615
6/16/2004,7.346,17.58833333,11.68112245,2.899358974
6/17/2004,7.313,18.135,11.70459184,2.948333333
6/18/2004,7.387,17.89666667,11.72806122,2.997307692
6/19/2004,7.393,17.545,11.75153061,3.046282051
6/20/2004,7.433,17.59333333,11.775,3.09525641
6/21/2004,7.483,17.57333333,11.79846939,3.144230769
6/22/2004,7.473,17.49166667,11.82193878,3.193205128
6/23/2004,7.385,17.39,11.84540816,3.242179487
6/24/2004,7.341,16.96166667,11.84391534,3.247444444
6/25/2004,7.466,16.405,11.81746032,3.209
6/26/2004,7.531,16.31166667,11.79100529,3.170555556
6/27/2004,7.55,16.45166667,11.76455026,3.132111111
