Year,IceOff,IceOn
2001,5/14/2001 0:00,10/2/2001 0:00
2002,5/14/2002 0:00,10/2/2002 0:00
2003,5/14/2003 0:00,10/2/2003 0:00
2004,5/13/2001 0:00,10/1/2004 0:00
2005,5/14/2005 0:00,10/2/2005 0:00
2006,5/14/2006 0:00,10/7/2006 0:00
2007,5/24/2007 0:00,9/27/2007 0:00
2008,5/22/2008 0:00,9/27/2008 0:00
2009,4/30/2009 0:00,9/30/2009 0:00
2010,5/10/2010 0:00,10/9/2010 0:00
