datetime,Volume,FlowIn,FlowOut,HypoTemp,EpiTemp,TP,Chla,SW_DOC,Secchi
2001-06-03,10566000,5.621666667,5.621666667,NA,NA,NA,NA,NA,NA
2001-06-04,10566000,4.605833333,4.605833333,NA,NA,NA,NA,NA,NA
2001-06-05,10566000,2.738541667,2.738541667,NA,NA,NA,NA,NA,NA
2001-06-06,10566000,2.366458333,2.366458333,NA,NA,NA,NA,NA,NA
2001-06-07,10566000,2.338958333,2.338958333,NA,NA,NA,NA,NA,NA
2001-06-08,10566000,2.225833333,2.225833333,NA,NA,NA,NA,NA,NA
2001-06-09,10566000,2.042916667,2.042916667,NA,NA,NA,NA,NA,NA
2001-06-10,10566000,1.856041667,1.856041667,NA,NA,NA,NA,NA,NA
2001-06-11,10566000,2.8775,2.8775,NA,NA,NA,NA,NA,NA
2001-06-12,10566000,2.181458333,2.181458333,NA,NA,NA,NA,NA,NA
2001-06-13,10566000,1.749375,1.749375,NA,NA,NA,NA,NA,NA
2001-06-14,10566000,1.586875,1.586875,NA,NA,NA,NA,NA,NA
2001-06-15,10566000,1.50625,1.50625,NA,NA,NA,NA,NA,NA
2001-06-16,10566000,1.4675,1.4675,2.25,0,NA,NA,NA,NA
2001-06-17,10566000,1.45375,1.45375,NA,NA,NA,NA,NA,NA
2001-06-18,10566000,1.45,1.45,NA,NA,NA,NA,NA,NA
2001-06-19,10566000,1.45375,1.45375,NA,NA,NA,NA,NA,NA
2001-06-20,10566000,1.464791667,1.464791667,2.78,0.35,NA,0.89,NA,NA
2001-06-21,10566000,1.47,1.47,NA,NA,NA,NA,NA,NA
2001-06-22,10566000,1.454583333,1.454583333,NA,NA,NA,NA,NA,NA
2001-06-23,10566000,1.465,1.465,NA,NA,NA,NA,3.963531,NA
2001-06-24,10566000,1.458125,1.458125,NA,NA,NA,NA,NA,NA
2001-06-25,10566000,1.45,1.45,NA,NA,NA,NA,NA,NA
2001-06-26,10566000,1.456458333,1.456458333,NA,NA,NA,NA,4.4559697,NA
2001-06-27,10566000,2.458125,2.458125,NA,NA,NA,NA,6.1014356,NA
2001-06-28,10566000,3.632291667,3.632291667,NA,NA,NA,NA,5.9573072,NA
2001-06-29,10566000,2.27625,2.27625,NA,NA,NA,NA,NA,NA
2001-06-30,10566000,1.776666667,1.776666667,NA,NA,NA,NA,5.5849755,NA
2001-07-01,10566000,1.59625,1.59625,NA,NA,NA,NA,NA,NA
2001-07-02,10566000,1.526458333,1.526458333,NA,NA,NA,NA,NA,NA
2001-07-03,10566000,1.481875,1.481875,NA,NA,NA,NA,NA,NA
2001-07-04,10566000,1.465,1.465,3.94,10.94,2.415953436,1.627,4.8523228,4.23
2001-07-05,10566000,1.565625,1.565625,NA,NA,NA,NA,NA,NA
2001-07-06,10566000,1.708333333,1.708333333,NA,NA,NA,NA,6.0894249,NA
2001-07-07,10566000,2.332708333,2.332708333,NA,NA,NA,NA,6.1614891,NA
2001-07-08,10566000,2.041666667,2.041666667,NA,NA,NA,NA,NA,NA
2001-07-09,10566000,1.736666667,1.736666667,NA,NA,NA,NA,NA,NA
2001-07-10,10566000,1.611458333,1.611458333,NA,NA,NA,NA,5.1285689,NA
2001-07-11,10566000,1.581666667,1.581666667,4.16,9.51,NA,0.643,NA,4.35
2001-07-12,10566000,1.550625,1.550625,NA,NA,NA,NA,NA,NA
2001-07-13,10566000,1.569166667,1.569166667,NA,NA,NA,NA,NA,NA
2001-07-14,10566000,1.571041667,1.571041667,NA,NA,NA,NA,NA,NA
2001-07-15,10566000,1.57,1.57,NA,NA,NA,NA,NA,NA
2001-07-16,10566000,1.519166667,1.519166667,NA,NA,NA,NA,NA,NA
2001-07-17,10566000,1.480625,1.480625,NA,NA,NA,NA,NA,NA
2001-07-18,10566000,1.478541667,1.478541667,NA,NA,NA,NA,5.1405796,NA
2001-07-19,10566000,1.498125,1.498125,NA,NA,NA,NA,NA,NA
2001-07-20,10566000,1.492291667,1.492291667,4.6,12.69,4.708011824,1.467,4.8162907,5.35
2001-07-21,10566000,1.486041667,1.486041667,NA,NA,NA,NA,NA,NA
2001-07-22,10566000,1.466666667,1.466666667,NA,NA,NA,NA,NA,NA
2001-07-23,10566000,1.483541667,1.483541667,NA,NA,NA,NA,5.0084619,NA
2001-07-24,10566000,1.652708333,1.652708333,NA,NA,NA,NA,4.9964512,NA
2001-07-25,10566000,1.934583333,1.934583333,NA,NA,NA,NA,5.5969862,NA
2001-07-26,10566000,2.044375,2.044375,NA,NA,NA,NA,5.7050825,NA
2001-07-27,10566000,1.85125,1.85125,NA,NA,NA,NA,5.4408471,NA
2001-07-28,10566000,1.734166667,1.734166667,NA,NA,NA,NA,NA,NA
2001-07-29,10566000,2.005208333,2.005208333,NA,NA,NA,NA,5.6810611,NA
2001-07-30,10566000,2.987916667,2.987916667,NA,NA,NA,NA,5.9452965,NA
2001-07-31,10566000,2.674166667,2.674166667,NA,NA,NA,NA,NA,NA
2001-08-01,10566000,2.211875,2.211875,4.86,11.31,NA,1.673,5.1165582,4
2001-08-02,10566000,2.079791667,2.079791667,NA,NA,NA,NA,NA,NA
2001-08-03,10566000,2.23875,2.23875,NA,NA,NA,NA,NA,NA
2001-08-04,10566000,2.486041667,2.486041667,NA,NA,NA,NA,NA,NA
2001-08-05,10566000,2.274375,2.274375,NA,NA,NA,NA,NA,NA
2001-08-06,10566000,2.093541667,2.093541667,NA,NA,NA,NA,NA,NA
2001-08-07,10566000,1.9375,1.9375,NA,NA,NA,NA,NA,NA
2001-08-08,10566000,1.8,1.8,NA,NA,NA,NA,5.164601,NA
2001-08-09,10566000,1.736875,1.736875,NA,NA,NA,NA,NA,NA
2001-08-10,10566000,1.755,1.755,5.23,9.85,NA,1.637,NA,5.6
2001-08-11,10566000,1.979791667,1.979791667,NA,NA,NA,NA,NA,NA
2001-08-12,10566000,2.034375,2.034375,NA,NA,NA,NA,NA,NA
2001-08-13,10566000,1.975416667,1.975416667,NA,NA,NA,NA,5.5729648,NA
2001-08-14,10566000,2.205416667,2.205416667,NA,NA,NA,NA,NA,NA
