datetime,depth,DOC,DOCwc
2005-06-17,0.1,5.0805261,4.9003656
2005-06-24,0.1,4.7442265,4.757953014
2005-07-01,0.1,4.7802586,4.73822115
2005-07-08,1,4.6721623,4.6721623
2005-07-15,0.1,5.1886224,5.885243
2005-07-22,0.1,4.9003656,4.946692586
2005-07-29,0.1,4.9003656,4.830017214
2005-08-05,0.1,4.8403121,4.890070714
2005-08-12,0.1,4.7442265,4.681170325
2005-08-18,0.1,4.7081944,4.729213125
2005-08-22,0.1,4.6961837,4.658435786
2006-06-23,0.1,4.9604191,4.999453875
2006-06-30,0.1,5.1525903,5.118274014
2006-07-07,0.1,5.3928043,5.2486759
2006-07-14,0.1,5.3207401,5.17060635
2006-07-21,0.1,5.1165582,4.830017214
2006-07-28,0.1,5.3807936,5.293287071
2006-08-04,0.1,5.6210076,5.358273538
2006-08-08,0.1,5.524922,5.295002886
2006-08-18,0.1,5.284708,5.058006038
2007-06-22,0.1,5.1285689,5.109694943
2007-06-29,0.1,4.924387,4.999882829
2007-07-06,0.1,4.9724298,5.054788886
2007-07-13,1,5.0685154,6.0654035
2007-07-20,0.1,5.044494,5.106263314
2007-07-27,0.1,4.9964512,5.067014063
2007-08-03,0.1,3.2188676,3.924067271
2007-08-10,0.1,4.8403121,4.565781814
2007-08-17,0.1,4.80428,4.195737867
2008-06-20,0.1,7.1823986,6.79205085
2008-06-27,0.1,6.485778,5.946797838
2008-07-04,0.1,5.9573072,5.92728045
2008-07-11,0.1,5.7531253,5.691570463
2008-07-18,0.1,6.4377352,5.98012753
2008-07-25,0.1,5.765136,6.181006488
2008-08-01,0.1,6.1494784,6.460255263
2008-08-08,0.1,6.8340883,6.301113488
2008-08-15,0.1,6.9301739,5.666047725
