"DOCR_RespParam","DOCL_RespParam","R_auto","BurialFactor_R","BurialFactor_L","POC_lcR","POC_lcL","N","collinearity"
1,1,0,0,0,0,0,2,14.4682218837548
1,0,1,0,0,0,0,2,12.0149724680018
1,0,0,1,0,0,0,2,14.6225440682464
1,0,0,0,1,0,0,2,12.3181710787657
1,0,0,0,0,1,0,2,14.6601910092914
1,0,0,0,0,0,1,2,6.94915795300025
0,1,1,0,0,0,0,2,32.3245862442938
0,1,0,1,0,0,0,2,13.6519392323269
0,1,0,0,1,0,0,2,36.3424733005471
0,1,0,0,0,1,0,2,13.7395845363437
0,1,0,0,0,0,1,2,5.46592034560727
0,0,1,1,0,0,0,2,12.3926608875693
0,0,1,0,1,0,0,2,170.892950845198
0,0,1,0,0,1,0,2,12.4341403632789
0,0,1,0,0,0,1,2,5.32989625699578
0,0,0,1,1,0,0,2,13.1116225958416
0,0,0,1,0,1,0,2,1145.97222937919
0,0,0,1,0,0,1,2,7.16716380242721
0,0,0,0,1,1,0,2,13.1625855748892
0,0,0,0,1,0,1,2,5.41526312187029
0,0,0,0,0,1,1,2,7.14965112071446
1,1,1,0,0,0,0,3,37.0523593376179
1,1,0,1,0,0,0,3,14.8902170708453
1,1,0,0,1,0,0,3,41.0325531361295
1,1,0,0,0,1,0,3,14.8834510210573
1,1,0,0,0,0,1,3,18.1577244972086
1,0,1,1,0,0,0,3,14.6555189878628
1,0,1,0,1,0,0,3,182.53864811582
1,0,1,0,0,1,0,3,14.7006334061367
1,0,1,0,0,0,1,3,14.7506322125459
1,0,0,1,1,0,0,3,14.7713118745524
1,0,0,1,0,1,0,3,1169.97087074056
1,0,0,1,0,0,1,3,14.6619913827528
1,0,0,0,1,1,0,3,14.8273604874746
1,0,0,0,1,0,1,3,14.8070888541393
1,0,0,0,0,1,1,3,14.6938905656902
0,1,1,1,0,0,0,3,33.4893171702824
0,1,1,0,1,0,0,3,212.118301369677
0,1,1,0,0,1,0,3,33.5570616270736
0,1,1,0,0,0,1,3,32.7164927226682
0,1,0,1,1,0,0,3,36.5981736476674
0,1,0,1,0,1,0,3,1357.65283415962
0,1,0,1,0,0,1,3,17.7174919233378
0,1,0,0,1,1,0,3,36.628871137279
0,1,0,0,1,0,1,3,36.415803813134
0,1,0,0,0,1,1,3,17.8028297868719
0,0,1,1,1,0,0,3,262.102592179695
0,0,1,1,0,1,0,3,1204.9387114824
0,0,1,1,0,0,1,3,16.2735442698178
0,0,1,0,1,1,0,3,264.217898405534
0,0,1,0,1,0,1,3,198.681419380863
0,0,1,0,0,1,1,3,16.2804372616756
0,0,0,1,1,1,0,3,1218.05914483162
0,0,0,1,1,0,1,3,17.0546138412785
0,0,0,1,0,1,1,3,1246.58239562145
0,0,0,0,1,1,1,3,17.0731611343924
1,1,1,1,0,0,0,4,37.1161900562013
1,1,1,0,1,0,0,4,212.11833810134
1,1,1,0,0,1,0,4,37.0965104461177
1,1,1,0,0,0,1,4,38.9628344516152
1,1,0,1,1,0,0,4,42.0320413678699
1,1,0,1,0,1,0,4,1365.78475490292
1,1,0,1,0,0,1,4,20.3216466625217
1,1,0,0,1,1,0,4,41.9476060867902
1,1,0,0,1,0,1,4,44.7613421365955
1,1,0,0,0,1,1,4,20.3700432358673
1,0,1,1,1,0,0,4,271.668738268839
1,0,1,1,0,1,0,4,1210.39217408023
1,0,1,1,0,0,1,4,16.3236920136571
1,0,1,0,1,1,0,4,274.584794617352
1,0,1,0,1,0,1,4,198.691389326544
1,0,1,0,0,1,1,4,16.3222652109686
1,0,0,1,1,1,0,4,1222.686774726
1,0,0,1,1,0,1,4,17.1347114363729
1,0,0,1,0,1,1,4,1306.90626193497
1,0,0,0,1,1,1,4,17.143504271454
0,1,1,1,1,0,0,4,307.041361115725
0,1,1,1,0,1,0,4,1657.93182128713
0,1,1,1,0,0,1,4,33.5825086222447
0,1,1,0,1,1,0,4,308.332978062866
0,1,1,0,1,0,1,4,245.397477569704
0,1,1,0,0,1,1,4,33.6712059416742
0,1,0,1,1,1,0,4,1599.84780509263
0,1,0,1,1,0,1,4,36.6277527393911
0,1,0,1,0,1,1,4,1389.70407658435
0,1,0,0,1,1,1,4,36.6706352767751
0,0,1,1,1,1,0,4,1609.30417041778
0,0,1,1,1,0,1,4,263.407613069842
0,0,1,1,0,1,1,4,1265.75276677081
0,0,1,0,1,1,1,4,265.644254066534
0,0,0,1,1,1,1,4,1274.3395448918
1,1,1,1,1,0,0,5,434.771839098389
1,1,1,1,0,1,0,5,1779.4555080472
1,1,1,1,0,0,1,5,39.4403654654503
1,1,1,0,1,1,0,5,437.0856100266
1,1,1,0,1,0,1,5,303.691332725311
1,1,1,0,0,1,1,5,39.5093160239036
1,1,0,1,1,1,0,5,1740.15973138618
1,1,0,1,1,0,1,5,44.7749933407533
1,1,0,1,0,1,1,5,1389.71219383394
1,1,0,0,1,1,1,5,44.7887756187809
1,0,1,1,1,1,0,5,1729.29163209626
1,0,1,1,1,0,1,5,271.6745068253
1,0,1,1,0,1,1,5,1307.29516538958
1,0,1,0,1,1,1,5,274.590157116053
1,0,0,1,1,1,1,5,1310.09637321939
0,1,1,1,1,1,0,5,1864.83096920698
0,1,1,1,1,0,1,5,307.322344767427
0,1,1,1,0,1,1,5,1738.24709960824
0,1,1,0,1,1,1,5,308.637161022751
0,1,0,1,1,1,1,5,1671.69618529583
0,0,1,1,1,1,1,5,1692.19543413666
1,1,1,1,1,1,0,6,1867.32844084022
1,1,1,1,1,0,1,6,525.583662800206
1,1,1,1,0,1,1,6,1796.07291432424
1,1,1,0,1,1,1,6,529.512908937999
1,1,0,1,1,1,1,6,1748.83569857049
1,0,1,1,1,1,1,6,2032.34664556159
0,1,1,1,1,1,1,6,1963.60717027414
1,1,1,1,1,1,1,7,2034.90671887359
