"DOCR_RespParam","DOCL_RespParam","BurialFactor_R","BurialFactor_L","N","collinearity"
1,1,0,0,2,6.26100009076623
1,0,1,0,2,8.28158631082598
1,0,0,1,2,4.09502539958912
0,1,1,0,2,4.22671316330416
0,1,0,1,2,8.82514200705803
0,0,1,1,2,3.29225330745442
1,1,1,0,3,11.8166601413139
1,1,0,1,3,14.7423645665372
1,0,1,1,3,9.84201203313039
0,1,1,1,3,11.4514918687404
1,1,1,1,4,17.25935576446
