"DOCR_RespParam","DOCL_RespParam","R_auto","BurialFactor_R","BurialFactor_L","POC_lcR","POC_lcL","N","collinearity"
1,1,0,0,0,0,0,2,5.47661851904211
1,0,1,0,0,0,0,2,7.05231941683741
1,0,0,1,0,0,0,2,6.40873087695127
1,0,0,0,1,0,0,2,7.06083899693445
1,0,0,0,0,1,0,2,8.25161082371067
1,0,0,0,0,0,1,2,7.07671714757787
0,1,1,0,0,0,0,2,4.60286147815544
0,1,0,1,0,0,0,2,3.49605478635052
0,1,0,0,1,0,0,2,4.60926470661154
0,1,0,0,0,1,0,2,3.58408268549481
0,1,0,0,0,0,1,2,4.61408962718026
0,0,1,1,0,0,0,2,10.7122454834897
0,0,1,0,1,0,0,2,1747.49393482666
0,0,1,0,0,1,0,2,7.29887567315621
0,0,1,0,0,0,1,2,1501.35495849237
0,0,0,1,1,0,0,2,10.6918948923429
0,0,0,1,0,1,0,2,12.1190465093203
0,0,0,1,0,0,1,2,10.6841325446004
0,0,0,0,1,1,0,2,7.29459850307075
0,0,0,0,1,0,1,2,1508.38074393391
0,0,0,0,0,1,1,2,7.30078128670296
1,1,1,0,0,0,0,3,7.47783403979627
1,1,0,1,0,0,0,3,9.71409972373262
1,1,0,0,1,0,0,3,7.48016166027212
1,1,0,0,0,1,0,3,15.26759690028
1,1,0,0,0,0,1,3,7.4921458985214
1,0,1,1,0,0,0,3,10.9204144841128
1,0,1,0,1,0,0,3,1832.17188434637
1,0,1,0,0,1,0,3,8.27777481030835
1,0,1,0,0,0,1,3,2223.67041086263
1,0,0,1,1,0,0,3,10.9045621321547
1,0,0,1,0,1,0,3,13.9655354498839
1,0,0,1,0,0,1,3,10.9063609695734
1,0,0,0,1,1,0,3,8.27517195850996
1,0,0,0,1,0,1,3,1721.27545063996
1,0,0,0,0,1,1,3,8.27334723682999
0,1,1,1,0,0,0,3,16.7945728455321
0,1,1,0,1,0,0,3,2066.46391147903
0,1,1,0,0,1,0,3,8.53845650639528
0,1,1,0,0,0,1,3,2520.57598854708
0,1,0,1,1,0,0,3,16.8218113439361
0,1,0,1,0,1,0,3,12.1691720683543
0,1,0,1,0,0,1,3,16.8696060537759
0,1,0,0,1,1,0,3,8.54674368890426
0,1,0,0,1,0,1,3,1607.86896824736
0,1,0,0,0,1,1,3,8.56671496860361
0,0,1,1,1,0,0,3,1838.78937957038
0,0,1,1,0,1,0,3,15.8095915614388
0,0,1,1,0,0,1,3,1615.76465768463
0,0,1,0,1,1,0,3,1765.14050816115
0,0,1,0,1,0,1,3,1747.59329625697
0,0,1,0,0,1,1,3,1503.54419459392
0,0,0,1,1,1,0,3,15.7859918518566
0,0,0,1,1,0,1,3,1516.40272473989
0,0,0,1,0,1,1,3,15.7512075706702
0,0,0,0,1,1,1,3,1532.28444801066
1,1,1,1,0,0,0,4,27.6895844021765
1,1,1,0,1,0,0,4,2066.66801585168
1,1,1,0,0,1,0,4,19.8336105689502
1,1,1,0,0,0,1,4,3156.61675820429
1,1,0,1,1,0,0,4,27.7420827965421
1,1,0,1,0,1,0,4,20.8848500525297
1,1,0,1,0,0,1,4,27.662296632266
1,1,0,0,1,1,0,4,19.8311072001737
1,1,0,0,1,0,1,4,1732.80327527756
1,1,0,0,0,1,1,4,19.815788098287
1,0,1,1,1,0,0,4,1983.23170312559
1,0,1,1,0,1,0,4,27.3797050872508
1,0,1,1,0,0,1,4,3273.64099644785
1,0,1,0,1,1,0,4,2036.3021358546
1,0,1,0,1,0,1,4,2242.55363132118
1,0,1,0,0,1,1,4,3406.29199304596
1,0,0,1,1,1,0,4,27.41069293448
1,0,0,1,1,0,1,4,1760.04436711709
1,0,0,1,0,1,1,4,27.4054040972967
1,0,0,0,1,1,1,4,1748.80830298505
0,1,1,1,1,0,0,4,2070.68033440404
0,1,1,1,0,1,0,4,31.7974703907625
0,1,1,1,0,0,1,4,2700.82002293905
0,1,1,0,1,1,0,4,2067.35064938326
0,1,1,0,1,0,1,4,2834.53204761678
0,1,1,0,0,1,1,4,2746.75629714781
0,1,0,1,1,1,0,4,31.8959148342071
0,1,0,1,1,0,1,4,1634.39006476244
0,1,0,1,0,1,1,4,31.8351945946451
0,1,0,0,1,1,1,4,1672.8856562128
0,0,1,1,1,1,0,4,1875.43005433625
0,0,1,1,1,0,1,4,1856.64968962264
0,0,1,1,0,1,1,4,2108.24568118394
0,0,1,0,1,1,1,4,1766.79167056417
0,0,0,1,1,1,1,4,1689.58155433056
1,1,1,1,1,0,0,5,2075.62930242585
1,1,1,1,0,1,0,5,31.8454582276981
1,1,1,1,0,0,1,5,3316.709278524
1,1,1,0,1,1,0,5,2076.45770695469
1,1,1,0,1,0,1,5,3380.54991978451
1,1,1,0,0,1,1,5,3478.13051901191
1,1,0,1,1,1,0,5,31.9438885231641
1,1,0,1,1,0,1,5,1787.76895811947
1,1,0,1,0,1,1,5,31.8736337046087
1,1,0,0,1,1,1,5,1752.41507456121
1,0,1,1,1,1,0,5,2037.99229788011
1,0,1,1,1,0,1,5,3382.13391157518
1,0,1,1,0,1,1,5,3451.5064919706
1,0,1,0,1,1,1,5,3601.23336470689
1,0,0,1,1,1,1,5,1761.05539103685
0,1,1,1,1,1,0,5,2114.94153030782
0,1,1,1,1,0,1,5,3013.37982636311
0,1,1,1,0,1,1,5,2746.75680471378
0,1,1,0,1,1,1,5,3000.07349451304
0,1,0,1,1,1,1,5,1697.59760075323
0,0,1,1,1,1,1,5,2160.38370219903
1,1,1,1,1,1,0,6,2122.00134793982
1,1,1,1,1,0,1,6,3488.59166844694
1,1,1,1,0,1,1,6,3482.33789311739
1,1,1,0,1,1,1,6,3731.99740819998
1,1,0,1,1,1,1,6,1787.96752818537
1,0,1,1,1,1,1,6,3634.48422844663
0,1,1,1,1,1,1,6,3017.26705739227
1,1,1,1,1,1,1,7,3735.15405358795
