"DOCR_RespParam","DOCL_RespParam","R_auto","BurialFactor_R","BurialFactor_L","POC_lcR","POC_lcL","N","collinearity"
1,1,0,0,0,0,0,2,6.88818096749253
1,0,1,0,0,0,0,2,4.8755989488695
1,0,0,1,0,0,0,2,3.89392671967684
1,0,0,0,1,0,0,2,5.12223287431052
1,0,0,0,0,1,0,2,3.88989080387325
1,0,0,0,0,0,1,2,3.2693219143262
0,1,1,0,0,0,0,2,13.4016288916791
0,1,0,1,0,0,0,2,3.10927255342569
0,1,0,0,1,0,0,2,15.5478317806788
0,1,0,0,0,1,0,2,3.10810665678382
0,1,0,0,0,0,1,2,2.80765367238076
0,0,1,1,0,0,0,2,2.76960936624821
0,0,1,0,1,0,0,2,70.5927312580401
0,0,1,0,0,1,0,2,2.76905374431739
0,0,1,0,0,0,1,2,2.64850957049543
0,0,0,1,1,0,0,2,2.87241976059312
0,0,0,1,0,1,0,2,2223.1184528068
0,0,0,1,0,0,1,2,3.33373030391324
0,0,0,0,1,1,0,2,2.87181653282543
0,0,0,0,1,0,1,2,2.70140814165465
0,0,0,0,0,1,1,2,3.33241896981046
1,1,1,0,0,0,0,3,24.2248308545465
1,1,0,1,0,0,0,3,7.97961985193658
1,1,0,0,1,0,0,3,26.1756389649928
1,1,0,0,0,1,0,3,7.97358908689523
1,1,0,0,0,0,1,3,7.47401404820483
1,0,1,1,0,0,0,3,6.16602608086983
1,0,1,0,1,0,0,3,99.5522774415694
1,0,1,0,0,1,0,3,6.15978337347902
1,0,1,0,0,0,1,3,5.39064224002643
1,0,0,1,1,0,0,3,6.20991527433813
1,0,0,1,0,1,0,3,2785.12577523413
1,0,0,1,0,0,1,3,3.89763418484855
1,0,0,0,1,1,0,3,6.20415008170976
1,0,0,0,1,0,1,3,5.58275103981683
1,0,0,0,0,1,1,3,3.89345600847305
0,1,1,1,0,0,0,3,16.0905065188314
0,1,1,0,1,0,0,3,104.120675043001
0,1,1,0,0,1,0,3,16.0820153707626
0,1,1,0,0,0,1,3,14.059737713671
0,1,0,1,1,0,0,3,17.2264151149185
0,1,0,1,0,1,0,3,2312.56285400153
0,1,0,1,0,0,1,3,3.42701073478354
0,1,0,0,1,1,0,3,17.2194799601916
0,1,0,0,1,0,1,3,15.9706033166042
0,1,0,0,0,1,1,3,3.42510901345591
0,0,1,1,1,0,0,3,211.153261964406
0,0,1,1,0,1,0,3,2254.62149966015
0,0,1,1,0,0,1,3,3.34884105804891
0,0,1,0,1,1,0,3,211.088354063938
0,0,1,0,1,0,1,3,83.9650293634126
0,0,1,0,0,1,1,3,3.34739711699326
0,0,0,1,1,1,0,3,2255.06703572147
0,0,0,1,1,0,1,3,3.36354449971791
0,0,0,1,0,1,1,3,2307.8812646429
0,0,0,0,1,1,1,3,3.36204147535922
1,1,1,1,0,0,0,4,24.2498284649278
1,1,1,0,1,0,0,4,106.319906128873
1,1,1,0,0,1,0,4,24.2496631275627
1,1,1,0,0,0,1,4,25.6289064068024
1,1,0,1,1,0,0,4,26.8500726850938
1,1,0,1,0,1,0,4,4127.15634209693
1,1,0,1,0,0,1,4,8.08077003528282
1,1,0,0,1,1,0,4,26.8493625143428
1,1,0,0,1,0,1,4,28.455796940377
1,1,0,0,0,1,1,4,8.07575125469731
1,0,1,1,1,0,0,4,215.430927880962
1,0,1,1,0,1,0,4,4112.52809409604
1,0,1,1,0,0,1,4,6.18624008855979
1,0,1,0,1,1,0,4,215.493871850147
1,0,1,0,1,0,1,4,102.662700425594
1,0,1,0,0,1,1,4,6.18051350582268
1,0,0,1,1,1,0,4,4129.19098793186
1,0,0,1,1,0,1,4,6.23665337219468
1,0,0,1,0,1,1,4,2788.96136379917
1,0,0,0,1,1,1,4,6.23147578786005
0,1,1,1,1,0,0,4,312.196040796941
0,1,1,1,0,1,0,4,2823.26963371709
0,1,1,1,0,0,1,4,16.1277847826132
0,1,1,0,1,1,0,4,312.951848276663
0,1,1,0,1,0,1,4,116.678038851263
0,1,1,0,0,1,1,4,16.118316460723
0,1,0,1,1,1,0,4,2896.27898869689
0,1,0,1,1,0,1,4,17.248696175184
