"","Date","POC_conc_gm3","NPPin_gm2y","FlowIn_gm2y","FlowOut_gm2y","sedOut_gm2y","leachOut_gm2y","POC_out_g","POC_FlowOut_cum_g","POC_SedOut_cum_g","POC_in_g","POC_in_alloch_g","POC_in_autoch_g"
"1",2001-07-04,0.5,8.576385140617,15.0719386978169,15.5034362416107,12.9415771812081,12.9415771812081,168948,63288,52830,96536.9932034699,61526.54427328,35010.4489301899
"2",2001-07-05,0.493146790952439,7.72733023391629,18.155024983669,16.3412132486106,12.7641945135521,12.7641945135521,170919.746276206,129995.966412136,104935.889932035,105656.73773754,74112.29376895,31544.4439685898
"3",2001-07-06,0.486970091298959,6.89097182679271,22.0439654817844,17.6074004654504,12.6043220429708,12.6043220429708,174783.305154998,201872.751873838,156389.149778683,118117.963259671,89987.6947064625,28130.2685532086
"4",2001-07-07,0.481607102287477,6.06764822924328,30.4469113825147,23.777909083002,12.4655109705427,12.4655109705427,198839.197879151,298938.7368976,207275.756206378,149059.43512745,124290.131397115,24769.3037303356
"5",2001-07-08,0.476895786486634,5.2578468861014,25.163658563849,20.6076591367393,12.3435672564194,12.3435672564194,184902.034350332,383063.153647576,257664.565006555,124186.419508017,102722.880164753,21463.5393432632
"6",2001-07-09,0.471149466702201,4.46227941440192,20.1429016405119,17.3179113057415,12.1948343744231,12.1948343744231,170258.34049681,453758.188840877,307446.21765831,100443.067868004,82227.1875188019,18215.8803492023
"7",2001-07-10,0.464541926230045,3.68201206733963,17.5182479950835,15.8439818235605,12.0238103844264,12.0238103844264,162845.172226563,518436.361216508,356529.717583776,86543.5273781107,71512.8479799297,15030.679398181
"8",2001-07-11,0.457320494766061,2.91871070408404,17.1998952577916,15.3093222713164,11.8368969591265,11.8368969591265,159136.556499886,580931.95076243,404850.201060758,82128.0078991634,70213.2710523546,11914.7368468088
"9",2001-07-12,0.450032159672296,3.4381467696709,16.867776899262,14.7696658552864,11.6482518568495,11.6482518568495,155393.404541886,641224.559322366,452400.599051733,82892.674703315,68857.500218905,14035.17448441
"10",2001-07-13,0.443170458949357,3.97245582447652,17.0741445467463,14.7183869306562,11.470649397849,11.470649397849,153734.05954046,701307.837477647,499225.989744322,85916.2590496495,69699.9325332933,16216.3265163562
"11",2001-07-14,0.436751965622572,4.52128402017032,17.099507058285,14.5225509984048,11.3045185442977,11.3045185442977,151578.263697617,760591.675799902,545373.202432003,88260.2156353383,69803.4671694376,18456.7484659008
"12",2001-07-15,0.430759343243027,5.08442437878167,17.0931756947663,14.3137918376939,11.1494105742122,11.1494105742122,149459.707806346,819023.319192132,590887.234639061,90533.2167385931,69777.62132932,20755.5954092731
"13",2001-07-16,0.425182351849145,5.66177078946577,16.5454164154868,13.6710222799283,11.0050604450865,11.0050604450865,145657.269379318,874831.053978689,635812.001935442,90653.997083231,67541.5629015762,23112.4341816548
"14",2001-07-17,0.419976666415103,6.25328920133799,16.1310294362503,13.1610511980898,10.870320885435,10.8703208854351,142475.404174658,928556.989006507,680186.736508862,91377.0815616619,65849.9557808575,25527.1257808044
"15",2001-07-18,0.415140557895986,6.8589987967902,16.1130674168672,12.9911940860013,10.7451471421213,10.7451471421213,140760.048415516,981589.534727444,724050.487856152,93776.3798858892,65776.6313729649,27999.7485129244
"16",2001-07-19,0.410693873386273,7.47895924744112,15.8120087345759,13.0222675556583,10.6300529205555,10.6300529205555,139947.222907359,1034748.92831082,767444.402518145,95078.1980635762,64547.65209457,30530.5459690062
"17",2001-07-20,0.406447325511601,8.11326183041184,15.2384182481319,12.8374369194059,10.5201388664079,10.5201388664079,138295.32830633,1087153.80779003,810389.626931701,95326.0364850143,62206.1457252509,33119.8907597634
"18",2001-07-21,0.402380574440115,8.18583109251655,15.3761811545163,12.6557629479747,10.4148785206712,10.4148785206712,136694.314476938,1138817.05927629,852905.158427044,96184.652734463,62768.5203293954,33416.1324050676
"19",2001-07-22,0.398546610618189,8.2577826442863,15.3748977588708,12.3717427354299,10.3156434432483,10.3156434432483,134724.696264851,1189320.8857853,895015.593304961,96473.1337005593,62763.2812622399,33709.8524383194
"20",2001-07-23,0.394926360517461,8.32911915266347,15.7526274141136,12.4004147202484,10.2219399510606,10.2219399510606,134076.709554331,1239941.75683508,936743.512557236,98306.3079027336,64305.2461562444,34001.0617464892
"21",2001-07-24,0.391540935413202,8.39984330449122,17.5038587815939,13.6959994341225,10.1343144705047,10.1343144705047,138650.126791634,1295851.4531552,978113.727792995,105743.879748676,71454.1084508902,34289.7712977861
"22",2001-07-25,0.388426583052521,8.46995780501026,22.9436276266234,15.9043793086576,10.0537052076142,10.0537052076142,147007.032023535,1360776.17964808,1019154.88055832,128236.280255162,93660.2881196407,34575.9921355213
"23",2001-07-26,0.386650059129715,8.53946537643485,24.7119544712299,16.730117106494,10.0077231646917,10.0077231646917,150002.437039609,1429071.72619239,1060008.32580597,135738.672802796,100878.9374305,34859.7353722957
"24",2001-07-27,0.385300090907415,8.60836875660289,21.3446719491303,15.0967867874279,9.97278172880959,9.97278172880959,143049.594151014,1490699.70513285,1100719.13341125,122274.056579569,87133.04439508,35141.0121844885
"25",2001-07-28,0.383333827650606,8.67667069769592,20.4372246985265,14.0698127769052,9.92188863341645,9.92188863341645,138441.778534712,1548135.37920844,1141222.18564081,118848.504494168,83428.6706871356,35419.8338070327
"26",2001-07-29,0.381479457591876,8.74437396502475,24.1370744030306,16.1901545947209,9.87389168694129,9.87389168694129,146705.554995121,1614226.69522524,1181529.30512997,134228.378269596,98532.1667411386,35696.2115284572
