datetime,wtr,DO_con,DO_sat,Flux,Flux_Modelled,Conc_Modelled
2001-07-04,10.95,9.85,11.0385514280017,-0.145214132080573,-0.25646960096007,11.0411100879923
2001-07-11,9.51,10.31,11.4180968398947,-0.13164965704529,-0.114255417533472,10.5468774043897
2001-07-20,12.69,8.82,10.6088333271838,-0.172801444339858,-0.0550419325317779,10.5452688894982
2001-08-01,11.31,8.27,10.9471342432179,-0.345892727170269,-0.0175983351163206,10.6886940236238
2001-08-10,9.85,8.6,11.3264256602598,-0.251615219158681,-0.0112797779107429,11.0504285618639
2002-06-21,6.43,10.53,12.3115308548662,-0.214119472868473,-0.00981636335783697,12.2459421959088
2002-06-28,10.08,10.7,11.2651451037864,-0.0679239269903287,-0.0139113532056169,11.783702469654
2002-07-05,8.13,8.1,11.8039200336047,-0.395500933488934,-0.00908500570899768,11.5620021379208
2002-07-12,11.23,10.84,10.9673329832787,-0.0122317870413788,-0.018907816246169,11.3236565490733
2002-07-19,15.45,9.93,9.98550302225442,-0.00484536165370194,-0.0275494418034855,10.5094210842551
2002-07-25,14.47,8.59,10.1991512953121,-0.130290583014452,-0.0164217517564822,10.1273470779091
2002-08-02,15.05,9.02,10.0717277076956,-0.0776491217858849,-0.0211275204625071,10.0447045020153
2002-08-09,10.61,9.63,11.1261384499714,-0.122733327119554,-0.0104189357749887,10.4546498049789
2003-06-13,0.53,8.99,14.4024613436695,-0.682247925154561,-0.0114411178402107,14.2779820598
2003-06-27,5.55,10.31,12.5893836205642,-0.294502309244126,-0.00591170459107546,13.1298987095237
2003-07-04,8.88,10.44,11.591447972481,-0.148770081442533,-0.00642391550305342,12.2355116279042
2003-07-11,12.9,9.41,10.558981127172,-0.169658695536199,-0.029793435759184,11.1876701895721
2003-07-18,9.32,9.36,11.4698952558037,-0.259622828980329,-0.0202109758191956,10.9831627043978
2003-07-25,11.72,8.97,10.8446432939921,-0.197721472114301,-0.0193714169354104,11.0147255906051
2003-08-01,8.99,10.56,11.5608484521349,-0.120290447065228,-0.0193401935533988,11.1220612102105
2003-08-08,8.29,11.8,11.7580234762202,0.00504509429068949,-0.0190263172056037,11.4885999180622
2004-06-18,5.53,10.38,12.5958240467973,-0.231345653759027,-0.0104645006556802,12.5290724967823
2004-06-25,12.53,9.9,10.6470983179906,-0.0804392094919981,-0.0216981040167986,11.6294187755895
2004-07-02,15.19,9.69,10.041397480788,-0.0356089969342131,-0.0251896879625981,10.4918275509862
2004-07-07,13.46,9.48,10.4280644730087,-0.111356729829157,-0.0198135365267777,10.2390651786759
2004-07-09,13.38,8.64,10.4465889628178,-0.212196369310621,-0.019453590617225,10.2734556272482
2004-07-10,11.78,12.14,10.8297874260322,0.141069068392381,-0.0161475848111281,10.2886287037449
2004-07-12,12.17,9.66,10.7340992750507,-0.144183301798248,-0.0159401741460851,10.4449420249207
2004-07-16,14.27,9.66,10.243762545393,-0.0670432386944704,-0.0201962130106227,10.4327167843811
2004-07-23,14.62,8.83,10.165920776346,-0.15009082510828,-0.0204949079718851,10.1689096991067
2004-07-30,14.09,9.02,10.284212444675,-0.173304557433465,-0.019717377787161,10.1386183467189
2004-08-06,11.71,9.66,10.847122791152,-0.154150111625958,-0.0155451382905672,10.426970800632
2004-08-10,12.47,9.04,10.6615111387751,-0.237109827061004,-0.0176401304198415,10.5774905217963
2004-08-13,12.7,9.77,10.6064499028892,-0.135089386526196,-0.0184437193812505,10.5643731632166
2004-08-20,14.75,9.51,10.1372776664608,-0.0864489713883774,-0.0228696112239055,10.30798708389
2005-06-13,6.41,11.05,12.3177276624995,-0.225045805904708,-0.00883160904696744,12.2295446181676
2005-06-14,9.18,10.62,11.5083274494942,-0.157848152565868,-0.0129094255326849,12.238349617987
2005-06-15,12.6,10.62,10.630327172957,-0.00183683330716369,-0.019370892027245,12.0794357587558
2005-06-17,10.66,10.29,11.1131810318594,-0.146699498584585,-0.0146621556111222,11.5727666151566
2005-06-24,10.91,13.96,11.0487923710978,0.366961579658332,-0.0142218997607661,11.1246424502252
2005-07-01,15.2,12.37,10.0392373105649,0.215100442112622,-0.0252795298507179,10.5321090531255
2005-07-08,11.08,10.34,11.0053841500276,-0.0747559719557441,-0.00535211416665133,10.5021597950397
2005-07-15,12.45,9.55,10.6663231365653,-0.0857247316634696,-0.0207893565133472,10.6929108659593
2005-07-22,12.82,10.04,10.5779230963428,-0.0514822719614203,-0.0181953759953623,10.557810730951
2005-07-29,14.07,9.25,10.2887245344418,-0.109555852427642,-0.0166594115929636,10.3790512641431
2005-08-05,13.33,9.14,10.4581966478302,-0.148099517599366,-0.0134622745047041,10.3229677940311
2005-08-12,12.94,9.81,10.5495328148128,-0.0626554548499796,-0.0147782026658777,10.2778816262333
2005-08-18,13.2,9.79,10.4884846968925,-0.0622386515464772,-0.0188546746738462,10.281018102535
2005-08-22,12.39,10.22,10.6807823611982,-0.0457956022738075,-0.0141595446346765,10.4046102739918
2006-06-23,7.6,10.79,11.9582104150175,-0.143748412134136,-0.00926993963883021,11.891258715553
2006-06-30,10.9,10.11,11.0513552350938,-0.121625551773308,-0.00888941925198271,11.5058955955418
2006-07-07,11.01,10.43,11.0232214888528,-0.0806797512617595,-0.0194166816767037,11.0742627209184
2006-07-14,12.91,9.93,10.5566176343655,-0.0863580083288394,-0.0219188491775304,10.745952825476
2006-07-21,12.12,10.12,10.7462828420967,-0.0822888577361689,-0.0167678700723976,10.6055104721815
2006-07-28,13.88,9.87,10.3317667455937,-0.0579706571538379,-0.0188825478457074,10.4644869411987
