lakeid,sampledate,depth,rep,sta,event,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh
"ME",2003-04-03,10.00,1,1,,,,,,,,,
"ME",2003-04-03,11.00,1,1,,,,,,,,,
"ME",2003-04-03,12.00,1,1,,,,,,,,,
"ME",2003-04-03,13.00,1,1,,,,,,,,,
"ME",2003-04-03,14.00,1,1,,,,,,,,,
"ME",2003-04-03,15.00,1,1,,,,,,,,,
"ME",2003-04-03,16.00,1,1,,,,,,,,,
"ME",2003-04-03,17.00,1,1,,,,,,,,,
"ME",2003-04-03,18.00,1,1,,,,,,,,,
"ME",2003-04-03,19.00,1,1,,,,,,,,,
"ME",2003-04-03,20.00,1,1,,,,,,,,,
"ME",2003-04-03,21.00,1,1,,,,,,,,,
"ME",2003-04-03,22.00,1,1,,,,,,,,,
"ME",2003-04-03,22.80,1,1,,,,,,,,,
"ME",2003-04-14,0.00,1,1,,46.52,48.32,5.58,5.33,,,0.078,0.046
"ME",2003-04-14,1.00,1,1,,,,,,,,,
"ME",2003-04-14,2.00,1,1,,,,,,,,,
"ME",2003-04-14,3.00,1,1,,,,,,,,,
"ME",2003-04-14,4.00,1,1,,46.06,46.56,5.44,5.24,,,0.084,0.050
"ME",2003-04-14,5.00,1,1,,,,,,,,,
"ME",2003-04-14,6.00,1,1,,,,,,,,,
"ME",2003-04-14,7.00,1,1,,,,,,,,,
"ME",2003-04-14,8.00,1,1,,46.10,46.60,5.67,5.29,,,,
"ME",2003-04-14,9.00,1,1,,,,,,,,,
"ME",2003-04-14,10.00,1,1,,,,,,,,,
"ME",2003-04-14,11.00,1,1,,,,,,,,,
"ME",2003-04-14,12.00,1,1,,46.06,46.63,5.57,5.34,,,,
"ME",2003-04-14,13.00,1,1,,,,,,,,,
"ME",2003-04-14,14.00,1,1,,,,,,,,,
"ME",2003-04-14,15.00,1,1,,,,,,,,,
"ME",2003-04-14,16.00,1,1,,45.88,46.38,5.27,5.40,,,,
"ME",2003-04-14,17.00,1,1,,,,,,,,,
"ME",2003-04-14,18.00,1,1,,,,,,,,,
"ME",2003-04-14,19.00,1,1,,,,,,,,,
"ME",2003-04-14,20.00,1,1,,45.94,46.41,5.42,5.20,,,0.079,0.050
"ME",2003-04-14,21.00,1,1,,,,,,,,,
"ME",2003-04-14,22.00,1,1,,,,,,,,,
"ME",2003-04-14,23.00,1,1,,,,,,,,,
"ME",2003-04-14,24.00,1,1,,,,,,,,,
"ME",2003-04-14,20.00,2,1,,46.60,46.27,5.51,5.34,,,,
"ME",2003-04-28,0.00,1,1,,,,,,,,0.048,0.031
"ME",2003-04-28,1.00,1,1,,,,,,,,,
"ME",2003-04-28,2.00,1,1,,,,,,,,,
"ME",2003-04-28,3.00,1,1,,,,,,,,,
"ME",2003-04-28,4.00,1,1,,,,,,,,0.051,0.031
"ME",2003-04-28,5.00,1,1,,,,,,,,,
"ME",2003-04-28,6.00,1,1,,,,,,,,,
"ME",2003-04-28,7.00,1,1,,,,,,,,,
"ME",2003-04-28,8.00,1,1,,,,,,,,,
"ME",2003-04-28,9.00,1,1,,,,,,,,,
"ME",2003-04-28,10.00,1,1,,,,,,,,,
"ME",2003-04-28,11.00,1,1,,,,,,,,,
"ME",2003-04-28,12.00,1,1,,,,,,,,,
"ME",2003-04-28,13.00,1,1,,,,,,,,,
"ME",2003-04-28,14.00,1,1,,,,,,,,,
"ME",2003-04-28,15.00,1,1,,,,,,,,,
"ME",2003-04-28,16.00,1,1,,,,,,,,,
"ME",2003-04-28,17.00,1,1,,,,,,,,,
"ME",2003-04-28,18.00,1,1,,,,,,,,,
"ME",2003-04-28,19.00,1,1,,,,,,,,,
"ME",2003-04-28,20.00,1,1,,,,,,,,,
"ME",2003-04-28,21.00,1,1,,,,,,,,,
"ME",2003-04-28,22.00,1,1,,,,,,,,,
"ME",2003-04-28,23.00,1,1,,,,,,,,,
"ME",2003-04-28,24.00,1,1,,,,,,,,,
"ME",2003-04-28,24.30,1,1,,,,,,,,,
"ME",2003-05-13,0.00,1,1,,46.99,49.19,5.91,5.91,,,0.052,0.040
"ME",2003-05-13,1.00,1,1,,,,,,,,,
"ME",2003-05-13,2.00,1,1,,,,,,,,,
"ME",2003-05-13,3.00,1,1,,,,,,,,,
"ME",2003-05-13,4.00,1,1,,47.19,47.31,5.73,5.67,,,0.068,0.039
"ME",2003-05-13,5.00,1,1,,,,,,,,,
"ME",2003-05-13,6.00,1,1,,,,,,,,,
