lakeid,sampledate,depth,rep,sta,event,wtemp,o2
"ME",2003-01-21,0.00,1,1,,0.10,19.6
"ME",2003-01-21,1.00,1,1,,0.30,18.6
"ME",2003-01-21,2.00,1,1,,0.40,16.3
"ME",2003-01-21,3.00,1,1,,0.50,16.0
"ME",2003-01-21,4.00,1,1,,0.50,15.8
"ME",2003-01-21,5.00,1,1,,0.50,15.7
"ME",2003-01-21,6.00,1,1,,0.50,15.5
"ME",2003-01-21,7.00,1,1,,0.50,15.5
"ME",2003-01-21,8.00,1,1,,0.50,15.3
"ME",2003-01-21,9.00,1,1,,0.50,15.2
"ME",2003-01-21,10.00,1,1,,0.50,15.2
"ME",2003-01-21,11.00,1,1,,0.50,15.2
"ME",2003-01-21,12.00,1,1,,0.50,15.1
"ME",2003-01-21,13.00,1,1,,0.50,15.1
"ME",2003-01-21,14.00,1,1,,0.50,15.0
"ME",2003-01-21,15.00,1,1,,0.60,15.0
"ME",2003-01-21,16.00,1,1,,0.60,15.0
"ME",2003-01-21,17.00,1,1,,0.60,15.0
"ME",2003-01-21,18.00,1,1,,0.80,14.9
"ME",2003-01-21,19.00,1,1,,0.90,14.9
"ME",2003-01-21,20.00,1,1,,1.00,14.5
"ME",2003-01-21,21.00,1,1,,1.10,14.3
"ME",2003-01-21,22.00,1,1,,1.20,13.9
"ME",2003-01-21,23.00,1,1,,1.30,13.5
"ME",2003-01-21,24.00,1,1,,1.30,12.8
"ME",2003-01-21,25.00,1,1,,1.30,12.5
"ME",2003-01-21,20.00,2,1,,1.00,14.5
"ME",2003-04-03,0.00,1,1,,3.10,14.6
"ME",2003-04-03,1.00,1,1,,3.10,14.7
"ME",2003-04-03,2.00,1,1,,3.00,14.7
"ME",2003-04-03,3.00,1,1,,3.00,14.7
"ME",2003-04-03,4.00,1,1,,3.00,14.8
"ME",2003-04-03,5.00,1,1,,3.00,14.7
"ME",2003-04-03,6.00,1,1,,3.00,14.8
"ME",2003-04-03,7.00,1,1,,3.00,14.8
"ME",2003-04-03,8.00,1,1,,3.00,14.8
"ME",2003-04-03,9.00,1,1,,3.00,14.9
"ME",2003-04-03,10.00,1,1,,3.00,14.9
"ME",2003-04-03,11.00,1,1,,3.00,14.9
"ME",2003-04-03,12.00,1,1,,3.00,14.9
"ME",2003-04-03,13.00,1,1,,3.00,14.9
"ME",2003-04-03,14.00,1,1,,3.10,15.0
"ME",2003-04-03,15.00,1,1,,3.10,15.0
"ME",2003-04-03,16.00,1,1,,3.10,15.0
"ME",2003-04-03,17.00,1,1,,3.10,15.0
"ME",2003-04-03,18.00,1,1,,3.10,15.0
"ME",2003-04-03,19.00,1,1,,3.10,15.0
"ME",2003-04-03,20.00,1,1,,3.10,15.0
"ME",2003-04-03,21.00,1,1,,3.10,15.0
"ME",2003-04-03,22.00,1,1,,3.20,15.0
"ME",2003-04-03,22.80,1,1,,3.20,2.9
"ME",2003-04-14,0.00,1,1,,4.20,13.9
"ME",2003-04-14,1.00,1,1,,4.10,14.2
"ME",2003-04-14,2.00,1,1,,4.00,14.2
"ME",2003-04-14,3.00,1,1,,4.00,14.4
"ME",2003-04-14,4.00,1,1,,4.00,14.4
"ME",2003-04-14,5.00,1,1,,4.00,14.5
"ME",2003-04-14,6.00,1,1,,4.00,14.6
"ME",2003-04-14,7.00,1,1,,4.00,14.7
"ME",2003-04-14,8.00,1,1,,3.90,14.7
"ME",2003-04-14,9.00,1,1,,4.00,14.8
"ME",2003-04-14,10.00,1,1,,3.90,14.8
"ME",2003-04-14,11.00,1,1,,3.90,14.7
"ME",2003-04-14,12.00,1,1,,3.90,14.8
"ME",2003-04-14,13.00,1,1,,3.90,14.8
"ME",2003-04-14,14.00,1,1,,3.90,14.8
"ME",2003-04-14,15.00,1,1,,3.90,14.8
"ME",2003-04-14,16.00,1,1,,3.90,14.9
"ME",2003-04-14,17.00,1,1,,3.90,14.8
"ME",2003-04-14,18.00,1,1,,3.90,14.8
"ME",2003-04-14,19.00,1,1,,3.90,14.8
"ME",2003-04-14,20.00,1,1,,3.90,14.8
"ME",2003-04-14,21.00,1,1,,3.90,14.8
"ME",2003-04-14,22.00,1,1,,3.90,14.8
"ME",2003-04-14,23.00,1,1,,3.90,14.8
"ME",2003-04-14,24.00,1,1,,3.90,3.9
"ME",2003-04-14,20.00,2,1,,3.90,14.8
"ME",2003-04-28,0.00,1,1,,9.30,12.7
"ME",2003-04-28,1.00,1,1,,8.90,13.1
"ME",2003-04-28,2.00,1,1,,8.90,13.1
"ME",2003-04-28,3.00,1,1,,8.70,13.2
"ME",2003-04-28,4.00,1,1,,8.60,13.3
"ME",2003-04-28,5.00,1,1,,8.40,13.3
"ME",2003-04-28,6.00,1,1,,8.30,13.4
"ME",2003-04-28,7.00,1,1,,8.20,13.4
"ME",2003-04-28,8.00,1,1,,8.20,13.5
"ME",2003-04-28,9.00,1,1,,8.20,13.5
"ME",2003-04-28,10.00,1,1,,8.10,13.5
"ME",2003-04-28,11.00,1,1,,8.10,13.6
"ME",2003-04-28,12.00,1,1,,8.10,13.6
"ME",2003-04-28,13.00,1,1,,8.10,13.6
"ME",2003-04-28,14.00,1,1,,7.90,13.6
"ME",2003-04-28,15.00,1,1,,7.70,13.7
"ME",2003-04-28,16.00,1,1,,7.50,13.8
"ME",2003-04-28,17.00,1,1,,7.20,13.8
"ME",2003-04-28,18.00,1,1,,6.90,13.7
"ME",2003-04-28,19.00,1,1,,6.80,13.6
"ME",2003-04-28,20.00,1,1,,6.70,13.5
"ME",2003-04-28,21.00,1,1,,6.70,13.5
"ME",2003-04-28,22.00,1,1,,6.60,13.4
"ME",2003-04-28,23.00,1,1,,6.60,13.3
"ME",2003-04-28,24.00,1,1,,6.50,13.3
"ME",2003-04-28,24.30,1,1,,6.50,5.0
"ME",2003-05-13,0.00,1,1,,11.10,10.7
"ME",2003-05-13,1.00,1,1,,10.90,10.6
"ME",2003-05-13,2.00,1,1,,10.80,10.7
"ME",2003-05-13,3.00,1,1,,10.70,10.8
"ME",2003-05-13,4.00,1,1,,10.60,10.8
"ME",2003-05-13,5.00,1,1,,10.60,10.8
"ME",2003-05-13,6.00,1,1,,10.50,10.8
"ME",2003-05-13,7.00,1,1,,10.50,10.8
"ME",2003-05-13,8.00,1,1,,10.50,10.8
"ME",2003-05-13,9.00,1,1,,10.50,10.8
"ME",2003-05-13,10.00,1,1,,10.50,10.8
"ME",2003-05-13,11.00,1,1,,10.50,10.8
"ME",2003-05-13,12.00,1,1,,10.50,10.9
"ME",2003-05-13,13.00,1,1,,10.50,10.8
"ME",2003-05-13,14.00,1,1,,10.50,10.8
"ME",2003-05-13,15.00,1,1,,10.50,10.9
"ME",2003-05-13,16.00,1,1,,10.50,10.9
"ME",2003-05-13,17.00,1,1,,10.50,10.9
"ME",2003-05-13,18.00,1,1,,10.50,10.9
"ME",2003-05-13,19.00,1,1,,10.50,10.9
"ME",2003-05-13,20.00,1,1,,10.40,10.9
"ME",2003-05-13,21.00,1,1,,10.40,10.9
"ME",2003-05-13,22.00,1,1,,10.40,10.8
"ME",2003-05-13,23.00,1,1,,10.40,10.8
"ME",2003-05-13,24.00,1,1,,10.40,10.8
"ME",2003-05-13,24.50,1,1,,10.30,7.9
"ME",2003-05-13,20.00,2,1,,10.40,10.9
"ME",2003-05-27,0.00,1,1,,16.30,11.1
"ME",2003-05-27,1.00,1,1,,15.90,11.3
"ME",2003-05-27,2.00,1,1,,15.70,11.1
"ME",2003-05-27,3.00,1,1,,15.40,11.1
"ME",2003-05-27,4.00,1,1,,15.20,11.0
"ME",2003-05-27,5.00,1,1,,15.10,11.1
"ME",2003-05-27,6.00,1,1,,15.00,11.0
"ME",2003-05-27,7.00,1,1,,14.10,10.1
"ME",2003-05-27,8.00,1,1,,13.60,10.0
"ME",2003-05-27,9.00,1,1,,13.10,10.0
"ME",2003-05-27,10.00,1,1,,12.90,9.8
"ME",2003-05-27,11.00,1,1,,12.80,9.8
"ME",2003-05-27,12.00,1,1,,12.60,9.8
"ME",2003-05-27,13.00,1,1,,12.40,9.9
"ME",2003-05-27,14.00,1,1,,12.10,9.6
"ME",2003-05-27,15.00,1,1,,11.60,9.5
"ME",2003-05-27,16.00,1,1,,11.40,9.2
"ME",2003-05-27,17.00,1,1,,11.10,9.1
"ME",2003-05-27,18.00,1,1,,11.00,8.9
"ME",2003-05-27,19.00,1,1,,10.80,8.8
"ME",2003-05-27,20.00,1,1,,10.80,8.4
"ME",2003-05-27,21.00,1,1,,10.60,8.1
"ME",2003-05-27,22.00,1,1,,10.50,6.8
"ME",2003-05-27,23.00,1,1,,10.50,6.8
"ME",2003-05-27,24.00,1,1,,10.50,6.6
"ME",2003-05-27,24.50,1,1,,10.40,5.7
"ME",2003-06-09,0.00,1,1,,18.00,10.6
"ME",2003-06-09,1.00,1,1,,17.70,11.1
"ME",2003-06-09,2.00,1,1,,17.50,11.1
"ME",2003-06-09,3.00,1,1,,17.40,11.1
"ME",2003-06-09,4.00,1,1,,17.20,11.0
"ME",2003-06-09,5.00,1,1,,17.10,11.0
"ME",2003-06-09,6.00,1,1,,17.00,11.1
"ME",2003-06-09,7.00,1,1,,17.00,11.1
"ME",2003-06-09,8.00,1,1,,17.00,11.0
"ME",2003-06-09,9.00,1,1,,15.80,10.8
"ME",2003-06-09,9.50,1,1,,15.50,10.7
"ME",2003-06-09,10.00,1,1,,15.60,10.3
"ME",2003-06-09,10.50,1,1,,15.50,10.2
"ME",2003-06-09,11.00,1,1,,13.50,8.8
"ME",2003-06-09,11.50,1,1,,13.00,8.3
"ME",2003-06-09,12.00,1,1,,12.50,8.1
"ME",2003-06-09,12.50,1,1,,12.30,8.0
"ME",2003-06-09,13.00,1,1,,12.10,7.9
"ME",2003-06-09,14.00,1,1,,12.00,7.9
"ME",2003-06-09,15.00,1,1,,11.60,7.7
"ME",2003-06-09,16.00,1,1,,11.20,7.2
"ME",2003-06-09,17.00,1,1,,11.00,6.7
"ME",2003-06-09,18.00,1,1,,10.80,6.0
"ME",2003-06-09,19.00,1,1,,10.70,5.2
"ME",2003-06-09,20.00,1,1,,10.60,5.0
"ME",2003-06-09,21.00,1,1,,10.60,4.9
"ME",2003-06-09,22.00,1,1,,10.60,4.5
"ME",2003-06-09,23.00,1,1,,10.60,4.4
"ME",2003-06-09,23.80,1,1,,10.50,2.1
"ME",2003-06-09,4.00,2,1,,17.20,11.0
"ME",2003-06-23,0.00,1,1,,22.30,9.9
"ME",2003-06-23,1.00,1,1,,22.10,10.2
"ME",2003-06-23,2.00,1,1,,22.10,10.3
"ME",2003-06-23,3.00,1,1,,21.90,10.2
"ME",2003-06-23,4.00,1,1,,21.70,10.4
"ME",2003-06-23,5.00,1,1,,19.60,10.9
"ME",2003-06-23,5.50,1,1,,19.10,10.5
"ME",2003-06-23,6.00,1,1,,18.70,10.3
"ME",2003-06-23,6.50,1,1,,18.50,9.8
"ME",2003-06-23,7.00,1,1,,18.20,9.7
"ME",2003-06-23,7.50,1,1,,17.90,9.4
"ME",2003-06-23,8.00,1,1,,17.70,9.4
"ME",2003-06-23,8.50,1,1,,17.00,8.8
"ME",2003-06-23,9.00,1,1,,16.30,8.4
"ME",2003-06-23,9.50,1,1,,16.00,8.1
"ME",2003-06-23,10.00,1,1,,15.10,7.6
"ME",2003-06-23,10.50,1,1,,14.90,7.5
"ME",2003-06-23,11.00,1,1,,14.40,7.0
"ME",2003-06-23,11.50,1,1,,14.20,7.0
"ME",2003-06-23,12.00,1,1,,13.80,6.5
"ME",2003-06-23,12.50,1,1,,13.10,6.1
"ME",2003-06-23,13.00,1,1,,12.80,6.0
"ME",2003-06-23,13.50,1,1,,12.50,5.8
"ME",2003-06-23,14.00,1,1,,12.20,5.8
"ME",2003-06-23,14.50,1,1,,12.10,5.7
"ME",2003-06-23,15.00,1,1,,11.90,5.5
"ME",2003-06-23,15.50,1,1,,11.60,5.1
"ME",2003-06-23,16.00,1,1,,11.50,5.1
"ME",2003-06-23,16.50,1,1,,11.40,4.9
"ME",2003-06-23,17.00,1,1,,11.40,4.8
"ME",2003-06-23,17.50,1,1,,11.30,4.7
"ME",2003-06-23,18.00,1,1,,11.20,4.4
"ME",2003-06-23,18.50,1,1,,11.10,4.1
"ME",2003-06-23,19.00,1,1,,11.10,4.0
"ME",2003-06-23,19.50,1,1,,11.00,3.8
"ME",2003-06-23,20.00,1,1,,10.90,3.7
"ME",2003-06-23,20.50,1,1,,10.90,3.3
"ME",2003-06-23,21.00,1,1,,10.80,3.0
"ME",2003-06-23,21.50,1,1,,10.80,2.6
"ME",2003-06-23,22.00,1,1,,10.80,2.4
"ME",2003-06-23,22.50,1,1,,10.80,2.2
"ME",2003-06-23,23.00,1,1,,10.80,2.1
"ME",2003-06-23,23.50,1,1,,10.70,1.9
"ME",2003-06-23,24.00,1,1,,10.60,1.3
"ME",2003-06-23,24.20,1,1,,10.60,0.8
"ME",2003-07-07,0.00,1,1,,24.80,8.3
"ME",2003-07-07,1.00,1,1,,24.50,8.2
"ME",2003-07-07,2.00,1,1,,24.30,7.9
"ME",2003-07-07,3.00,1,1,,24.30,7.9
"ME",2003-07-07,4.00,1,1,,24.20,8.0
"ME",2003-07-07,5.00,1,1,,24.20,8.1
"ME",2003-07-07,6.00,1,1,,23.00,7.3
"ME",2003-07-07,7.00,1,1,,20.70,6.2
"ME",2003-07-07,7.50,1,1,,20.40,5.8
"ME",2003-07-07,8.00,1,1,,19.60,5.7
"ME",2003-07-07,8.50,1,1,,19.10,5.5
"ME",2003-07-07,9.00,1,1,,18.10,5.4
"ME",2003-07-07,9.50,1,1,,17.40,5.0
"ME",2003-07-07,10.00,1,1,,16.90,5.0
"ME",2003-07-07,10.50,1,1,,15.90,4.4
"ME",2003-07-07,11.00,1,1,,14.70,4.4
"ME",2003-07-07,11.50,1,1,,14.20,3.3
"ME",2003-07-07,12.00,1,1,,13.40,3.3
"ME",2003-07-07,12.50,1,1,,13.10,3.0
"ME",2003-07-07,13.00,1,1,,12.80,2.8
"ME",2003-07-07,13.50,1,1,,12.60,2.5
"ME",2003-07-07,14.00,1,1,,12.30,2.2
"ME",2003-07-07,14.50,1,1,,12.10,1.7
"ME",2003-07-07,15.00,1,1,,11.90,1.5
"ME",2003-07-07,15.50,1,1,,11.90,1.3
"ME",2003-07-07,16.00,1,1,,11.80,1.3
"ME",2003-07-07,17.00,1,1,,11.70,0.9
"ME",2003-07-07,18.00,1,1,,11.50,0.8
"ME",2003-07-07,19.00,1,1,,11.40,0.5
"ME",2003-07-07,20.00,1,1,,11.30,0.4
"ME",2003-07-07,21.00,1,1,,11.30,0.4
"ME",2003-07-07,22.00,1,1,,11.20,0.4
"ME",2003-07-07,23.00,1,1,,11.10,0.4
"ME",2003-07-07,24.00,1,1,,11.10,0.3
