lakeid,year4,daynum,sampledate,depth,rep,sta,ph,dic,tic,doc,toc,totpf,totpuf
"ME",1995,129,1995-05-09,0.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,1.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,2.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,3.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,4.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,5.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,6.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,7.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,8.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,9.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,10.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,11.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,12.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,13.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,14.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,15.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,16.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,17.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,18.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,19.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,20.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,21.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,22.00,1,1,,,,,,,
"ME",1995,129,1995-05-09,23.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,0.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,1.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,2.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,3.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,4.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,5.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,6.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,7.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,8.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,9.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,10.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,11.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,12.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,13.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,14.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,15.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,16.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,17.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,18.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,19.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,20.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,21.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,21.50,1,1,,,,,,,
"ME",1995,143,1995-05-23,22.00,1,1,,,,,,,
"ME",1995,143,1995-05-23,22.50,1,1,,,,,,,
"ME",1995,143,1995-05-23,23.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,0.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,1.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,2.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,3.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,4.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,5.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,6.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,7.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,8.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,9.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,10.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,11.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,12.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,13.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,14.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,15.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,16.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,17.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,18.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,19.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,20.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,21.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,22.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,23.00,1,1,,,,,,,
"ME",1995,157,1995-06-06,24.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,0.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,1.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,2.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,3.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,4.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,5.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,6.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,7.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,8.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,9.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,10.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,11.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,12.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,13.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,14.00,1,1,,,,,,,
"ME",1995,172,1995-06-21,15.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,0.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,1.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,2.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,3.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,4.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,5.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,6.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,7.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,8.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,9.00,1,1,,,,,,,
"ME",1995,187,1995-07-06,10.00,1,1,,,,,,,
