lakeid,year4,daynum,sampledate,sta,secview,secnview,timeon,timeoff,airtemp,windir,windspd,waveht,cloud,ice
"MO",1995,129,1995-05-09,1,,5.90,1300,,12.7,"N",10,,100,
"MO",1995,143,1995-05-23,1,,6.20,,,11.6,"N",5,,100,
"MO",1995,157,1995-06-06,1,,4.70,1430,,25.2,"SW",18,,95,
"MO",1995,172,1995-06-21,1,,3.30,1215,,34.4,"ENE",8,,,
"MO",1995,188,1995-07-07,1,,2.90,704,,16.0,"W",13,,10,
"MO",1995,199,1995-07-18,1,,1.80,1218,,25.3,"NW",10,,40,
"MO",1995,214,1995-08-02,1,,1.90,1318,,22.1,"SW",8,,100,
"MO",1995,226,1995-08-14,1,,1.60,,,26.6,"W",8,,80,
"MO",1995,242,1995-08-30,1,,1.30,,,25.2,"SE",8,,10,
"MO",1995,254,1995-09-11,1,,1.30,,,19.1,"SE",8,,10,
"MO",1995,268,1995-09-25,1,,1.10,1250,,13.8,"SSW",13,,90,
"MO",1995,284,1995-10-11,1,,2.90,939,,16.8,"S",5,,2,
"MO",1995,298,1995-10-25,1,,3.00,935,1017,8.3,"SE",18,,5,
"MO",1995,311,1995-11-07,1,,2.30,925,,2.4,,18,40,100,
"MO",1995,326,1995-11-22,1,,4.50,915,1035,-1.8,"SW",13,,100,
"MO",1996,37,1996-02-06,1,,5.40,1310,,,"SE",10,,70,1
"MO",1996,94,1996-04-03,1,,2.60,930,1025,3.6,"NNW",18,,100,
"MO",1996,107,1996-04-16,1,,3.30,910,955,4.4,"NW",15,75,65,
"MO",1996,122,1996-05-01,1,,4.80,1125,1220,10.5,"E",15,60,30,
"MO",1996,135,1996-05-14,1,,5.50,1315,,9.7,"SSE",5,20,100,
"MO",1996,150,1996-05-29,1,,5.90,1000,1052,,"NNE",5,5,10,
"MO",1996,162,1996-06-10,1,,8.80,,,17.8,"E",5,3,100,
"MO",1996,178,1996-06-26,1,,3.50,1109,1230,21.4,"S",10,15,40,
"MO",1996,191,1996-07-09,1,,3.00,955,1200,16.0,"NE",10,30,90,
"MO",1996,204,1996-07-22,1,,2.00,1235,1400,21.4,"SW",15,50,100,
"MO",1996,218,1996-08-05,1,,1.20,1320,1550,24.8,"S",20,40,75,
"MO",1996,232,1996-08-19,1,,2.00,1145,1250,,"W",2,2,100,
"MO",1996,249,1996-09-05,1,,2.10,,,28.3,"SSE",1,5,50,
"MO",1996,263,1996-09-19,1,,1.80,1017,1121,18.4,"NE",5,2,0,
"MO",1996,290,1996-10-16,1,,3.60,1000,1054,18.6,"S",5,4,75,
"MO",1996,330,1996-11-25,1,,4.30,1415,,0.0,"N",10,45,100,
"MO",1997,14,1997-01-14,1,,3.10,1250,1410,-10.0,"SE",7,,80,1
"MO",1997,48,1997-02-17,1,,5.10,1300,1500,,"SW",20,,45,1
"MO",1997,99,1997-04-09,1,,5.80,1050,1150,6.4,"SSW",3,7,10,
"MO",1997,111,1997-04-21,1,,9.10,1150,1220,,"NE",8,10,5,
"MO",1997,121,1997-05-01,1,,2.80,945,1100,6.0,"NW",15,15,20,
"MO",1997,133,1997-05-13,1,,5.60,1035,1130,12.2,"NW",2,1,10,
"MO",1997,148,1997-05-28,1,,3.70,950,1055,19.0,"NE",5,10,100,
"MO",1997,162,1997-06-11,1,,4.60,1335,,19.7,"NE",5,3,50,
"MO",1997,176,1997-06-25,1,,,1340,1430,27.6,"NW",8,8,15,
"MO",1997,190,1997-07-09,1,,2.80,1016,1137,19.9,"NE",13,13,60,
"MO",1997,205,1997-07-24,1,,2.00,1300,1445,30.2,"SE",5,3,10,
"MO",1997,219,1997-08-07,1,,1.70,900,,21.5,"SW",8,10,0,
"MO",1997,230,1997-08-18,1,,1.60,1000,1125,,"NW",5,5,90,
"MO",1997,251,1997-09-08,1,,1.60,1120,1330,19.8,"NE",3,0,100,
"MO",1997,273,1997-09-30,1,,1.50,1020,1120,15.0,"NW",25,40,100,
"MO",1997,303,1997-10-30,1,,3.30,1030,,10.3,"SE",20,20,90,
"MO",1997,329,1997-11-25,1,,4.80,925,1050,10.0,"S",10,10,30,
"MO",1998,37,1998-02-06,2,,,1300,1310,6.0,,3,,30,
"MO",1998,76,1998-03-17,1,,3.00,1105,1155,4.8,"NE",20,20,100,
"MO",1998,103,1998-04-13,1,,2.40,1530,1630,12.7,"NNW",13,,25,
"MO",1998,117,1998-04-27,1,,7.00,1230,1400,12.5,"NE",15,30,50,
"MO",1998,131,1998-05-11,1,,9.10,1150,1250,19.4,,0,0,0,
"MO",1998,152,1998-06-01,1,,5.10,,,18.5,"SE",18,20,,
"MO",1998,159,1998-06-08,1,,7.80,1100,1200,16.2,"SE",5,5,100,
"MO",1998,173,1998-06-22,1,,2.50,1315,1422,25.1,,0,5,40,
"MO",1998,187,1998-07-06,1,,1.20,1130,,23.7,,0,2,100,
"MO",1998,204,1998-07-23,1,,1.80,937,1035,20.5,"WNW",20,70,5,
"MO",1998,214,1998-08-02,1,,1.70,1300,,24.8,"SSW",15,120,15,
"MO",1998,230,1998-08-18,1,,1.90,,,19.1,"NW",10,10,100,
"MO",1998,245,1998-09-02,1,,1.80,1050,1149,16.0,"NW",10,10,50,
"MO",1998,271,1998-09-28,1,,1.50,1130,1220,21.0,,0,0,2,
"MO",1998,300,1998-10-27,1,,2.40,1130,1300,14.7,"SE",18,20,100,
"MO",1998,327,1998-11-23,1,,4.10,1100,,9.2,"W",20,20,35,
"MO",1999,27,1999-01-27,1,,6.80,945,1300,5.0,"W",15,,100,1
"MO",1999,54,1999-02-23,1,,4.00,900,1115,2.0,"SE",13,,55,1
"MO",1999,88,1999-03-29,1,,2.90,1125,1210,13.0,,13,40,0,
"MO",1999,102,1999-04-12,1,,2.90,1230,1425,12.0,"SW",5,8,90,
"MO",1999,116,1999-04-26,1,,7.30,1050,1200,18.0,"NE",10,20,50,
"MO",1999,120,1999-04-30,1,,7.50,,,,,0,,0,
"MO",1999,130,1999-05-10,1,,4.60,1200,1415,18.0,"E",10,30,30,
"MO",1999,146,1999-05-26,1,,5.40,1125,1240,18.5,"NW",5,15,5,
"MO",1999,159,1999-06-08,1,,6.10,1145,1400,30.0,"S",8,10,35,
"MO",1999,172,1999-06-21,1,,2.40,1255,1420,28.0,"SE",8,15,50,
"MO",1999,188,1999-07-07,1,,2.00,940,1200,25.0,"NW",5,20,0,
"MO",1999,200,1999-07-19,1,,0.88,1120,1245,28.0,"S",5,2,100,
"MO",1999,214,1999-08-02,1,,1.80,1040,1235,24.0,"NW",5,10,25,
"MO",1999,229,1999-08-17,1,,1.60,855,1100,24.0,"WNW",10,15,0,
"MO",1999,242,1999-08-30,1,,1.70,1222,1405,25.0,"SE",7,12,80,
"MO",1999,270,1999-09-27,1,,1.50,1145,1315,14.0,,0,0,100,
"MO",1999,299,1999-10-26,1,,2.50,1145,1315,16.0,"W",10,15,50,
"MO",1999,326,1999-11-22,1,,3.20,1140,1250,13.0,"NW",5,10,0,
"MO",2000,25,2000-01-25,1,,4.40,1100,1325,-6.0,"NW",18,,70,1
"MO",2000,73,2000-03-13,1,,2.50,1405,1540,5.0,"NW",3,4,90,
"MO",2000,89,2000-03-29,1,,2.80,1250,1345,11.0,"NW",5,3,30,
"MO",2000,101,2000-04-10,1,,2.00,1445,1700,5.0,"E",10,8,100,
"MO",2000,116,2000-04-25,1,,6.80,1125,1235,16.0,"NE",2,3,0,
"MO",2000,130,2000-05-09,1,,6.30,1150,1325,14.0,"NNW",10,20,100,
"MO",2000,143,2000-05-22,1,,5.50,1100,1155,21.0,"SSE",10,25,60,
"MO",2000,158,2000-06-06,1,,4.90,1340,1535,22.5,"NNE",1,0,5,
"MO",2000,171,2000-06-19,1,,4.00,1215,1400,28.0,"SW",5,8,5,
"MO",2000,185,2000-07-03,1,,2.30,1315,1515,25.0,"N",5,10,80,
"MO",2000,199,2000-07-17,1,,1.90,1300,1405,27.0,"NNW",8,20,0,
"MO",2000,214,2000-08-01,1,,1.50,1220,1410,27.0,"SSW",2,10,20,
"MO",2000,229,2000-08-16,1,,1.50,1020,1115,24.0,"NE",5,10,0,
"MO",2000,241,2000-08-28,1,,1.20,1405,1645,25.5,"SE",10,25,15,
"MO",2000,269,2000-09-25,1,,1.90,1140,1310,13.5,"NNE",,10,75,
"MO",2000,298,2000-10-24,1,,6.20,1040,1205,17.5,"-",0,0,50,
"MO",2000,332,2000-11-27,1,,4.70,1240,1450,-1.3,"SW",8,25,100,
"MO",2001,15,2001-01-15,1,,4.40,1100,1300,0.0,"WSW",8,,100,1
"MO",2001,99,2001-04-09,1,,2.20,940,1045,5.0,"E",10,25,100,
"MO",2001,115,2001-04-25,1,,2.50,915,1030,13.0,"S",10,30,10,
"MO",2001,129,2001-05-09,1,,7.60,840,940,15.0,"S",10,8,0,
"MO",2001,141,2001-05-21,1,,4.00,1145,1300,17.7,"S",10,10,100,
"MO",2001,155,2001-06-04,1,,4.80,1220,1530,11.4,"E",8,20,100,
"MO",2001,169,2001-06-18,1,,5.00,1215,1330,23.4,"S",15,40,90,
"MO",2001,183,2001-07-02,1,,3.00,1155,1430,18.1,"SE",10,10,50,
"MO",2001,198,2001-07-17,1,,1.20,1515,1625,32.4,,0,2,30,
"MO",2001,211,2001-07-30,1,,1.40,1355,1730,31.5,,0,5,20,
"MO",2001,225,2001-08-13,1,,1.30,1310,1505,24.1,"NNE",10,10,5,
"MO",2001,239,2001-08-27,1,,1.44,1110,,20.0,,10,30,60,
"MO",2001,269,2001-09-26,1,,1.40,1100,1230,12.5,"NW",8,50,60,
"MO",2001,295,2001-10-22,1,,2.90,1130,1315,,"SE",3,10,85,
"MO",2001,330,2001-11-26,1,,3.00,1230,130,5.3,"E",10,25,100,
"MO",2002,100,2002-04-10,1,,2.80,1130,1230,12.0,"SW",15,30,80,
"MO",2002,113,2002-04-23,1,,3.10,1100,1340,10.5,"SW",10,15,0,
"MO",2002,141,2002-05-21,1,,6.50,1200,1400,17.5,,0,0,5,
"MO",2002,156,2002-06-05,1,,4.90,1000,1100,16.6,,5,10,100,
"MO",2002,170,2002-06-19,1,,3.90,1200,1400,21.2,"S",15,25,100,
"MO",2002,182,2002-07-01,1,,1.70,1200,1400,25.6,"SW",10,10,5,
"MO",2002,197,2002-07-16,1,,2.30,1100,1400,34.1,"SW",5,5,0,
"MO",2002,207,2002-07-26,1,,0.90,1100,1200,28.0,"NW",10,5,50,
"MO",2002,225,2002-08-13,1,,1.50,1000,1200,27.0,"W",5,5,100,
"MO",2002,238,2002-08-26,1,,1.60,1200,1300,28.0,,0,0,0,
"MO",2002,267,2002-09-24,1,,1.10,1130,1230,17.3,,0,0,0,
"MO",2002,295,2002-10-22,1,,1.10,1200,1400,6.5,"N",10,15,100,
"MO",2002,323,2002-11-19,1,,1.20,1230,1430,12.1,"SW",15,20,0,
"MO",2003,44,2003-02-13,1,,0.60,1115,1300,-7.2,"NW",5,,5,1
"MO",2003,48,2003-02-17,1,,5.20,1130,1300,-2.0,"NW",2,,100,1
"MO",2003,91,2003-04-01,1,,1.40,1030,1200,18.3,"NA",0,0,20,
"MO",2003,105,2003-04-15,1,,1.60,1100,1230,21.9,"SW",20,20,10,
"MO",2003,118,2003-04-28,1,,4.10,1245,1345,17.0,"SW",5,15,75,
"MO",2003,133,2003-05-13,1,,5.00,1330,1445,19.0,"NW",5,5,0,
"MO",2003,147,2003-05-27,1,,5.50,1315,1400,29.0,,0,0,15,
"MO",2003,161,2003-06-10,1,,4.00,1100,1235,19.0,"SE",25,60,100,
"MO",2003,174,2003-06-23,1,,2.20,1153,1241,28.5,"SE",10,20,20,
"MO",2003,189,2003-07-08,1,,2.20,1305,1445,23.0,"SSE",10,10,100,
"MO",2003,204,2003-07-23,1,,1.70,1145,1315,25.0,"NE",10,20,10,
"MO",2003,217,2003-08-05,1,,1.50,1130,1345,29.0,"NNW",5,5,50,
"MO",2003,230,2003-08-18,1,,1.40,1400,1510,34.5,"E",10,10,2,
"MO",2003,246,2003-09-03,1,,1.40,1100,1215,24.0,"NW",10,20,0,
"MO",2003,273,2003-09-30,1,,1.80,1100,1230,13.0,"NW",15,40,40,
"MO",2003,302,2003-10-29,1,,1.50,1200,1400,11.0,"W",5,10,60,
"MO",2003,336,2003-12-02,1,,2.50,1200,1400,4.0,,0,0,80,
"MO",2004,48,2004-02-17,1,,5.20,1130,1300,-2.0,"NW",2,,100,1
"MO",2004,91,2004-03-31,1,,2.40,1045,1130,4.0,"E",10,20,100,
"MO",2004,104,2004-04-13,1,,2.70,1145,1300,9.0,"NE",20,35,0,
"MO",2004,120,2004-04-29,1,,4.10,1145,1300,20.0,"SW",25,70,80,
"MO",2004,132,2004-05-11,1,,5.50,1115,1215,15.0,"S",10,15,100,
"MO",2004,148,2004-05-27,1,,2.70,1030,1100,20.0,"W",15,40,20,
"MO",2004,160,2004-06-08,1,,3.00,1030,1230,25.0,"SW",15,25,90,
"MO",2004,174,2004-06-22,1,,2.50,1200,1300,21.0,"NW",10,25,30,
"MO",2004,189,2004-07-07,1,,2.00,1030,1200,16.0,"NW",5,10,100,
"MO",2004,202,2004-07-20,1,,1.60,1100,1145,34.0,,0,0,5,
"MO",2004,218,2004-08-05,1,,1.60,1045,1400,23.0,,0,0,0,
"MO",2004,229,2004-08-16,1,,1.50,1230,1245,21.0,"SW",15,50,90,
"MO",2004,253,2004-09-09,1,,1.60,1100,1300,17.0,0,0,0,100,
"MO",2004,280,2004-10-06,1,,1.30,1100,1300,15.0,"W",5,15,0,
"MO",2004,309,2004-11-04,1,,2.80,1200,1400,9.0,"NW",20,80,80,
"MO",2005,34,2005-02-03,1,,6.50,1100,1300,1.0,"NE",10,,20,1
"MO",2005,108,2005-04-18,1,,2.50,1130,1330,23.0,"SW",5,10,0,
"MO",2005,117,2005-04-27,1,,5.00,1130,1300,8.0,"NW",5,15,100,
"MO",2005,130,2005-05-10,1,,5.20,1130,1400,25.4,"NW",15,15,40,
"MO",2005,144,2005-05-24,1,,3.90,1150,1335,19.0,"NE",10,10,50,
"MO",2005,158,2005-06-07,1,,1.80,1100,1400,31.0,"SW",10,15,30,
"MO",2005,172,2005-06-21,1,,1.40,1200,1310,31.0,"NW",10,10,10,
"MO",2005,186,2005-07-05,1,,2.20,1230,1400,27.0,"NW",5,15,50,
"MO",2005,200,2005-07-19,1,,1.30,1150,1250,30.0,"S",2,0,0,
"MO",2005,215,2005-08-03,1,,0.90,1130,230,27.0,"SW",10,30,70,
"MO",2005,227,2005-08-15,1,,1.70,1215,1315,28.0,,0,2,50,
"MO",2005,242,2005-08-30,1,,1.70,1145,1325,25.0,"NE",8,15,40,
"MO",2005,270,2005-09-27,1,,1.90,1600,1710,23.0,"W",8,15,5,
"MO",2005,307,2005-11-03,1,,3.10,1200,1400,18.0,"SW",5,5,70,
"MO",2006,95,2006-04-05,1,,2.30,1300,1400,12.0,,0,0,95,
"MO",2006,109,2006-04-19,1,,3.00,1215,1330,17.0,"SW",10,20,85,
"MO",2006,123,2006-05-03,1,,6.00,1400,1500,19.0,"SW",10,10,100,
"MO",2006,136,2006-05-16,1,,3.70,1130,1240,16.0,"N",10,15,90,
"MO",2006,151,2006-05-31,1,,4.80,1330,1430,25.0,"NE",20,40,5,
"MO",2006,164,2006-06-13,1,,2.80,1130,1330,23.0,,0,0,10,
"MO",2006,178,2006-06-27,1,,2.30,1240,1330,21.0,"NE",3,3,40,
"MO",2006,193,2006-07-12,1,,2.00,1300,1445,27.0,"E",10,30,60,
"MO",2006,206,2006-07-25,1,,1.40,1100,1230,26.0,"SW",15,30,60,
"MO",2006,220,2006-08-08,1,,2.00,1100,1300,23.0,"E",10,15,75,
"MO",2006,233,2006-08-21,1,,1.70,1350,1425,26.0,"NW",5,20,50,
"MO",2006,250,2006-09-07,1,,1.90,1200,1405,26.0,"WNW",5,5,15,
