lakeid,year4,daynum,sampledate,depth,rep,sta,event,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,flagdepth,flagph,flagphair,flagalk,flagdic,flagtic,flagdoc,flagtoc,flagno3no2,flagno2,flagnh4,flagtotnf,flagtotnuf,flagtotpf,flagtotpuf,flagdrsif,flagbrsif,flagbrsiuf,flagtpm,flagno3no2_sloh,flagnh4_sloh,flagkjdl_n_sloh,flagtotpuf_sloh,flagdrp_sloh,flagdrsif_sloh
"MO",1995,129,1995-05-09,11.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,12.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,13.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,14.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,15.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,16.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,17.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,129,1995-05-09,18.00,1,1,,,,,,,,,,,,,,,,,,,,0.287,0.224,0.80,0.081,,,,,,,,,,,,,,,,,,,,,,,,"R",,,
"MO",1995,143,1995-05-23,0.00,1,1,,,,,,,,,,,,,,,,,,,,0.302,0.150,0.80,0.064,0.049,0.550,,,,,,,,,,,,,,,,,,,,,,"R",,,
"MO",1995,143,1995-05-23,1.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,143,1995-05-23,2.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,143,1995-05-23,3.00,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MO",1995,143,1995-05-23,4.00,1,1,,,,,,,,,,,,,,,,,,,,0.242,0.151,0.90,0.073,0.052,0.550,,,,,,,,,,,,,,,,,,,,,,"R",,,
