datetime,SW_TOC,SW_DOC
2009-07-15,15.8,14.22
2009-08-12,7.7,6.930000000000001
2009-08-17,12.3,11.07
2009-09-15,11.3,10.170000000000002
2009-09-16,13.7,12.33
2009-10-14,15.3,13.770000000000001
2009-10-15,8.7,7.829999999999999
2009-10-21,5.7,5.13
2009-11-10,8.6,7.74
2009-11-16,13,11.700000000000001
2009-12-09,6.2,5.58
2009-12-15,12.3,11.07
2010-01-13,16,14.4
2010-01-15,6.3,5.67
2010-01-19,8.7,7.829999999999999
2010-02-08,6.5,5.8500000000000005
2010-02-09,9.5,8.55
2010-02-15,13.8,12.420000000000002
2010-02-16,12.2,10.98
2010-03-09,8.4,7.5600000000000005
2010-03-15,11.5,10.35
2010-04-14,12.6,11.34
2010-04-20,6.5,5.8500000000000005
2010-04-21,8.3,7.470000000000001
2010-05-11,9,8.1
2010-05-17,13.2,11.879999999999999
2010-06-08,9.3,8.370000000000001
2010-06-10,6.4,5.760000000000001
2010-06-15,13.6,12.24
2010-06-16,12.7,11.43
2010-07-12,5.5,4.95
2010-07-13,8.5,7.65
2010-07-14,12.1,10.89
2010-08-16,14,12.6
2010-08-17,5.3,4.77
2010-08-18,8.7,7.829999999999999
2010-09-09,8.3,7.470000000000001
2010-09-14,11.9,10.71
2010-09-15,11.9,10.71
2010-10-13,14,12.6
2010-10-19,6.2,5.58
2010-11-15,13.7,12.33
2010-11-16,17.7,15.93
2010-11-17,8.8,7.920000000000001
2010-12-14,14.1,12.69
2010-12-15,12.9,11.610000000000001
2010-12-20,8.6,7.74
2010-12-21,6.3,5.67
2011-01-13,6,5.4
2011-01-17,11.9,10.71
2011-01-18,9.2,8.28
2011-02-15,12.4,11.16
2011-02-17,6.5,5.8500000000000005
2011-02-28,8.7,7.829999999999999
2011-03-15,12.6,11.34
2011-03-16,7.8,7.02
2011-04-13,11.8,10.620000000000001
2011-04-14,8.8,7.920000000000001
2011-04-27,6,5.4
2011-05-12,5.8,5.22
2011-05-16,13.5,12.15
2011-05-18,9.3,8.370000000000001
2011-06-09,9.7,8.73
2011-06-15,11.1,9.99
2011-06-22,5.9,5.3100000000000005
2011-07-13,12,10.8
2011-07-19,6.1,5.49
2011-08-09,6.6,5.9399999999999995
2011-08-11,8.7,7.829999999999999
2011-08-15,13.7,12.33
2011-08-16,18,16.2
2011-09-14,15.4,13.860000000000001
2011-09-21,6.9,6.210000000000001
2011-09-29,8,7.2
2011-10-06,6.8,6.12
2011-10-12,16.5,14.85
2011-10-17,13,11.700000000000001
2011-10-18,8.4,7.5600000000000005
2011-11-15,12.8,11.520000000000001
2011-11-16,6.6,5.9399999999999995
2011-12-01,8.2,7.38
2011-12-14,13.4,12.06
2011-12-15,8.3,7.470000000000001
2012-01-11,7,6.3
2012-01-16,11.6,10.44
2012-02-13,8,7.2
2012-02-15,12.8,11.520000000000001
2012-02-20,13.3,11.97
2012-03-14,13.8,12.420000000000002
2012-03-20,6.1,5.49
2012-03-22,8,7.2
2012-04-16,12.4,11.16
2012-04-17,6.9,6.210000000000001
2012-05-09,6.1,5.49
2012-05-15,NA,NA
2012-05-24,8.2,7.38
2012-06-13,13.6,12.24
2012-06-20,7.4,6.66
2012-07-16,13.6,12.24
2012-07-17,6.1,5.49
2012-07-26,8.3,7.470000000000001
2012-08-15,12.8,11.520000000000001
2012-08-16,6,5.4
2012-09-11,5.9,5.3100000000000005
2012-09-17,13.6,12.24
2012-10-11,5.5,4.95
2012-10-15,14.2,12.78
2012-10-16,8.4,7.5600000000000005
2012-11-14,12.3,11.07
2012-11-22,8.8,7.920000000000001
2012-12-12,15.6,14.04
2012-12-13,6.4,5.760000000000001
2012-12-17,11.8,10.620000000000001
2012-12-19,9,8.1
2013-01-15,10.7,9.629999999999999
2013-01-17,8.1,7.29
2013-02-13,10.7,9.629999999999999
2013-02-14,6.6,5.9399999999999995
2013-03-14,6.8,6.12
2013-03-18,11.2,10.08
2013-03-25,8.8,7.920000000000001
2013-04-15,12.6,11.34
2013-04-16,6.4,5.760000000000001
2013-04-17,8.8,7.920000000000001
2013-05-15,11.9,10.71
2013-05-16,6.5,5.8500000000000005
2013-05-27,8.7,7.829999999999999
2013-06-17,11.2,10.08
2013-06-19,6.2,5.58
2013-07-04,9,8.1
2013-07-15,11,9.9
2013-07-24,6.2,5.58
2013-08-07,6.4,5.760000000000001
2013-08-08,8.7,7.829999999999999
2013-08-14,13.1,11.79
2013-09-11,6.1,5.49
2013-09-16,9.9,8.91
2013-09-17,8.8,7.920000000000001
