datetime,DOC,DOCwc
2000-04-18,3.69,3.76
2000-05-10,4.05,4.05
2000-06-14,3.96,3.71
2000-08-15,3.33,3.4
2000-10-11,3.87,3.8
2001-04-25,4.59,4.41
2001-05-15,4.32,4.48
2001-06-07,3.96,4.03
2001-08-13,4.23,4.3
2001-10-23,3.6,3.51
2002-04-17,4.32,4.28
2002-05-16,4.05,4.03
2002-07-03,3.42,3.49
2002-09-04,3.69,3.69
2002-10-16,4.14,4.12
2003-04-08,3.96,3.92
2003-05-22,3.96,4.07
2003-06-17,3.78,4.05
2003-08-13,3.87,3.85
2003-10-06,4.05,3.94
2004-04-06,3.6,3.6
2004-05-10,3.24,3.2
2004-06-28,4.05,3.94
2004-08-10,3.6,3.56
2004-10-12,3.96,3.89
2005-04-19,3.78,3.83
2005-05-08,4.59,4.57
2005-06-14,3.6,3.58
2005-08-16,3.24,3.26
2005-10-18,3.51,3.47
2006-04-25,3.78,3.78
2006-05-17,4.14,4.1
2006-06-12,3.96,3.8
2006-08-17,4.23,4.16
2006-10-17,3.96,4.01
2007-04-10,4.41,4.32
2007-05-02,3.78,3.71
2007-06-11,3.96,3.85
2007-08-09,4.05,3.83
2007-10-17,4.14,4.01
2008-04-07,4.14,4.25
2008-05-21,3.96,4.1
2008-06-17,4.59,4.25
2008-08-12,3.78,3.85
2008-10-20,4.05,3.98
2009-04-21,3.96,4.05
2009-05-18,4.41,4.41
2009-06-09,4.05,3.98
2009-08-11,4.59,4.59
2009-10-14,3.87,3.85
2010-04-21,4.05,4.21
2010-05-19,4.14,4.12
2010-06-16,3.87,3.89
2010-08-10,3.96,3.89
2010-10-12,4.41,4.39
2011-05-03,3.78,3.8
2011-06-28,4.32,4.23
2011-08-09,4.59,4.37
2011-10-19,4.5,4.46
2012-04-17,3.96,4.03
2012-05-22,4.23,4.23
2012-06-12,4.41,4.21
2012-08-14,4.14,4.12
2012-11-06,4.05,3.24
2013-04-22,4.41,3.4
2013-05-15,4.5,3.55
2013-06-11,4.14,3.35
2013-08-21,4.41,3.55
2013-10-15,4.23,3.35
