datetime,TotOutflow
4/13/2005 0:00,1.019406478
4/14/2005 0:00,1.019406478
4/15/2005 0:00,0.991089631
4/16/2005 0:00,0.962772784
4/17/2005 0:00,1.019406478
4/18/2005 0:00,1.047723324
4/19/2005 0:00,1.047723324
4/20/2005 0:00,1.104357017
4/21/2005 0:00,1.076040171
4/22/2005 0:00,1.076040171
4/23/2005 0:00,1.019406478
4/24/2005 0:00,0.962772784
4/25/2005 0:00,0.962772784
4/26/2005 0:00,0.962772784
4/27/2005 0:00,0.962772784
4/28/2005 0:00,0.962772784
4/29/2005 0:00,0.934455938
4/30/2005 0:00,0.934455938
5/1/2005 0:00,0.906139091
5/2/2005 0:00,0.934455938
5/3/2005 0:00,0.906139091
5/4/2005 0:00,0.877822245
5/5/2005 0:00,0.849505398
5/6/2005 0:00,0.849505398
5/7/2005 0:00,0.849505398
5/8/2005 0:00,0.849505398
5/9/2005 0:00,0.877822245
5/10/2005 0:00,0.934455938
5/11/2005 0:00,0.934455938
5/12/2005 0:00,1.047723324
5/13/2005 0:00,1.189307557
5/14/2005 0:00,1.217624404
5/15/2005 0:00,1.24594125
5/16/2005 0:00,1.189307557
5/17/2005 0:00,1.160990711
5/18/2005 0:00,1.160990711
5/19/2005 0:00,1.217624404
5/20/2005 0:00,1.189307557
5/21/2005 0:00,1.132673864
5/22/2005 0:00,1.160990711
5/23/2005 0:00,1.189307557
5/24/2005 0:00,1.160990711
5/25/2005 0:00,1.132673864
5/26/2005 0:00,1.104357017
5/27/2005 0:00,1.076040171
5/28/2005 0:00,1.047723324
5/29/2005 0:00,1.047723324
5/30/2005 0:00,1.019406478
5/31/2005 0:00,0.991089631
6/1/2005 0:00,0.991089631
6/2/2005 0:00,0.962772784
6/3/2005 0:00,0.934455938
6/4/2005 0:00,0.962772784
6/5/2005 0:00,1.104357017
6/6/2005 0:00,1.160990711
6/7/2005 0:00,1.160990711
6/8/2005 0:00,1.160990711
6/9/2005 0:00,1.132673864
6/10/2005 0:00,1.189307557
6/11/2005 0:00,1.33089179
6/12/2005 0:00,1.302574944
6/13/2005 0:00,1.302574944
6/14/2005 0:00,1.359208637
6/15/2005 0:00,1.387525483
6/16/2005 0:00,1.302574944
6/17/2005 0:00,1.24594125
6/18/2005 0:00,1.189307557
